nu,[0]1-3-Dichlorobenzene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9854272258668474
600.119202,0.9955858710316058
600.238404,0.967787248954061
600.357606,0.884927109069083
600.476808,0.8946792543203784
600.59601,0.9661231194927531
600.715212,0.9992515901984265
600.834414,1.0
600.953616,0.9965296356823056
601.072818,0.9947655477408075
601.19202,1.0
601.311222,1.0
601.430424,0.9950308870938199
601.549626,0.9275561010708627
601.668828,0.9963371247538463
601.78803,0.9648998166263678
601.907232,0.9944947099583953
602.026434,0.9586521418352258
602.145636,0.9947353073278128
602.264838,0.8999824642628804
602.38404,0.9888496313707346
602.503242,0.9768882639096703
602.622444,0.9864200508867951
602.741646,0.9683584119074466
602.860848,0.9712241430470893
602.98005,0.9420084821884276
603.099252,0.9564660353854435
603.218454,0.9872401066350539
603.337656,0.9876568098782542
603.456858,0.9883355632317216
603.57606,0.9502007508761928
603.695262,0.9718449536023446
603.814464,0.9551699463883979
603.933666,0.9807477382876528
604.052868,0.9891908433492393
604.17207,0.9719528343794669
604.291272,0.9917705488639803
604.410474,0.9970818660541626
604.529676,0.9090565277449995
604.648878,0.9743545765054098
604.76808,1.0
604.887282,0.9953024680784477
605.006484,0.9963502764906943
605.125686,0.935991391183844
605.244888,1.0
605.36409,0.9960083877472669
605.483292,0.9951816456928901
605.602494,0.9118935656950715
605.721696,0.9347791320544631
605.840898,0.9931657603659614
605.9601,0.9830217823761112
606.079302,0.9233056046359528
606.198504,0.948722439471157
606.317706,0.9738266194142402
606.436908,0.9964055754655718
606.55611,0.9431225945250525
606.675312,0.9730877654406577
606.794514,1.0
606.913716,0.9250985561095466
607.032918,0.9923697592188045
607.15212,0.9335740444227507
607.271322,1.0
607.390524,0.9721297458937833
607.509726,0.9824252692142689
607.628928,0.9957429868781689
607.74813,0.998825390394545
607.867332,0.9892165626455158
607.986534,0.9870999284927954
608.105736,0.9211844420173806
608.224938,1.0
608.34414,1.0
608.463342,0.9529136386008178
608.582544,0.995010190666612
608.701746,0.8912680990235691
608.820948,0.9855070487049239
608.94015,0.9390345556234835
609.059352,1.0
609.178554,0.9737029512866668
609.297756,0.9983019433323614
609.416958,0.9378502414736978
609.53616,0.994585312553358
609.655362,0.9696888811651322
609.774564,0.9646094254876222
609.893766,0.9270034423432847
610.012968,1.0
610.13217,0.9513949528211234
610.251372,0.9900122125702925
610.370574,0.9606991291896776
610.489776,0.967635318282845
610.608978,0.9958620848613169
610.72818,0.9682712635721089
610.847382,0.9729184628992192
610.966584,0.9255066145430623
611.085786,0.9980627788397893
611.204988,0.9702155652093818
611.32419,0.9915273965370923
611.443392,0.9990502113350586
611.562594,0.9972011241768363
611.681796,1.0
611.800998,1.0
611.9202,0.973426458912277
612.039402,0.986391445120105
612.158604,0.9740993290452428
612.277806,0.997519282078936
612.397008,1.0
612.51621,0.9134962575480492
612.635412,0.9726723456632489
612.754614,0.9479230034643029
612.873816,0.9836737419185331
612.993018,0.96466923312602
613.11222,0.9717011311923324
613.231422,0.9705852877674014
613.350624,0.9966120520910481
613.469826,0.9818232270690105
613.589028,0.9656015538436262
613.70823,0.9720996103387641
613.827432,0.9934329578919558
613.946634,0.9836117724248518
614.065836,0.9920317164306975
614.185038,0.9883859696307986
614.30424,0.9334246845247536
614.423442,0.9977910433435782
614.542644,0.9908387225750175
614.661846,0.971216373285024
614.781048,0.967465996918197
614.90025,1.0
615.019452,0.9644377402903213
615.138654,0.9900330030450557
615.257856,1.0
615.377058,0.928278020507743
615.49626,0.9517879600870527
615.615462,0.9688097720861492
615.734664,0.9781639352886055
615.853866,1.0
615.973068,0.990297377149241
616.09227,0.9363733535864786
616.211472,0.993328454241774
616.330674,0.9980132761536357
616.449876,0.9976267206910814
616.569078,0.9154376701831528
616.68828,0.9992807887564809
616.807482,0.9988303845339822
616.926684,0.9777111502144001
617.045886,0.9642198019889713
617.165088,1.0
617.28429,0.9934622645964855
617.403492,0.9367451676080522
617.522694,0.9389472294705395
617.641896,1.0
617.761098,0.9208528753038436
617.8803,0.9999760532867271
617.999502,0.9815208720801317
618.118704,0.9521535168461319
618.237906,0.9742357124979281
618.357108,0.9657406104792172
618.47631,0.9862001037404656
618.595512,0.9604964430575575
618.714714,0.9867140478653335
618.833916,0.9674640619881381
618.953118,1.0
619.07232,0.9319156245439341
619.191522,1.0
619.310724,0.9820834447014972
619.429926,0.9937710806558517
619.549128,0.997954295311916
619.66833,0.9538326902601563
619.787532,1.0
619.906734,0.995441720634221
620.025936,0.9914599749664872
620.145138,1.0
620.26434,0.9671177718435807
620.383542,0.9264575980826597
620.502744,0.9687748955621353
620.621946,1.0
620.741148,0.9228708300936116
620.86035,0.9880025502627494
620.979552,1.0
621.098754,1.0
621.217956,0.9850932226540218
621.337158,0.966191716669408
621.45636,0.9989103940521219
621.575562,0.9468666583372881
621.694764,0.9804584603754479
621.813966,0.9524153950698699
621.933168,0.9992345630964008
622.05237,0.9989625385356505
622.171572,0.9208418251356412
622.290774,0.9994754676152359
622.409976,0.9627052392184792
622.529178,0.9639469663930661
622.64838,0.9544500196952919
622.767582,0.9996330873289239
622.886784,0.9459344538648992
623.005986,1.0
623.125188,0.9887685490253837
623.24439,0.9414801636371296
623.363592,0.9999290105198724
623.482794,0.995505032740957
623.601996,0.9821571037220286
623.721198,0.9963405123058293
623.8404,0.9825284292833452
623.959602,1.0
624.078804,0.9841627492765292
624.198006,1.0
624.317208,0.9400003794950789
624.43641,0.9559018868647446
624.555612,0.9653679065400601
624.674814,1.0
624.794016,0.9808644542129689
624.913218,0.9345650921417279
625.03242,0.9924172948687408
625.151622,0.9810037468550107
625.270824,0.9918191468115146
625.390026,0.9806418232514327
625.509228,0.9470086989888212
625.62843,0.9694174062866625
625.747632,0.9716233982111977
625.866834,0.9615718401497979
625.986036,0.9639913089733917
626.105238,0.9979679673794153
626.22444,0.9822111238482731
626.343642,0.9923915915936625
626.462844,0.9782079536560992
626.582046,1.0
626.701248,0.9288620910535721
626.82045,0.959481734685094
626.939652,0.9999364850171619
627.058854,0.9982791823075301
627.178056,0.9836776766213702
627.297258,0.985102088532922
627.41646,0.9959620744340295
627.535662,0.9334004157984508
627.654864,0.9974958406512451
627.774066,0.9998580700730052
627.893268,0.9602457861980626
628.01247,0.993658691502356
628.131672,1.0
628.250874,0.9665212442260476
628.370076,0.9519754807853722
628.489278,0.9834681755889018
628.60848,0.9537544791862528
628.727682,0.9921676340859953
628.846884,0.9811754375332065
628.966086,0.9826031042815847
629.085288,0.9768599345607945
629.20449,0.9849159218314968
629.323692,0.9741305007225164
629.442894,0.9627360462790444
629.562096,0.9842552649231285
629.681298,0.964047222090777
629.8005,0.9724068423557334
629.919702,0.9851858257692295
630.038904,0.9840052958332564
630.158106,0.9639180484178461
630.277308,0.9697907038432515
630.39651,0.9968563516427026
630.515712,1.0
630.634914,0.9649586773104146
630.754116,0.952312539761489
630.873318,0.975471826912293
630.99252,0.98894357654804
631.111722,0.9261519175153601
631.230924,0.9958479437201142
631.350126,0.9977587154374887
631.469328,0.9718556439556311
631.58853,0.9820068451802306
631.707732,0.9900904266245
631.826934,1.0
631.946136,0.9689628561234593
632.065338,0.9977252910803827
632.18454,0.9865581593612869
632.303742,1.0
632.422944,0.9546218361618551
632.542146,0.985317849515276
632.661348,0.9991340151814696
632.78055,0.9213686973307011
632.899752,0.9994891505280469
633.018954,0.9097040064678263
633.138156,0.9369400308679912
633.257358,0.9739152416688582
633.37656,0.9965057192580474
633.495762,0.9849100123536942
633.614964,0.9922783661726948
633.734166,0.9929974330357236
633.853368,0.9927897197003049
633.97257,0.9998023595334508
634.091772,0.9669224337834766
634.210974,0.941211880022724
634.330176,0.9700991463268294
634.449378,0.9655329985670446
