nu,[0]Ethylamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
600,0.9775038974201271
600.128003,0.9780602554065957
600.256005,0.9785572362387859
600.384008,0.97824023505121
600.51201,0.9780279799507152
600.640013,0.9783243673290606
600.768015,0.977818704356293
600.896018,0.9783860037057277
601.02402,0.978820503543199
601.152023,0.9785445150774025
601.280026,0.9787901605779076
601.408028,0.9780465626588695
601.536031,0.97817762967956
601.664033,0.9780592773468293
601.792036,0.9780025515538071
601.920038,0.978919369406699
602.048041,0.9784867826541361
602.176044,0.9785670218600763
602.304046,0.9776837746854533
602.432049,0.9783879604796919
602.560051,0.9782568652765624
602.688054,0.9785817004754935
602.816056,0.9786854356336102
602.944059,0.9780260238967114
603.072061,0.9784603638676598
603.200064,0.9774325422401112
603.328067,0.9783233890051823
603.456069,0.978427096780832
603.584072,0.9781786078576789
603.712074,0.9792620511517985
603.840077,0.978198171625473
603.968079,0.9784574284909712
604.096082,0.9778441279731119
604.224084,0.9783008878259998
604.352087,0.9785200517703182
604.48009,0.9784222046575783
604.608092,0.9789007701153741
604.736095,0.9782911048660364
604.864097,0.9782705609685459
604.9921,0.978302844429732
605.120102,0.9786433530646597
605.248105,0.9789967070916804
605.376108,0.978427096780832
605.50411,0.9792630304143393
605.632113,0.9783654578153825
605.760115,0.978447643965609
605.888118,0.9787324136619843
606.01612,0.9783409989846739
606.144123,0.979086778931974
606.272125,0.9780925319275838
606.400128,0.9784965675708872
606.528131,0.9775635269765527
606.656133,0.9783106708837933
606.784136,0.9785004815649855
606.912138,0.9785738718532043
607.040141,0.9789115380830691
607.168143,0.9784290536369823
607.296146,0.9784701485202216
607.424148,0.9781893678815452
607.552151,0.9783742631441268
607.680154,0.9791396510455705
607.808156,0.9785797433140497
607.936159,0.978480911751053
608.064161,0.9781541536981606
608.192164,0.9783830685521193
608.320166,0.9785523434648367
608.448169,0.9780358042058518
608.576172,0.979168046507183
608.704174,0.9784319889285462
608.832177,0.9787833090707638
608.960179,0.9782324091606333
609.088182,0.9783087142644081
609.216184,0.9784897181188873
609.344187,0.9784026364091684
609.472189,0.9792826158708015
609.600192,0.9784437301828607
609.728195,0.9782646913627889
609.856197,0.977775681279816
609.9842,0.9785004815649855
610.112202,0.9786766275043262
610.240205,0.9782823002857133
610.368207,0.9789115380830691
610.49621,0.9782431697763173
610.624212,0.9780964443055362
610.752215,0.978168826120509
610.880218,0.9786374812221569
611.00822,0.9789330743738052
611.136223,0.9786854356336102
611.264225,0.978907622444748
611.392228,0.9782881699971241
611.52023,0.9782314309287132
611.648233,0.9782226268854531
611.776236,0.9785396223670589
611.904238,0.9791220266904714
612.032241,0.9787118604971063
612.160243,0.9787647123645608
612.288246,0.9784192693953673
612.416248,0.9784094852515941
612.544251,0.97865705416751
612.672253,0.9784564500340319
612.800256,0.9784593854077851
612.928259,0.9782549087647884
613.056261,0.9783908956479761
613.184264,0.9783586092811477
613.312266,0.9782871917094433
613.440269,0.9784613423285129
613.568271,0.9786639047908664
613.696274,0.978917411569918
613.824276,0.9782157793510313
613.952279,0.9785787647347958
614.080282,0.9782519740044643
614.208284,0.9778431501294729
614.336287,0.9789037068220895
614.464289,0.9784613423285129
614.592292,0.9782862134227407
614.720294,0.9780230898230409
614.848297,0.9785836576408516
614.9763,0.9781971934277904
615.104302,0.9782030626285586
615.232305,0.9786590114835757
615.360307,0.9782284962388225
615.48831,0.9782979529277387
615.616312,0.9775918767299044
615.744315,0.9777649258064771
615.872317,0.9781101377516105
616.00032,0.9778108818379483
616.128323,0.978660968803556
616.256325,0.9782333873935315
616.384328,0.9776427128292215
616.51233,0.977736571034775
616.640333,0.9778480393574466
616.768335,0.978307735956183
616.896338,0.9782568652765624
617.02434,0.9788557417156099
617.152343,0.9782284962388225
617.280346,0.9785601719148981
617.408348,0.9783703496549012
617.536351,0.9783449123564965
617.664353,0.9787079456574941
617.792356,0.9786824995817074
617.920358,0.9788381224708327
618.048361,0.9786335666800611
618.176364,0.9786394384990765
618.304366,0.9785102666187263
618.432369,0.9781277438925448
618.560371,0.979329622564515
618.688374,0.9787226263867841
618.816376,0.9791053817575
618.944379,0.9785376652897713
619.072381,0.978509288108949
619.200384,0.9788821711774324
619.328387,0.9783605660003231
619.456389,0.9785582147965114
619.584392,0.9781786078576789
619.712394,0.9789516742789168
619.840397,0.9784251399285953
619.968399,0.9788058213457627
620.096402,0.9787989697289939
620.224404,0.9789115380830691
620.352407,0.9790104131415218
620.48041,0.9786922864556374
620.608412,0.9790348887077936
620.736415,0.9788890233766133
620.864417,0.9781345908107162
620.99242,0.9790348887077936
621.120422,0.9789996440862072
621.248425,0.9788792345353238
621.376428,0.9786736914788476
621.50443,0.9790554486563353
621.632433,0.9790153082058252
621.760435,0.9784946105797091
621.888438,0.9787157753523781
622.01644,0.9786805422186656
622.144443,0.9791044026526078
622.272445,0.9786511822428009
622.400448,0.9788449743616716
622.528451,0.9792199437889137
622.656453,0.9786228017700347
622.784456,0.9788743401513871
622.912458,0.978346869048278
623.040461,0.9787911393685576
623.168463,0.9785738718532043
623.296466,0.9787128392094562
623.424468,0.97837132802574
623.552471,0.978445687072278
623.680474,0.9788381224708327
623.808476,0.9785983365058075
623.936479,0.9788860867139482
624.064481,0.9783752415188791
624.192484,0.9785288584904143
624.320486,0.9786893503831823
