nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
520,0.896040200844276
520.119602,0.9222536359827284
520.239205,0.888367295898893
520.358807,0.8587563852126285
520.47841,0.8919100431270113
520.598012,0.8978430529073212
520.717614,0.864356482315099
520.837217,0.9004595813938109
520.956819,0.8837951269925569
521.076422,0.8954848281030928
521.196024,0.8946255751755097
521.315626,0.8978699886029419
521.435229,0.8874882474767183
521.554831,0.8753162756928664
521.674433,0.8659310435289858
521.794036,0.8958341352965282
521.913638,0.9044303327988913
522.033241,0.8620172473430433
522.152843,0.9101598823624428
522.272445,0.933990511311776
522.392048,0.8528940055473834
522.51165,0.8809098369475242
522.631253,0.8827087272591599
522.750855,0.9157214998522353
522.870457,0.8865834709787501
522.99006,0.8917762666540285
523.109662,0.8607940515263837
523.229265,0.8878965859812132
523.348867,0.9058350984916007
523.468469,0.8873196407278461
523.588072,0.9241286365359458
523.707674,0.8493703234192961
523.827277,0.9012433221073994
523.946879,0.8563124138282582
524.066481,0.9506693153380243
524.186084,0.9159678620699283
524.305686,0.8922758012199787
524.425289,0.8889093652637389
524.544891,0.8902704375473782
524.664493,0.8856707601304201
524.784096,0.8878788282270718
524.903698,0.8939369786263184
525.0233,0.852766081041129
525.142903,0.8783149822210605
525.262505,0.9145455534323127
525.382108,0.9045750532294649
525.50171,0.8823645379768015
525.621312,0.8902081207978616
525.740915,0.9209403604824777
525.860517,0.8862111841066548
525.98012,0.9024788716168504
526.099722,0.8870002631485976
526.219324,0.9085866669896263
526.338927,0.8845378267894746
526.458529,0.9240768867813064
526.578132,0.8741266546835706
526.697734,0.8944108908006231
526.817336,0.8755088664577262
526.936939,0.8638380239787645
527.056541,0.8992537736263764
527.176144,0.8810331729580161
527.295746,0.9194128676538877
527.415348,0.8815443204167657
527.534951,0.9300806278312741
527.654553,0.8879765002700406
527.774155,0.8927488327369044
527.893758,0.8930970726840476
528.01336,0.8524506159557835
528.132963,0.9230055790712413
528.252565,0.9081388441601981
528.372167,0.9024698468732579
528.49177,0.9004956004974439
528.611372,0.9305616038374471
528.730975,0.9177722617694126
528.850577,0.9131437160375244
528.970179,0.8696538674534428
529.089782,0.9212885417408522
529.209384,0.917483209035151
529.328987,0.9262315700052743
529.448589,0.8649011984665287
