nu,[0]Syringol-PNNL(x-sec)-X=0.01-T=323.15K-P=1.0atm-L=15cm
580,0.7690186942146455
580.118402,0.7495966628316487
580.236805,0.7685651070064431
580.355207,0.7934220337395202
580.473609,0.7960446513899588
580.592012,0.7621743070844494
580.710414,0.765604163989825
580.828817,0.7795487908094206
580.947219,0.7661019684653461
581.065621,0.7974150263749935
581.184024,0.7948196860921914
581.302426,0.7910136932891796
581.420828,0.8104869816966438
581.539231,0.7833936213876364
581.657633,0.7598076270843804
581.776036,0.7726647688069223
581.894438,0.7617476089591083
582.01284,0.7811094485285395
582.131243,0.8100899403586844
582.249645,0.8025990538550025
582.368047,0.7821646583904498
582.48645,0.7795955651400851
582.604852,0.7838559600007342
582.723254,0.7965224214974919
582.841657,0.7694648544312455
582.960059,0.8084956340834708
583.078462,0.7901124514842632
583.196864,0.7871157215615403
583.315266,0.7822037676010913
583.433669,0.7748312618343781
583.552071,0.7923912552468471
583.670473,0.7631428833702034
583.788876,0.7866278610665535
583.907278,0.8067753711133245
584.025681,0.8276540714487647
584.144083,0.8024626236127463
584.262485,0.7971519228307623
584.380888,0.788983398144179
584.49929,0.7844048512622632
584.617692,0.8064365966050837
584.736095,0.8057594742951204
584.854497,0.8113708941514663
584.972899,0.7967932851650152
585.091302,0.7830568345448001
585.209704,0.7875645054140775
585.328107,0.8074937208118141
585.446509,0.823048622881335
585.564911,0.8302071757511388
585.683314,0.8172828813894812
585.801716,0.7983485479594877
585.920118,0.780422374570715
586.038521,0.7780690543017191
586.156923,0.7943111642374435
586.275326,0.8158702043226737
586.393728,0.8226372014338273
586.51213,0.8049219200455547
586.630533,0.8243006080557983
586.748935,0.8015082610489953
586.867337,0.8148835983924052
586.98574,0.7882893981585919
587.104142,0.8367415814091443
587.222544,0.7939935033081699
587.340947,0.8113059870762519
587.459349,0.8250840657169177
587.577752,0.8166048180331473
587.696154,0.8110788532000971
587.814556,0.7974708473805522
587.932959,0.8067511682152364
588.051361,0.8312871469087718
588.169763,0.8261573725006017
588.288166,0.8089566079599723
588.406568,0.8093045341001542
588.52497,0.7968171893221307
588.643373,0.8054775078261276
588.761775,0.8110707424521189
588.880178,0.8285732775330701
588.99858,0.8209935712090612
589.116982,0.8306057708506702
589.235385,0.8040289524030313
589.353787,0.8108761088308992
589.472189,0.8131741383970028
589.590592,0.8279520805529065
589.708994,0.8129952597639266
589.827397,0.8333929661285026
589.945799,0.8449904106775056
590.064201,0.8114195778656123
590.182604,0.8114439208180907
590.301006,0.8429480061898574
590.419408,0.7881002314039524
590.537811,0.8259343401207528
590.656213,0.8212070572895634
590.774615,0.8565693460903189
590.893018,0.8312871469087718
591.01142,0.846902248568712
591.129823,0.8364822317201863
591.248225,0.8246963673222905
591.366627,0.8222177634268792
591.48503,0.8373107591830133
591.603432,0.8380646780788917
591.721834,0.8588422651450748
591.840237,0.8341600404574278
591.958639,0.8408012270807234
592.077042,0.8340516067005153
592.195444,0.8340265855276336
592.313846,0.8511473637555363
592.432249,0.8585417229502261
592.550651,0.8824880776596943
592.669053,0.8225713930900815
592.787456,0.8454637378267172
592.905858,0.8293773835406423
593.02426,0.8330263538840145
593.142663,0.8533205591796785
593.261065,0.8435804543329075
593.379468,0.8594350708024572
593.49787,0.8245974096957881
593.616272,0.8774195576833426
593.734675,0.8486316925889217
593.853077,0.848691098886599
593.971479,0.854780985644634
594.089882,0.8938207743725372
594.208284,0.8829647499115554
594.326687,0.8806103785137805
594.445089,0.8437407498468223
594.563491,0.8268102946951867
594.681894,0.826752420000196
594.800296,0.861302069867458
594.918698,0.8598648957851494
595.037101,0.8636825471277847
595.155503,0.8492599124541198
595.273905,0.8666673978222253
595.392308,0.8440361107944194
595.51071,0.8732878957637726
595.629113,0.8792464897139659
595.747515,0.8527234438030169
595.865917,0.8328764226345327
595.98432,0.8600540868724786
596.102722,0.8558843646425581
596.221124,0.8615863464535712
596.339527,0.8587048613752463
596.457929,0.8826116346393534
596.576332,0.8854582246532663
596.694734,0.8775599560441413
596.813136,0.8728426324887193
596.931539,0.8334096341545049
597.049941,0.8613968183062121
597.168343,0.8601400965815796
597.286746,0.8205339435169495
597.405148,0.8633112434685277
597.52355,0.891196800427629
597.641953,0.9085330619576379
597.760355,0.887905464991468
597.878758,0.8406330836502107
597.99716,0.8700452997594602
598.115562,0.8451509741085773
598.233965,0.9037613019245737
598.352367,0.9066017592366938
598.470769,0.865108799665308
598.589172,0.8714733447278674
598.707574,0.8583271143466819
598.825977,0.844204934898426
598.944379,0.8657319022910943
599.062781,0.8920349192741754
599.181184,0.8641577031846428
599.299586,0.8880209002050432
599.417988,0.9027677110676151
599.536391,0.8457766172888441
599.654793,0.844204934898426
599.773195,0.8613279093171439
599.891598,0.8793168322468069
600.01,0.9120413044192277
600.128403,0.8764636914072269
600.246805,0.8859807991501293
600.365207,0.9024608222199125
600.48361,0.839381473037037
600.602012,0.8502201185694742
600.720414,0.8739955455188013
600.838817,0.8725720932084029
600.957219,0.9101544214195315
601.075622,0.868272216507773
601.194024,0.8651866629610736
601.312426,0.8506538414198705
601.430829,0.8490561145318597
601.549231,0.8769195710451921
601.667633,0.8968649371495818
601.786036,0.8830265596073633
601.904438,0.865472221674447
602.02284,0.8599336877284532
602.141243,0.8584129513498951
602.259645,0.8629487288796636
602.378048,0.8611212154231672
602.49645,0.8583700317753259
602.614852,0.8938028981358126
602.733255,0.8779549468906361
602.851657,0.8393311116595112
602.970059,0.8343519193319577
603.088462,0.8403725277825252
603.206864,0.8826204607998305
603.325267,0.8743714444158452
603.443669,0.8976994095106342
603.562071,0.8673610091480208
603.680474,0.8357715239168311
603.798876,0.8518541093262921
603.917278,0.8839542244337557
604.035681,0.8657145878261937
604.154083,0.8352869169825554
604.272485,0.9209504908821601
604.390888,0.861319296081117
604.50929,0.8757014995972153
604.627693,0.8658184798101272
604.746095,0.8314617355407874
604.864497,0.870811276603629
604.9829,0.8772353189219761
605.101302,0.9016670060267117
605.219704,0.8690887761141792
605.338107,0.865108799665308
605.456509,0.8538668591348922
605.574911,0.8479191412805944
605.693314,0.8752112440418084
605.811716,0.8826734196162271
605.930119,0.8749924685788703
606.048521,0.910529482298392
606.166923,0.8662861480482846
606.285326,0.8659223842618469
606.403728,0.8604411983051111
606.52213,0.873689700603852
606.640533,0.8910631309330276
606.758935,0.9102745697327731
606.877338,0.9121954524248141
606.99574,0.8924721234909051
607.114142,0.8520670994762832
607.232545,0.8641749865115391
607.350947,0.865705930723601
607.469349,0.8647455302613635
607.587752,0.9044212885407846
607.706154,0.9251559139981016
607.824556,0.887399503089264
607.942959,0.8580439131297183
608.061361,0.8609490084013588
608.179764,0.8635702756944594
608.298166,0.8702628382755816
608.416568,0.88068083016209
608.534971,0.8781568997521098
608.653373,0.8650914976623353
608.771775,0.865679959935243
608.890178,0.8670141341239914
609.00858,0.8745813187464174
609.126983,0.8802405998137676
609.245385,0.8961746169553589
609.363787,0.8961746169553589
609.48219,0.8911700649246508
609.600592,0.8904930329800348
609.718994,0.8634666534788333
609.837397,0.8587048613752463
609.955799,0.8914463704699241
610.074201,0.8656539899259971
610.192604,0.9232465149681457
610.311006,0.8693408484079683
610.429409,0.8840691459526689
610.547811,0.9057381793213302
610.666213,0.8836360581863203
610.784616,0.8844140001617903
610.903018,0.8734188987731173
611.02142,0.8851129632759962
611.139823,0.8904217963868981
611.258225,0.8833533398850414
611.376628,0.9033727681055039
611.49503,0.8636480005168364
611.613432,0.8903238553761499
611.731835,0.8957176844284102
611.850237,0.8823027746208858
611.968639,0.8949476983612674
612.087042,0.9089356312666035
612.205444,0.8851483685026271
612.323846,0.8966945489989103
612.442249,0.8860250992975812
612.560651,0.8984358249154851
612.679054,0.8714820595048886
612.797456,0.8949745471949487
612.915858,0.9161666486635628
613.034261,0.9228385301798101
613.152663,0.9059284043119126
613.271065,0.8574006214594017
613.389468,0.9111424748888487
613.50787,0.9144623335735114
613.626273,0.9196666606271795
613.744675,0.9160017535078125
613.863077,0.9134067393012753
613.98148,0.9112855354873693
614.099882,0.9180926201880625
614.218284,0.903598639530282
614.336687,0.9260157831896034
614.455089,0.8999554651939405
614.573491,0.9162839255001491
614.691894,0.9513492869593774
614.810296,0.9059537706623605
614.928699,0.9038787985309379
615.047101,0.9254649676824692
615.165503,0.8937850222566093
615.283906,0.9336674064952188
615.402308,0.9343286770811823
615.52071,0.9471223468514353
615.639113,0.9210158806883234
615.757515,0.9139129068303078
615.875918,0.9362572504891746
615.99432,0.914013442779435
616.112722,0.9524954013232715
616.231125,0.921170624354383
616.349527,0.9616680021418323
616.467929,0.9535780509277204
616.586332,0.9423665134332874
616.704734,0.9164360412570407
616.823136,0.9072411388317806
616.941539,0.9147925140699252
617.059941,0.9502112031419399
617.178344,0.976876541320839
617.296746,0.9687196769668331
617.415148,0.9415799658238976
617.533551,0.9438585171212833
617.651953,0.9309813817735871
617.770355,0.88588334662221
617.888758,0.9201109669155935
618.00716,0.9427784175941618
618.125563,0.9500325802268292
618.243965,0.943959515385926
618.362367,0.9446025707514039
618.48077,0.9404554497968839
618.599172,0.9454398594932298
618.717574,0.9464217355729094
618.835977,0.9609268418661819
618.954379,0.9539576505272991
619.072781,0.9582620498026124
619.191184,0.9472085389066778
619.309586,0.9182303444101492
619.427989,0.9693708753679118
619.546391,0.9494760242216524
619.664793,0.9690568500791364
619.783196,0.9817937728140144
619.901598,0.9735617745942878
620.02,0.9549455078235609
620.138403,0.9591507705812183
620.256805,0.9350960758991759
620.375208,0.9271925703359222
620.49361,0.9554957148804876
620.612012,0.9556142036952874
620.730415,0.9628284733759169
620.848817,0.9561294185890197
620.967219,0.9476007644268656
621.085622,0.9402664372478723
621.204024,0.9384300120535853
621.322426,0.9625954970766292
621.440829,0.9782549087647884
621.559231,0.9796871431202832
621.677634,0.9428010445477064
621.796036,0.9800016731725973
621.914438,0.9308128893925066
622.032841,0.9538994608854191
622.151243,0.9806653589376179
622.269645,0.9713581812272515
622.388048,0.9621864809124631
622.50645,0.9596861260614908
622.624852,0.963023947395954
622.743255,0.9565358599545923
622.861657,0.9767622534514753
622.98006,0.9724807480841344
623.098462,1.0062808422860818
623.216864,0.9707765119040507
623.335267,0.935472995561974
623.453669,0.9611190464543733
623.572071,0.9622528740701836
623.690474,0.9511656942642592
623.808876,0.9985850020549742
623.927279,0.9783938308250658
624.045681,0.9737681915699281
624.164083,0.9522515937092388
624.282486,0.9540788108424333
624.400888,0.9670616806394744
624.51929,0.9458464860512564
624.637693,0.9749734881451396
624.756095,0.9682344699631762
624.874497,0.9804751283109513
624.9929,0.9610411989644764
625.111302,0.9715524722919557
625.229705,0.9588026620370206
625.348107,0.9534207235291846
625.466509,0.9840879557497743
625.584912,0.9686867410577299
625.703314,1.0211914154355248
625.821716,0.9858106316252948
625.940119,0.9577839963240234
626.058521,0.968191868583735
626.176924,0.9533482663076057
626.295326,0.9565731655805856
626.413728,0.9867357558131731
626.532131,1.00510488575417
626.650533,0.9886983489505351
626.768935,0.9688562760712961
626.887338,0.9660448666893555
627.00574,0.9569424740944574
627.124142,0.9755791347150742
627.242545,0.9625916467023417
627.360947,0.9862701264336075
627.47935,0.9962996631822375
627.597752,0.9782969746302749
627.716154,0.9682489935891525
627.834557,0.9498045997663244
627.952959,0.9478064161051464
628.071361,1.0036337862507285
628.189764,1.0268604084056492
628.308166,0.9818271543697733
628.426569,0.9578797795127355
628.544971,0.9799507144105317
628.663373,0.9685792227968464
628.781776,0.9491893257559848
628.900178,0.9561408922108843
629.01858,0.9908797441472728
629.136983,0.9786991373256207
629.255385,0.9564583836877673
629.373787,0.9730050564957752
629.49219,0.959320555293115
629.610592,0.96305091244399
629.728995,0.9853001139536053
629.847397,0.9930039868404091
629.965799,1.0071247611953593
630.084202,0.9428585571655409
