nu,[0]Isopentane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
600,0.9997462721943455
600.241054,1.0001797961613927
600.482108,0.9995752502317343
600.723162,1.0001314386373008
600.964216,0.9995701524109576
601.20527,1.0002356077511474
601.446324,1.000020399208061
601.687378,0.9999072782989227
601.928432,0.9997444926475648
602.169486,0.9998264350641366
602.41054,0.9999757762933987
602.651594,1.0001568122937625
602.892648,0.9997391840184033
603.133702,0.9997682268635443
603.374756,1.0001639434372567
603.61581,0.9998378831423582
603.856864,0.9996289588527985
604.097918,0.9998036492793265
604.338972,0.999703633925104
604.580026,1.0001390796706808
604.82108,0.9998099680583572
605.062134,0.9998657290151557
605.303188,0.9993827405830241
605.544242,0.999931086374653
605.785296,1.0001028952933575
606.02635,0.9995214945202809
606.267404,1.0001836468610206
606.508458,1.0004310428722918
606.749512,1.0001243677330254
606.990566,0.9999937294196601
607.23162,1.000126187961031
607.472674,0.9998422524434545
607.713728,0.9996440933498033
607.954782,0.9996858193650756
608.195836,0.9997794143325966
608.43689,0.9997791943811497
608.677944,0.9999490662971651
608.918998,0.999702304320155
609.160052,1.0000905100957915
609.401106,1.000141960075378
609.64216,1.0001323387560006
609.883214,1.00003261753194
610.124268,1.0004215788393913
610.365322,0.9996695945958917
610.606376,0.9998803271613655
610.84743,1.0002315968144022
611.088484,0.9998478915696606
611.329538,0.9994815744289993
611.570592,0.999622921112121
611.811646,1.0002326070488252
612.0527,1.0002475006232265
612.293754,1.0002605239304663
612.534808,0.9999774212549037
612.775862,0.9998403827401905
613.016916,0.9999151326014414
613.25797,0.9998981851834803
613.499024,0.9998559203804654
613.740078,0.9997567795828826
613.981132,0.9999588868451689
614.222186,0.999952974105752
614.46324,0.9999469944048462
614.704294,0.9996480819376931
614.945348,1.0001423101251252
615.186402,1.000053150412433
615.427456,1.0000816033293705
615.66851,0.9998567202655217
615.909564,1.0000185041712
616.150618,0.9996498313233672
616.391672,0.9997600287976961
616.632726,0.9998704483925344
616.87378,1.0002140929146175
617.114834,1.0002195140896926
617.355888,1.0001025352563802
617.596942,0.9997979704107266
617.837996,1.0002010502078846
618.07905,0.9998829468512545
618.320104,0.9999737693440297
618.561158,0.999694066807106
618.802212,0.9999283435674449
619.043266,1.0003616853923945
619.28432,0.9999517951618906
619.525374,0.9997801841630422
619.766428,1.0001766756052968
620.007482,1.00013906966929
620.248536,1.000442637935272
620.48959,0.9998217658855874
620.730644,1.0000237502820335
620.971698,0.9996181329297966
621.212752,1.0000384157378657
621.453806,1.000178976014296
621.69486,0.9996074570651461
621.935914,0.9997823236949255
622.176968,0.9999674095310809
622.418022,1.0000341735839036
622.659076,1.0004045618130655
622.90013,0.9998964753590455
623.141184,1.0002866210679713
623.382238,0.9997207190061994
