nu,[0](Perfluoro-n-butyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
650.018,0.8862200462628066
650.078265,0.8947060951006177
650.13853,0.9014326030788484
650.198795,0.9041952114794596
650.25906,0.9032734025662171
650.319325,0.9023525334187043
650.37959,0.9060407463991127
650.439855,0.9100570401064327
650.50012,0.907583233221861
650.560385,0.8977532730910961
650.62065,0.8883317619177413
650.680915,0.8826116346393534
650.74118,0.8796158508000442
650.801445,0.8772265466126485
650.86171,0.8763234684347387
650.921975,0.8793168322468069
650.98224,0.8862200462628066
651.042505,0.8971430083789118
651.10277,0.9137803990658625
651.163035,0.9338971169304418
651.223299,1.0
651.283564,1.0
651.343829,1.0
651.404094,1.0
651.464359,1.0
651.524624,1.0
651.584889,1.0
651.645154,1.0
651.705419,1.0
651.765684,1.0
651.825949,1.0
651.886214,0.9200198804387238
651.946479,0.9125375898662343
652.006744,0.9125375898662343
652.067009,0.9131583264538641
652.127274,0.9103665121073279
652.187539,0.9041952114794596
652.247804,0.9014326030788484
652.308069,0.9066570636307741
652.368334,0.9144019810511507
652.428599,0.9150249008803745
652.488864,0.9085103489150032
652.549129,0.9069653794431265
652.609394,0.9178310010738036
652.669659,0.9291426497673038
652.729924,0.9275635215493532
652.790189,0.9159596183962663
652.850454,0.9106760893465928
652.910719,0.9150249008803745
652.970984,0.9209597004331166
653.031249,0.9225275859921779
653.091514,0.9222130577154736
653.151779,0.9240981407941226
653.212044,0.9253566946153483
653.272309,0.9259861511586563
653.332574,0.9278789467659282
653.392839,0.9297746816356265
653.453104,0.9275635215493532
653.513368,0.9237840008330722
653.573633,0.9263019662796194
653.633898,1.0
653.694163,1.0
653.754428,1.0
653.814693,1.0
653.874958,1.0
653.935223,1.0
653.995488,1.0
654.055753,1.0
654.116018,1.0
654.176283,1.0
654.236548,1.0
654.296813,1.0
654.357078,1.0
654.417343,0.9316752213261503
654.477608,0.9294586119787568
654.537873,0.9342146959355696
654.598138,0.9323089759287962
654.658403,0.9150249008803745
654.718668,0.8962283890455228
654.778933,0.8968380316050525
654.839198,0.9168943738512692
654.899463,1.0
654.959728,1.0
655.019993,0.9291426497673038
655.080258,0.9313585055956246
655.140523,1.0
655.200788,1.0
655.261053,1.0
655.321318,1.0
655.381583,1.0
655.441848,1.0
655.502113,1.0
655.562378,1.0
655.622643,1.0
655.682908,1.0
655.743173,1.0
655.803437,1.0
655.863702,1.0
655.923967,1.0
655.984232,1.0
656.044497,1.0
656.104762,0.9300917888657741
656.165027,0.9244123875809191
656.225292,0.9259861511586563
656.285557,1.0
656.345822,1.0
656.406087,1.0
656.466352,1.0
656.526617,1.0
656.586882,1.0
656.647147,1.0
656.707412,1.0
656.767677,1.0
656.827942,1.0
656.888207,1.0
656.948472,1.0
657.008737,1.0
657.069002,1.0
657.129267,1.0
657.189532,1.0
657.249797,1.0
657.310062,1.0
657.370327,1.0
657.430592,1.0
657.490857,1.0
657.551122,1.0
657.611387,1.0
657.671652,1.0
657.731917,1.0
657.792182,1.0
657.852447,1.0
657.912712,1.0
657.972977,1.0
658.033242,1.0
658.093506,1.0
658.153771,1.0
658.214036,1.0
658.274301,1.0
658.334566,1.0
658.394831,1.0
658.455096,1.0
658.515361,0.9310409664887113
658.575626,0.9253566946153483
658.635891,0.9323089759287962
658.696156,1.0
658.756421,1.0
658.816686,1.0
658.876951,1.0
658.937216,1.0
