nu,[0]Iodoethane-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
600,0.9998988551154888
600.241054,1.0007978180876778
600.482108,0.9997201091767468
600.723162,0.9999834721365867
600.964216,0.9996132947897415
601.20527,1.0007728084627003
601.446324,1.000548060130102
601.687378,1.0003448994641477
601.928432,0.9989111931807567
602.169486,1.0007096716978845
602.41054,0.9981008057560713
602.651594,0.9995352280399646
602.892648,1.0004453091206813
603.133702,1.0010529539671946
603.374756,0.9993549281483655
603.61581,0.9999225230014976
603.856864,1.0002853607076228
604.097918,0.9999655915919828
604.338972,0.9996103159465615
604.580026,0.9998730680565409
604.82108,0.9996845397680458
605.062134,1.000926799213215
605.303188,0.999908299204775
605.544242,0.9995853759803061
605.785296,0.9992077040323322
606.02635,0.9995187558351379
606.267404,1.000845427172257
606.508458,1.0002518016967266
606.749512,1.0002390185603853
606.990566,0.9997387041437101
607.23162,1.00038083249829
607.472674,0.9996018092989686
607.713728,0.9997193193981725
607.954782,0.9994714397372175
608.195836,1.0013489089603804
608.43689,1.0003377470236867
608.677944,0.9998879262807285
608.918998,0.999720019201941
609.160052,0.9999315613420318
609.401106,0.9996991452658647
609.64216,1.0000424379004622
609.883214,0.999573381027764
610.124268,0.9996209718493253
610.365322,0.9987301069973916
610.606376,1.0003313248759658
610.84743,1.000573784551414
611.088484,0.9989543470764196
611.329538,1.0003640462487577
611.570592,0.9997945511075148
611.811646,0.9998889861624921
612.0527,1.00004358594984
612.293754,1.0006183511002675
612.534808,0.999799370128865
612.775862,1.0000294714342741
613.016916,0.9994888007069054
613.25797,0.9994406764797514
613.499024,0.9994777264323451
613.740078,1.0005131516172667
613.981132,0.9997736156288098
614.222186,0.9998193363216482
614.46324,1.0005408161883698
614.704294,0.9997599388192976
614.945348,0.9991939650208577
615.186402,0.9997606386514997
615.427456,1.001302847969979
615.66851,0.9995246730036873
615.909564,1.000076345914201
616.150618,0.9999066713553889
616.391672,0.9998661989521588
616.632726,0.9999973457035226
616.87378,0.999469110971476
617.114834,1.0004298323514624
617.355888,0.9998816270066357
617.596942,1.0001146365702696
617.837996,0.9998155670098554
618.07905,0.9998872363582975
618.320104,0.9998943855775958
618.561158,1.0007910126856532
618.802212,0.9996381254923801
619.043266,1.0001513214479354
619.28432,0.9998982651753383
619.525374,0.9995429444817105
619.766428,0.9999272296478905
620.007482,0.9991275707878549
620.248536,1.0003756905540258
620.48959,0.9994064262346497
620.730644,0.9999623527086771
620.971698,0.9993480925840346
621.212752,1.0004885593062407
621.453806,0.9999215130802594
621.69486,0.9997600287976961
621.935914,1.0001993698715317
622.176968,1.00047354208567
622.418022,0.9989219814798999
622.659076,0.9995908437272669
622.90013,0.9995834967615657
623.141184,0.99971245135004
623.382238,1.0001708545939838
623.623292,0.999515217545005
623.864346,0.9995632853875988
624.1054,0.9993936638960744
624.346454,1.0006430266530542
624.587508,0.9997693066138124
624.828562,0.9996660457751301
