nu,[0]1-1-1-3-3-3-Hexafluoropropan-2-ol-HITRAN(x-sec)-X=0.01-T=300.4K-P=0.0atm-L=15cm
530,0.9999714794067198
530.119002,0.999970568433117
530.238004,0.9999697344580107
530.357006,0.9999696574603442
530.476008,0.999970597432264
530.59501,0.9999704164376022
530.714012,0.9999707714271631
530.833014,0.9999701414457755
530.952016,0.9999700504484967
531.071018,0.9999687264890265
531.19002,0.9999773142573254
531.309022,0.9999703224403875
531.428024,0.9999728563683951
531.547026,0.9999726743733517
531.666028,0.9999714254082614
531.78503,0.9999726853730512
531.904032,0.9999720673901226
532.023034,0.9999735433499833
532.142036,0.9999720493906256
532.261038,0.9999720053918564
532.38004,0.999971801397588
532.499042,0.9999766822718624
532.618044,0.9999712694127312
532.737046,0.9999714944062922
532.856048,0.9999717084002149
532.97505,0.999971179415321
533.094052,0.9999708634244783
533.213054,0.9999705444338237
533.332056,0.9999716234026232
533.451058,0.9999714464076616
533.57006,0.9999716504018574
533.689062,0.9999721763870839
533.808064,0.9999710354194815
533.927066,0.9999727523712234
534.046068,0.9999734023537237
534.16507,0.9999735673493486
534.284072,0.9999739673388556
534.403074,0.9999735243504861
534.522076,0.9999743953278052
534.641078,0.9999748023174669
534.76008,0.999974812317215
534.879082,0.99997662027331
534.998084,0.9999785952290854
535.117086,0.9999771912601233
535.236088,0.9999770652630051
535.35509,0.9999775722515057
535.474092,0.999978394233408
535.593094,0.9999779842423504
535.712096,0.9999778972442696
535.831098,0.9999778352456418
535.9501,0.9999784122330192
536.069102,0.9999786122287216
536.188104,0.9999800941981231
536.307106,0.9999787812251214
536.426108,0.9999785512300281
536.54511,0.9999791022183617
536.664112,0.9999783292348144
536.783114,0.9999788132244429
536.902116,0.9999798512029897
537.021118,0.9999803561929421
537.14012,0.9999788632233848
537.259122,0.999979455211047
537.378124,0.9999793062141193
537.497126,0.9999795172097752
537.616128,0.9999795422092634
537.73513,0.9999799532009398
537.854132,0.9999796402072634
537.973134,0.9999805331894808
538.092136,0.9999804161917653
538.211138,0.9999802761945168
538.33014,0.9999797392052526
538.449142,0.9999797902042207
538.568144,0.9999797652047262
538.687146,0.999979870202607
538.806148,0.9999798032039581
538.92515,0.9999803191936696
539.044152,0.9999805021900847
539.163154,0.9999800731985413
539.282156,0.9999806641869392
539.401158,0.9999809421816025
539.52016,0.9999810021804608
539.639162,0.9999805291895587
539.758164,0.9999807291856845
539.877166,0.9999808481833984
539.996168,0.9999805901883728
540.11517,0.9999812041766437
540.234172,0.9999811801770951
540.353174,0.999981020180119
540.472176,0.9999810601793606
540.591178,0.9999815981693158
540.71018,0.9999816821677735
540.829182,0.9999814591718833
540.948184,0.9999817991656372
541.067186,0.999981790165801
541.186188,0.9999825011531066
541.30519,0.9999828331473521
541.424192,0.9999830011444821
541.543194,0.9999828341473349
541.662196,0.9999825771517796
541.781198,0.9999829881447032
541.9002,0.9999835991344956
542.019202,0.9999834421370829
542.138204,0.9999841131261977
542.257206,0.9999844321211807
542.376208,0.9999843351226955
542.49521,0.9999845751189647
542.614212,0.999984513119923
542.733214,0.9999856101035356
542.852216,0.999985123110662
542.971218,0.9999854891052841
543.09022,0.9999856341031905
543.209222,0.9999860500973008
543.328224,0.9999862130950402
543.447226,0.9999857171020016
543.566228,0.9999865100909896
543.68523,0.9999869200855428
543.804232,0.9999869920846036
543.923234,0.9999864750914624
544.042236,0.9999868140869349
544.161238,0.9999871630823939
544.28024,0.9999876720759895
544.399242,0.9999872500812809
544.518244,0.9999878340740055
544.637246,0.9999879890721318
544.756248,0.9999876080767806
544.87525,0.9999884200670479
544.994252,0.9999882820686555
545.113254,0.9999884150671059
545.232256,0.9999882150694428
545.351258,0.9999884170670826
545.47026,0.9999887960627646
545.589262,0.9999890590598525
545.708264,0.9999886820640483
545.827266,0.9999892380579101
545.946268,0.9999892420578671
546.06527,0.999989022060258
546.184272,0.999989420055968
546.303274,0.9999890080604118
546.422276,0.9999892090582226
546.541278,0.9999892300579962
546.66028,0.9999893240569883
546.779282,0.9999886000649798
546.898284,0.9999893760564345
547.017286,0.9999894170559998
547.136288,0.9999891850584819
547.25529,0.999989398056201
547.374292,0.999989720052839
547.493294,0.9999889620609185
547.612296,0.9999893700564982
547.731298,0.9999894830553034
547.8503,0.9999894220559469
547.969302,0.999989420055968
548.088304,0.9999892050582658
548.207306,0.9999891550588068
548.326308,0.9999889850606649
548.44531,0.9999890610598307
548.564312,0.999989091059503
548.683314,0.9999891240591434
548.802316,0.9999888470621945
548.921318,0.9999888180625184
549.04032,0.9999890830595902
549.159322,0.9999891720586226
549.278324,0.9999890990594157
549.397326,0.9999893050571913
549.516328,0.9999892300579962
549.63533,0.9999890100603899
549.754332,0.9999890040604558
549.873334,0.9999889610609295
549.992336,0.9999885770652422
550.111338,0.9999890550598963
550.23034,0.9999889690608412
550.349342,0.9999895340547684
550.468344,0.9999889010615937
550.587346,0.9999891940583846
550.706348,0.9999895030550933
550.82535,0.9999892400578886
550.944352,0.9999892050582658
551.063354,0.9999892380579101
551.182356,0.9999893770564239
551.301358,0.9999898240517753
551.42036,0.9999901060489454
551.539362,0.9999901848481689
551.658364,0.9999904241458488
551.777366,0.9999903866462085
551.896368,0.9999905626445321
552.01537,0.9999907324429441
552.134372,0.9999904726453855
552.253374,0.9999908794415926
552.372376,0.999990626243934
552.491378,0.9999906372438309
552.61038,0.9999906654435673
552.729382,0.9999910246402788
552.848384,0.9999911028395799
552.967386,0.9999911439392152
553.086388,0.9999913286375964
553.20539,0.999991269838108
553.324392,0.9999913686372505
553.443394,0.9999909228411976
553.562396,0.9999911541391249
553.681398,0.9999909692407776
553.8004,0.9999905013451125
553.919402,0.9999902802472371
554.038404,0.9999900901491029
554.157406,0.9999898340516736
554.276408,0.9999894570555772
554.39541,0.9999893130571058
554.514412,0.9999893430567857
554.633414,0.9999889990605108
554.752416,0.9999893690565089
554.871418,0.9999890360601045
554.99042,0.9999888350623284
555.109422,0.9999889890606208
555.228424,0.999988587065128
555.347426,0.999988872061916
555.466428,0.9999888350623284
555.58543,0.9999889550609958
555.704432,0.9999886820640483
555.823434,0.9999890330601373
555.942436,0.9999890560598853
556.061438,0.999988978060742
556.18044,0.9999891200591869
556.299442,0.999989250057781
556.418444,0.9999893990561904
556.537446,0.9999894830553034
556.656448,0.9999895560545384
556.77545,0.9999895440546638
556.894452,0.9999897120529213
557.013454,0.9999894230559363
557.132456,0.9999894370557882
557.251458,0.9999896520535404
557.37046,0.9999896100539759
557.489462,0.9999897880521423
557.608464,0.9999896400536646
557.727466,0.9999900539494623
557.846468,0.9999897920521015
557.96547,0.9999899160508433
558.084472,0.999990143248578
558.203474,0.9999900444495569
558.322476,0.9999902707473295
558.441478,0.999990135748652
558.56048,0.9999901176488307
558.679482,0.9999900719492835
558.798484,0.9999902114479082
558.917486,0.9999903336467195
559.036488,0.9999901832481847
559.15549,0.9999904020460606
559.274492,0.9999904573455314
559.393494,0.9999904449456498
559.512496,0.9999905014451116
559.631498,0.9999903725463443
559.7505,0.9999904234458555
559.869502,0.9999908182421526
559.988504,0.9999907168430888
560.107506,0.9999907853424552
560.226508,0.9999907746425539
560.34551,0.9999906329438711
560.464512,0.9999906961432812
560.583514,0.9999912312384458
560.702516,0.9999908365419847
560.821518,0.9999910664399044
560.94052,0.9999912044386812
561.059522,0.9999911197394298
561.178524,0.9999913213376598
561.297526,0.9999914383366513
561.416528,0.9999913686372505
561.53553,0.9999915508356944
561.654532,0.9999914281367386
561.773534,0.9999917876337217
561.892536,0.9999919613323103
562.011538,0.9999918177334749
562.13054,0.9999918887328965
562.249542,0.9999918893328916
562.368544,0.9999919815321481
562.487546,0.9999921145310905
562.606548,0.9999920529315781
562.72555,0.9999922406301041
562.844552,0.9999924177287456
562.963554,0.9999924477285186
563.082556,0.9999923553292206
563.201558,0.9999925872274747
563.32056,0.9999928113258386
563.439562,0.9999929455248829
