nu,[0]1-1-1-Trichloroethane-PNNL(x-sec)-X=0.01-T=278.06K-P=1.0atm-L=15cm
500,0.9537239595312359
500.120002,0.9502596651490708
500.240005,0.9259176307187582
500.360007,0.9837003014681172
500.48001,0.9681163525631485
500.600012,0.9735461977305095
500.720014,0.989763750688208
500.840017,0.938345557153028
500.960019,0.9376083073222451
501.080022,0.9576585348384118
501.200024,0.9872766351947736
501.320026,0.9496241540352561
501.440029,0.959977914993484
501.560031,0.9284971199733028
501.680034,0.9495899681810599
501.800036,0.9431009029548324
501.920038,0.9615997261375071
502.040041,0.9646701977957355
502.160043,0.9699119352580375
502.280046,0.9867752260328048
502.400048,0.95970340056723
502.52005,0.9437716861319949
502.640053,0.9485763474648516
502.760055,0.96709746258362
502.880058,0.9877555804976906
503.00006,0.9476424597777914
503.120062,0.9484663189903206
503.240065,0.9872312215140773
503.360067,0.9565549908630999
503.48007,0.9956412271449209
503.600072,0.9675337219083283
503.720074,0.9502416103869537
503.840077,0.9628814303982574
503.960079,0.9587077452719364
504.080082,0.9832715016218363
504.200084,0.9668586190087576
504.320086,0.9694571532151267
504.440089,0.926969143850444
504.560091,0.9927486190566985
504.680094,0.9662419599449886
504.800096,0.957960244793709
504.920098,0.9918262879350797
505.040101,0.9699439428800238
505.160103,0.9646190716301076
505.280106,0.9599519959396879
505.400108,0.9656652856493064
505.52011,0.9630277994994477
505.640113,0.9670964954866409
505.760115,0.9209689100761691
505.880118,0.9483269046886312
506.00012,0.9567491912369162
506.120122,0.972694717384473
506.240125,0.9576221445055085
506.360127,0.9536257310222592
506.48013,0.961699737709537
506.600132,0.9489292835081425
506.720134,0.9798723214891375
506.840137,0.9405645489566893
506.960139,0.965196086345147
507.080142,0.9553600441218264
507.200144,0.9930915736545702
507.320146,0.9488135211971991
507.440149,0.9421168193931492
507.560151,0.963886239647096
507.680154,0.9297244751584052
507.800156,0.9583128390371548
507.920158,0.9578998951993192
508.040161,0.9176676416950285
508.160163,0.928896459586755
508.280166,0.973438140099871
508.400168,0.9781042691083899
508.52017,0.9583099641029501
508.640173,0.9356535592739552
508.760175,0.9591862598162767
508.880178,0.9596486990324062
509.00018,0.9289707742760699
509.120182,0.9364520122517975
509.240185,0.9408119499648714
509.360187,0.9650503527392731
509.48019,0.9560462389479693
509.600192,0.9510287362654978
509.720194,0.8949476983612674
509.840197,0.9853257320896024
509.960199,0.9435989917154538
510.080202,0.9661144244238055
510.200204,0.9601564874924003
510.320206,0.9186647700966305
510.440209,0.9461387977752818
510.560211,0.9339129933163784
510.680214,0.9257778277119123
510.800216,0.9332492171785103
510.920218,0.9367414206348758
511.040221,0.9271369404506152
511.160223,0.9570515717549527
511.280226,0.9199002856280979
511.400228,0.9426021345130535
511.52023,0.9515957183361856
511.640233,0.9185646410938197
511.760235,0.9385839271962588
511.880238,0.9090028949920443
512.00024,0.9316332968844976
512.120242,0.9360746981247632
512.240245,0.9265298645936675
512.360247,0.9296045484365496
512.48025,0.9199407621311421
512.600252,0.9373355029997683
512.720254,0.9020367652946528
512.840257,0.9281787000732866
512.960259,0.9346211677295072
513.080262,0.9104784940750669
513.200264,0.92060335798576
513.320266,0.912333204338138
513.440269,0.9102672875653439
513.560271,0.9045660075241612
513.680274,0.9045931449114456
513.800276,0.8883406452797773
513.920278,0.9180237658236193
514.040281,0.9016038915453224
514.160283,0.9058876384509573
514.280286,0.9015588124777313
514.400288,0.8965690205492469
514.52029,0.8778232635251019
514.640293,0.9207746061359297
514.760295,0.8947418840601962
514.880298,0.8895585060079257
515.0003,0.8991368782341701
515.120302,0.8854582246532663
515.240305,0.8837951269925569
515.360307,0.889914400584499
515.48031,0.9195783768654476
515.600312,0.9212516909362035
515.720314,0.9113748458459833
515.840317,0.9095966677281733
515.960319,0.9074498282920799
516.080322,0.9071241122732466
516.200324,0.8983729366088574
516.320326,0.9021991465262783
516.440329,0.9112026122767033
516.560331,0.9040324709884769
516.680334,0.8963000901846538
516.800336,0.8891849698834795
516.920338,0.8878344353954905
517.040341,0.9226078493835661
517.160343,0.9012433221073994
517.280346,0.8905642752723268
517.400348,0.9020999100782651
517.52035,0.8938475893979917
517.640353,0.9064512758351284
517.760355,0.8944913914032678
517.880358,0.8943125110136224
518.00036,0.891419627479957
518.120362,0.8939637971379528
518.240365,0.9015768438342937
518.360367,0.8960939648692313
518.48037,0.8760781322122511
518.600372,0.8859187826647911
518.720374,0.903707077873196
518.840377,0.9021179522568878
518.960379,0.8875414983690777
519.080382,0.8648752518197763
519.200384,0.8845820547865048
519.320386,0.8863441257546452
519.440389,0.8993796779677823
519.560391,0.9074725148213676
519.680394,0.8868760918039538
519.800396,0.8978071399034698
519.920398,0.9084785516092473
520.040401,0.902812850581647
520.160403,0.8927756156036275
520.280406,0.9039872704949492
520.400408,0.8952251751544402
520.52041,0.8888204787716112
520.640413,0.8888204787716112
520.760415,0.8875858765534415
520.880418,0.8924899731118705
521.00042,0.8928738263228345
521.120422,0.8909829388599411
521.240425,0.9286754085354919
521.360427,0.9158277297074306
521.48043,0.9193338015471609
521.600432,0.9104174940594872
521.720434,0.9111852995915412
521.840437,0.8812798967861684
521.960439,0.8889804808575458
522.080442,0.901594875551487
522.200444,0.8864416289710567
522.320446,0.894759779076827
522.440449,0.8645293708998442
522.560451,0.8380730587675759
522.680454,0.851709306436301
522.800456,0.7747227930507133
522.920458,0.7922961740012063
523.040461,0.7816798666032312
523.160463,0.8191975626353213
523.280466,0.8912057124401933
523.400468,0.8919011240711754
523.52047,0.893481187003962
523.640473,0.917873222270933
523.760475,0.9168723686503603
523.880478,0.9047017026021662
524.00048,0.9151758924454814
524.120482,0.8948761054091547
524.240485,0.8550289080774861
524.360487,0.8483092738091857
524.48049,0.8171684697950852
524.600492,0.7927479115533586
524.720494,0.7200533301948446
524.840497,0.6590802344960305
524.960499,0.6926226116908687
525.080502,0.6342132656226951
525.200504,0.6371883399496308
525.320506,0.7364013473357676
525.440509,0.8367081124152723
525.560511,0.8875858765534415
525.680514,0.9030927659499677
525.800516,0.9033908357415418
525.920518,0.9221687925510756
526.040521,0.8981393900077129
526.160523,0.892213344099918
526.280526,0.8747300102090205
526.400528,0.8410114536647215
526.52053,0.8229745518385225
526.640533,0.7986599646154927
526.760535,0.752555899551377
526.880538,0.7199669289793978
527.00054,0.6793831668884267
527.120542,0.6702329100936136
527.240545,0.6094307221095456
527.360547,0.6483205688114991
527.48055,0.7930888664553769
527.600552,0.86495309409529
527.720554,0.8915890133003215
527.840557,0.9078882324252202
527.960559,0.9092301741245001
528.080562,0.9238320388500931
528.200564,0.9075187970998115
528.320566,0.9275635215493532
528.440569,0.9117102935078387
528.560571,0.9325206340886244
528.680574,0.9331036416558164
528.800576,0.9222029134276324
528.920578,0.9144833664490607
529.040581,0.9180604875086811
529.160583,0.9207322514782119
529.280586,0.9230831147963381
