nu,[0]CFC-112a-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
570,0.9985426629484825
570.119202,0.9978516110981218
570.238404,0.9961894785328129
570.357606,0.9988072119378643
570.476808,0.999180745772146
570.59601,0.9993415568688809
570.715212,0.9986305385692926
570.834414,0.999215447922046
570.953616,0.9956744821172624
571.072818,0.9978944198504791
571.19202,0.9991178093591729
571.311222,0.9971624335238217
571.430424,0.9992039869865869
571.549626,0.9973227901354584
571.668828,0.997376447544939
571.78803,0.9993004348099079
571.907232,0.9990927517987372
572.026434,0.9958798113641928
572.145636,0.9992803890442453
572.264838,0.99862274928147
572.38404,0.9997552199635229
572.503242,0.999653839927228
572.622444,0.9963218809124532
572.741646,0.9989927076598658
572.860848,0.9986819693663606
572.98005,0.9970977197818697
573.099252,0.9970657134587689
573.218454,0.9973430359935929
573.337656,0.9974192359123426
573.456858,0.997920864402994
573.57606,0.9990047356044741
573.695262,0.9993626831726974
573.814464,0.9989192843941909
573.933666,0.9960313958067659
574.052868,0.9990628194282826
574.17207,0.999471379768933
574.291272,0.9981369376592232
574.410474,0.9982134976983816
574.529676,0.9982435443768626
574.648878,0.9993535290524455
574.76808,0.9991392406660337
574.887282,0.9985028218910652
575.006484,0.9976915685354584
575.125686,0.9974489594484514
575.244888,0.9969105821032872
575.36409,0.9992822676931427
575.483292,0.9985153032543472
575.602494,0.9978148908344905
575.721696,0.998352358853481
575.840898,0.9989490526324104
575.9601,0.9986481146214402
576.079302,0.9987957257209729
576.198504,0.9965120969150592
576.317706,0.9991744809285102
576.436908,0.9935362802922483
576.55611,0.9995208448315206
576.675312,0.9969693018658531
576.794514,0.9976570490043783
576.913716,0.9990200904252619
577.032918,0.9983231075579001
577.15212,0.9987710557712226
577.271322,0.9992362717889646
577.390524,0.9963224787057611
577.509726,0.9956281843302759
577.628928,0.9966370673674959
577.74813,0.9987513801752292
577.867332,0.9991842229271914
577.986534,0.999069603087857
578.105736,0.9953446697977644
578.224938,0.9969771779544483
578.34414,0.9986616963281545
578.463342,0.9966039795661199
578.582544,0.9992692671154089
578.701746,0.9964939605599367
578.820948,0.9980218591047172
578.94015,0.9980349332767071
579.059352,0.9979759511550894
579.178554,0.9975174865458443
579.297756,0.997560779744216
579.416958,0.9959961369194403
579.53616,0.9994008795443762
579.655362,0.9984368230358245
579.774564,0.9976993505600428
579.893766,0.9977887484268176
580.012968,0.9986784739855847
580.13217,0.9985992819226045
580.251372,0.9982978503027845
580.370574,0.9976701183973247
580.489776,0.996481404815135
580.608978,0.9974389850087291
580.72818,0.998005391879897
580.847382,0.9953973249235124
580.966584,0.9967913587273676
581.085786,0.9973134153452927
581.204988,0.9989879125063774
581.32419,0.9974697066025775
581.443392,0.9976541558031314
581.562594,0.9992595842431241
581.681796,0.9955670546364588
581.800998,0.9963785732403586
581.9202,0.9990326481867239
582.039402,0.9916738559493222
582.158604,0.995376919487508
582.277806,0.998098809556456
582.397008,0.99576778118723
582.51621,0.9975803321271117
582.635412,0.995018847292927
582.754614,0.9968815724274408
582.873816,0.9982590172717151
582.993018,0.9962239472850762
583.11222,0.9953142127168643
583.231422,0.9973603899133978
583.350624,0.9961664668216451
583.469826,0.9977108241685474
583.589028,0.9943859181881441
583.70823,0.9964212191559093
583.827432,0.9927506045559221
583.946634,0.9942528782528607
584.065836,0.9964712407566426
584.185038,0.9964610768018232
584.30424,0.9962722653182223
584.423442,0.9951516911761725
584.542644,0.996459582111329
584.661846,0.9953905562447165
584.781048,0.9928290349516419
584.90025,0.9954241014716959
585.019452,0.9934984272810736
585.138654,0.9953123216216566
585.257856,0.9971293282805788
585.377058,0.9963568524242197
585.49626,0.9939827764408322
585.615462,0.9963239731906001
585.734664,0.9951786601524314
585.853866,0.995069395534284
585.973068,0.9961635779430803
586.09227,0.9937644224119165
586.211472,0.9946711489696195
586.330674,0.9937972171789667
586.449876,0.9943002058162527
586.569078,0.9954202193252704
586.68828,0.9947732074650151
586.807482,0.9928141426278103
586.926684,0.9967663395782552
587.045886,0.9920556246831568
587.165088,0.9924986764235182
587.28429,0.9917264160565181
587.403492,0.9949035312912172
587.522694,0.9918074434146325
587.641896,0.994045598137448
587.761098,0.9932258487121176
587.8803,0.9950124791926823
587.999502,0.9928578274111441
588.118704,0.9926567940564075
588.237906,0.9932935890249183
588.357108,0.9932316094387463
588.47631,0.9920495731623034
588.595512,0.9958176704027819
588.714714,0.9946158467911516
588.833916,0.9912605132860419
588.953118,0.9967424174731717
589.07232,0.9966701562674053
589.191522,0.9913130514854961
589.310724,0.9931243462172451
589.429926,0.9929261383795405
589.549128,0.995105119166819
589.66833,0.9927735373597603
589.787532,0.9948468234061236
589.906734,0.9927987541278608
590.025936,0.9932210812394858
590.145138,0.994532600928663
590.26434,0.9947802703798614
590.383542,0.992858919555355
590.502744,0.993108654976536
590.621946,0.9937127480054972
590.741148,0.9931453013620263
590.86035,0.9926479594502545
590.979552,0.9932771004881956
591.098754,0.9926865742069293
591.217956,0.9923629118910892
591.337158,0.9950219318561347
591.45636,0.9901060701768244
591.575562,0.9922102982115332
591.694764,0.9935185955038541
591.813966,0.9928545509857198
591.933168,0.9905184361930923
592.05237,0.9929861129295117
592.171572,0.9920711008716158
592.290774,0.9893827649886462
592.409976,0.994334509765093
592.529178,0.9943798524525437
592.64838,0.9949723809977549
592.767582,0.9925746054765139
592.886784,0.9932622014434315
593.005986,0.9951064128043148
593.125188,0.9950386483650082
593.24439,0.9918206345413506
593.363592,0.9937796271238951
593.482794,0.9920359821762496
593.601996,0.9930216624686875
593.721198,0.9940947052029304
593.8404,0.9941271132185678
593.959602,0.9939441112628712
594.078804,0.9924946071872868
594.198006,0.9926681104083629
594.317208,0.9945825277183816
594.43641,0.9932211805615989
594.555612,0.9919437271198337
594.674814,0.9930127253139426
594.794016,0.9938270315426954
594.913218,0.995044718119276
595.03242,0.996343800234945
595.151622,0.9944738257887706
595.270824,0.9928116605955564
595.390026,0.9940444052834458
595.509228,0.9932900131744343
595.62843,0.9935537666846612
595.747632,0.9925986260726144
595.866834,0.9945060472627113
595.986036,0.9939662764636934
596.105238,0.9916961688621004
596.22444,0.994800265664248
596.343642,0.9944895385993491
596.462844,0.9932833581536403
596.582046,0.9935427382990587
596.701248,0.9934360375388988
596.82045,0.9939433161079003
596.939652,0.9954344539361839
597.058854,0.9922149616108937
597.178056,0.9940530535073916
597.297258,0.9925161445539423
597.41646,0.9919838024559257
597.535662,0.9929972344362569
597.654864,0.993619939569055
597.774066,0.9933771285285421
597.893268,0.9914399476772692
598.01247,0.9934335539519094
598.131672,0.9923228212392854
598.250874,0.9952413583829945
598.370076,0.9957925761136771
598.489278,0.9936451778360447
598.60848,0.993703705260635
598.727682,0.9932172076848224
598.846884,0.9935590325335791
598.966086,0.9962990654026189
599.085288,0.9956455084114023
599.20449,0.9943072653727754
599.323692,0.9951634340354112
599.442894,0.9956438158154767
599.562096,0.9927062295956862
599.681298,0.9940744258777942
599.8005,0.9919579120165534
599.919702,0.9955513248012615
600.038904,0.9943639425021844
600.158106,0.9959571942318213
600.277308,0.9947732074650151
600.39651,0.995504037236422
600.515712,0.996568800066563
600.634914,0.9941642942678836
600.754116,0.9936501460743545
600.873318,0.9943378905081734
600.99252,0.9929250461613889
601.111722,0.9923499120220928
601.230924,0.9956274873907908
601.350126,0.994923429560825
601.469328,0.994861049817417
601.58853,0.9930386432843014
601.707732,0.9946057017612541
601.826934,0.9941910376470962
601.946136,0.9959995233120628
602.065338,0.9957710672263298
602.18454,0.9949677046385537
602.303742,0.995805322340227
602.422944,0.9955185717014671
602.542146,0.9969195543389011
602.661348,0.9961797159237602
602.78055,0.9950453151462859
602.899752,0.9963731928105902
603.018954,0.9962298250237045
603.138156,0.9948024542272398
603.257358,0.9957267563997615
603.37656,0.9961568040537815
603.495762,0.9931379521139885
603.614964,0.9952668368878926
603.734166,0.9956760751977083
603.853368,0.9919530514346928
603.97257,0.9966151415931983
604.091772,0.9980551935914942
604.210974,0.9967637479891414
604.330176,0.9971701117041208
604.449378,0.9940493755178978
604.56858,0.9951024323866244
604.687782,0.9957394022098685
604.806984,0.9950519819722312
604.926186,0.9969595316145691
605.045388,0.9965771712796426
605.16459,0.9979238581700778
605.283792,0.9968832671275544
605.402994,0.9958806080683607
605.522196,0.995246334602227
605.641398,0.9963422060861399
605.7606,0.9956474997044104
605.879802,0.9953440725911417
605.999004,0.9981798584703334
606.118206,0.9960397625056308
606.237408,0.995920942049745
606.35661,0.9972306417669701
606.475812,0.9954794485903733
606.595014,0.9978712689684899
606.714216,0.9966938772994036
606.833418,0.9969901387420067
606.95262,0.996688495166998
607.071822,0.9958449561807643
607.191024,0.995764993041346
607.310226,0.9965151861073479
607.429428,0.9970351040112231
607.54863,0.9959805995008966
607.667832,0.9968205651420502
607.787034,0.9947964854304209
607.906236,0.996648827754277
608.025438,0.997713019134775
608.14464,0.9967353406271304
608.263842,0.9959929497369017
608.383044,0.9963460918283208
608.502246,0.9942651076384738
608.621448,0.9957346226722088
608.74065,0.9969554440888689
608.859852,0.9959185518423523
608.979054,0.9946923356907302
609.098256,0.9972361265505829
609.217458,0.9968897468898499
609.33666,0.9948920899663951
609.455862,0.9960016149132579
609.575064,0.9965932163012623
609.694266,0.9969974167965844
609.813468,0.9985615355831581
609.93267,0.9963109214320405
610.051872,0.9962185676902857
610.171074,0.9968318292780786
610.290276,0.9955018471299493
610.409478,0.9962798370162111
610.52868,0.996626602733228
610.647882,0.9967385301853238
610.767084,0.9972527805329566
610.886286,0.9952997807654118
611.005488,0.9957264576817794
611.12469,0.9948968654598881
611.243892,0.9942583466587293
611.363094,0.994944820644514
611.482296,0.9972829977499953
611.601498,0.9951637325844862
611.7207,0.995329938805661
611.839902,0.99491397783314
611.959104,0.9955819882542801
612.078306,0.9953722412269803
612.197508,0.9936917808877183
612.31671,0.9946265887003031
612.435912,0.993119380607928
612.555114,0.9961489344461144
612.674316,0.9936278885603675
612.793518,0.9934434883371207
612.91272,0.9925810572324176
613.031922,0.9918069475110347
613.151124,0.9916450978244945
613.270326,0.991177845606524
613.389528,0.9918753845514637
613.50873,0.9911048976016069
613.627932,0.9916351814230984
613.747134,0.991047216975089
613.866336,0.9882653938977729
613.985538,0.99028400822489
614.10474,0.9869045020548096
614.223942,0.9854587600426192
614.343144,0.9874642355769325
614.462346,0.9863894723391875
614.581548,0.9841686542707399
614.70075,0.9826483050639917
614.819952,0.9834986635749065
614.939154,0.9818762469547961
615.058356,0.9802555264785331
615.177558,0.9790779671906165
615.29676,0.9809468502877094
615.415962,0.9763091408961161
615.535164,0.9741100441967955
615.654366,0.9744344768565529
615.773568,0.9711445059325258
615.89277,0.9687429265180739
616.011972,0.9684513787773281
616.131174,0.9666788000293055
616.250376,0.9632560641362201
616.369578,0.9622538363235388
616.48878,0.9592860203747566
616.607982,0.9579937739890343
616.727184,0.9537611554909741
616.846386,0.9522430234834615
616.965588,0.9476490932982271
617.08479,0.9471469723525835
617.203992,0.9421827698787467
617.323194,0.9400445605511618
617.442396,0.9354149980341911
617.561598,0.9345669612737814
617.6808,0.9309934846102185
617.800002,0.9258370793889193
617.919204,0.9220323216688725
618.038406,0.9171979161224885
618.157608,0.9136268968533663
618.27681,0.9074852195255079
618.396012,0.9044032002958969
618.515214,0.9000274645110904
618.634416,0.8960939648692313
618.753618,0.8906266169535293
618.87282,0.8852722979490762
618.992022,0.8801437786730484
619.111224,0.8758941751206571
619.230426,0.8713687742008571
619.349628,0.864235480877873
619.46883,0.8583442810606353
619.588032,0.8555677460057003
619.707234,0.8513772045708641
619.826436,0.8446524821034551
619.945638,0.8403137037644451
620.06484,0.8324184665515507
620.184042,0.8298668605784585
620.303244,0.8236908512436827
620.422446,0.8172828813894812
620.541648,0.8127107612131598
620.66085,0.8084794643324872
620.780052,0.8032333576245478
620.899254,0.7977500110279239
621.018456,0.7931364532149527
621.137658,0.789330627224158
621.25686,0.785519497362489
621.376062,0.7830959883653648
621.495264,0.7760719841664914
621.614466,0.7733063467830602
621.733668,0.7693263632220306
621.85287,0.7666460940046651
621.972072,0.7643190288101368
622.091274,0.761762844063638
622.210476,0.7606819084709716
622.329678,0.7606058440834074
622.44888,0.7571075209725107
622.568082,0.7561239206739641
622.687284,0.7555192634325699
622.806486,0.7555570403401564
622.925688,0.7548697961769666
623.04489,0.7560785545997195
623.164092,0.7573119676022262
623.283294,0.7575619217917079
623.402496,0.7599976027371187
623.521698,0.761999027151785
623.6409,0.762647001675023
623.760102,0.7660943074839663
623.879304,0.7679044251483366
623.998506,0.768757272302856
624.117708,0.7755909686665217
624.23691,0.778629465744726
624.356112,0.7799152648557558
624.475314,0.7816564165589855
624.594516,0.7831273128313845
624.713718,0.7833074528286413
624.83292,0.7859359330417981
624.952122,0.7835973302101965
625.071324,0.7816486000339026
625.190526,0.7760875057613902
625.309728,0.7708203050216771
625.42893,0.764143255648199
625.548132,0.7559273540093626
625.667334,0.7439585188033101
625.786536,0.7335936602854513
625.905738,0.7171860414523678
626.02494,0.6992338803056777
626.144142,0.68169700094475
626.263344,0.6630996489598036
626.382546,0.6401325594084156
626.501748,0.6180660192281824
626.62095,0.5916914377484586
626.740152,0.5710777008714512
626.859354,0.5515184426275135
626.978556,0.5320488343299506
627.097758,0.5117188120604406
627.21696,0.48714668500949887
627.336162,0.47700896200492987
627.455364,0.47201713079405205
627.574566,0.4756228836476261
627.693768,0.4801964442257963
627.81297,0.47191329844725427
627.932172,0.47019865658229326
628.051374,0.5063991938889009
628.170576,0.54806027894974
628.289778,0.5867244442208313
628.40898,0.6210274469737499
628.528182,0.6525353271661948
628.647384,0.6771516690960615
628.766586,0.6990660843107291
628.885788,0.7183919266619596
629.00499,0.7323402870658815
629.124192,0.7436758682731668
629.243394,0.7515481499889779
629.362596,0.7589950677201849
629.481798,0.7642502431929431
629.601,0.7644107525969112
629.720202,0.7650913810014353
629.839404,0.7631581463805005
629.958606,0.7616028906620796
630.077808,0.7580014351529007
630.19701,0.7550207852346045
630.316212,0.7488773953389666
630.435414,0.7440552396974764
630.554616,0.7402924264240831
630.673818,0.7342541917742922
630.79302,0.7275154813185163
630.912222,0.7239376565801492
631.031424,0.7190891049076062
631.150626,0.7156242788217789
631.269828,0.7105897641615583
631.38903,0.7075124871065017
631.508232,0.7020083362688371
631.627434,0.7001154702799123
631.746636,0.6995416109087802
631.865838,0.6985000700491603
631.98504,0.6941897089461798
632.104242,0.6943216175217974
632.223444,0.6940092430834326
632.342646,0.6931422734984555
632.461848,0.6921587099654676
632.58105,0.6920894975551493
632.700252,0.6932462526377208
632.819454,0.6950718899429018
632.938656,0.6964286024931187
633.057858,0.7001994891773788
633.17706,0.7031324486569671
633.296262,0.7040752776925426
633.415464,0.7083265944886975
633.534666,0.7119411681406981
633.653868,0.7172577636425627
