nu,[0]1-2-Dichloroethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9995475923672087
600.119202,0.9991192780634321
600.238404,0.9993076198058642
600.357606,0.997689373616422
600.476808,0.9987130288585805
600.59601,0.9987838401225562
600.715212,0.9990022181157124
600.834414,0.9982543254653596
600.953616,0.9998368733066062
601.072818,0.9985532475568081
601.19202,0.9995654744335908
601.311222,0.9992766717281123
601.430424,0.9997182596962556
601.549626,0.9999281325825866
601.668828,0.9985758151152153
601.78803,0.9993729166989687
601.907232,0.9992846559806164
602.026434,0.9991912871846197
602.145636,0.9996038484887396
602.264838,0.9988798278617289
602.38404,0.9987066371156493
602.503242,0.9992096824655449
602.622444,0.9988788289824005
602.741646,0.9993363003461164
602.860848,0.9996067073598345
602.98005,0.9985169008801106
603.099252,0.999109077107679
603.218454,0.9995472725120303
603.337656,0.9997648376549999
603.456858,0.9995102999422321
603.57606,0.9982396512346311
603.695262,0.9979600834636145
603.814464,0.9980478080103883
603.933666,0.998904999950558
604.052868,0.9989946057478135
604.17207,0.9986047742337588
604.291272,0.9981362389636114
604.410474,0.9998142572523205
604.529676,0.9999040076075646
604.648878,0.9989555458223554
604.76808,0.9997913817638112
604.887282,1.0
605.006484,0.998027547845527
605.125686,0.9996887384519301
605.244888,0.9988171001782091
605.36409,0.9996699944638096
605.483292,0.9999307933948876
605.602494,0.9999036196448848
605.721696,0.9986665897824554
605.840898,0.9988088100306818
605.9601,0.997969963317346
606.079302,0.9992370811706726
606.198504,0.9971137731843877
606.317706,0.9998968453208098
606.436908,0.9998473016595786
606.55611,0.9997846231969144
606.675312,0.9982733923050637
606.794514,0.9997370045893577
606.913716,0.999509810182305
607.032918,0.9978591947991843
607.15212,0.9991406794275761
607.271322,0.9988943117242407
607.390524,0.9984629824232745
607.509726,0.9993569668344984
607.628928,0.9995659842121127
607.74813,0.9993682096636161
607.867332,1.0
607.986534,0.9990136267861867
608.105736,0.9986251459789444
608.224938,0.9986717828622242
608.34414,0.9995318796025594
608.463342,0.9988487631821408
608.582544,0.9981932341700539
608.701746,0.9986370296888895
608.820948,0.9990799834749591
608.94015,0.9989758248257667
609.059352,0.999183843237259
609.178554,0.9991130835431112
609.297756,0.9995348282259534
609.416958,0.9995863255868642
609.53616,0.9987964248782255
609.655362,0.9980525986513643
609.774564,0.9993134757656742
609.893766,0.9990819616552847
610.012968,0.9998048490444255
610.13217,0.9980758535478313
610.251372,0.9992890528427758
610.370574,0.9996171333121634
610.489776,0.9998857265297104
610.608978,1.0
610.72818,0.9982853716576474
610.847382,0.9987072363398114
610.966584,0.9999266726885787
611.085786,0.9989663346005095
611.204988,0.9985582403355279
611.32419,0.9980808439395751
611.443392,0.9999651176084048
611.562594,1.0
611.681796,0.9987772481709648
611.800998,0.9994903299259403
611.9202,0.9987149264151379
612.039402,0.9986372294163153
612.158604,0.9981563017036444
612.277806,0.9980867326339259
612.397008,0.9997163502362031
612.51621,0.9997781846046734
612.635412,0.9984945343520369
612.754614,0.9987532778046543
612.873816,0.9983348878400727
612.993018,0.9984384205360193
613.11222,0.999337839325204
613.231422,0.9990455657623769
613.350624,0.9990269337363196
613.469826,0.9979561914268784
613.589028,0.998723215783428
613.70823,0.9982463394626999
613.827432,0.9985817067299048
613.946634,0.9993571667059117
614.065836,0.9984721683249679
614.185038,0.9990374935068175
614.30424,0.9994066660922208
614.423442,0.9989080965608577
614.542644,0.9989879125063774
614.661846,0.9990178026718742
614.781048,0.9998384730468832
614.90025,0.9987593702182307
615.019452,0.9986116646304729
615.138654,0.9997700564410735
615.257856,0.9980935196467836
615.377058,0.9993679398342359
615.49626,0.9985862003576957
615.615462,0.9981237623386034
615.734664,0.9985314793332859
615.853866,0.99932129042761
615.973068,0.9984704709237244
616.09227,0.9991415486803453
616.211472,0.9988126055113713
616.330674,0.9997264474223312
616.449876,0.9992736639098572
616.569078,0.9983778171632237
616.68828,0.9994944278446938
616.807482,0.9977910433435782
616.926684,0.9981175739904607
617.045886,0.9985785112735559
617.165088,0.998787835265907
617.28429,0.9998112478159354
617.403492,0.9987519794262371
617.522694,0.9987103323370429
617.641896,0.9984849488505176
617.761098,0.9987063375037032
617.8803,0.9983206117532509
617.999502,0.999103542058724
618.118704,0.9997021243737565
618.237906,0.9993908955794596
618.357108,0.9980621800023017
618.47631,0.9989407613896822
618.595512,0.9991994006508123
618.714714,0.9984541959876895
618.833916,0.9981914374238494
618.953118,0.9995191356523373
619.07232,0.9988970087425233
619.191522,0.997872765776516
619.310724,0.9994685912476734
619.429926,0.9982340611082366
619.549128,0.9995367673254011
619.66833,0.9994922389542936
619.787532,0.9987256127220222
619.906734,0.9985097115843057
620.025936,0.9977280847151088
620.145138,0.9989376646781218
620.26434,0.9982151946627701
620.383542,0.9984959322453635
620.502744,0.9989912091719282
620.621946,0.9988351789313346
620.741148,0.9980916232708978
620.86035,0.9986853648908288
620.979552,0.9984099654465209
621.098754,0.9988655439823205
621.217956,0.998672481932717
621.337158,0.9991849823074894
621.45636,0.9993902159938817
621.575562,0.9999961072075769
621.694764,0.998756274068982
621.813966,0.9981174741787084
621.933168,0.9987967245171979
622.05237,0.9991839231719696
622.171572,0.9984399181947734
622.290774,0.9999308313922585
622.409976,0.9984507014041191
622.529178,0.998025352187337
622.64838,0.998482552489516
622.767582,0.9985761146880048
622.886784,0.9987209187226733
623.005986,0.9982192873534582
623.125188,0.9993689591900543
623.24439,0.9976872784709373
623.363592,0.9989374648906089
623.482794,0.99933827903395
623.601996,0.9979545946982495
623.721198,0.9986118643528258
623.8404,0.9983369843455385
623.959602,0.9986636936535445
624.078804,0.9977377627244688
624.198006,0.9983044390903395
624.317208,0.998443612429305
624.43641,0.9987286089033547
624.555612,0.9983525585239726
624.674814,0.9984985283381622
624.794016,0.9986485140807659
624.913218,0.9983895980909736
625.03242,0.9979537963348931
625.151622,0.9975010276431026
625.270824,0.9983713277285029
625.390026,0.9980973124093645
625.509228,0.9993574665131066
625.62843,0.9980110805268433
625.747632,0.9985070156117241
625.866834,0.9979650732765063
625.986036,0.9986750784845455
626.105238,0.9975112022054747
626.22444,0.9990612808727253
626.343642,0.998435924443088
626.462844,0.9990572646544488
626.582046,0.9983160194889991
626.701248,0.9980652739998555
626.82045,0.9989935068543516
626.939652,0.9984073695839855
627.058854,0.9974465655738213
627.178056,0.9984673756700623
627.297258,0.9967853779971574
627.41646,0.9980091843075918
627.535662,0.9981998222671401
627.654864,0.9978557022981143
627.774066,0.9985589393265407
627.893268,0.9982900636099202
628.01247,0.9994956172437706
628.131672,0.9988469652559852
628.250874,0.9985322781587889
628.370076,0.997916972519212
628.489278,0.9970477664374503
628.60848,0.9982709964517973
628.727682,0.99654548062948
628.846884,0.9979057959117088
628.966086,0.9979247563019543
629.085288,0.998101105186358
629.20449,0.9973106228716392
629.323692,0.9981763648469426
629.442894,0.9977294815354052
629.562096,0.9976786983972369
