nu,[0]Ethylene-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
600,0.9804790502193084
600.121002,0.9787637336003379
600.242004,0.9797469058587585
600.363006,0.9807771611611423
600.484008,0.9811754375332065
600.60501,0.9813334194958561
600.726012,0.9808085465324627
600.847014,0.9798889794601952
600.968016,0.9792738023669195
601.089018,0.9821836223218285
601.21002,0.9804045366430435
601.331022,0.9803035601761466
601.452024,0.9793727140159127
601.573026,0.9811371724373169
601.694028,0.9807487190358815
601.81503,0.9812087980652084
601.936032,0.9800016731725973
602.057034,0.980962545562876
602.178036,0.9810312153444797
602.299038,0.9802868951572766
602.42004,0.982100140261969
602.541042,0.981781009577929
602.662044,0.9818192997839568
602.783046,0.9819822953159757
602.904048,0.9827485403030185
603.02505,0.9819567641082046
603.146052,0.9811656258278897
603.267054,0.9815827098429418
603.388056,0.9829913091731945
603.509058,0.9818143906997305
603.63006,0.9814747416832167
603.751062,0.9816357167404467
603.872064,0.9831456509242452
603.993066,0.9821944264010964
604.114068,0.9837927736425792
604.23507,0.9826345480840198
604.356072,0.9813088864670327
604.477074,0.9818625007835623
604.598076,0.9834131029131181
604.719078,0.9836648888946945
604.84008,0.9829362632011824
604.961082,0.982656166281877
605.082084,0.9833236163924515
605.203086,0.9819371251693125
605.324088,0.9833344330117231
605.44509,0.9831879270961661
605.566092,0.9841578284750849
605.687094,0.9828478029182668
605.808096,0.9823093498718772
605.929098,0.9831879270961661
606.0501,0.982380078691275
606.171102,0.981790827437114
606.292104,0.9835380043082588
606.413106,0.9847258514009699
606.534108,0.9835940675722923
606.65511,0.9833737671757216
606.776112,0.9839659364086167
606.897114,0.9843379458379319
607.018116,0.9846401839784849
607.139118,0.9846401839784849
607.26012,0.9851286866483854
607.381122,0.9859545704847932
607.502124,0.9849366052830307
607.623126,0.983547839737479
607.744128,0.9839137875959428
607.86513,0.9836904645142873
607.986132,0.9841440503619333
608.107134,0.9850429841807584
608.228136,0.9856824845729224
608.349138,0.9851277015201914
608.47014,0.9847061570808857
608.591142,0.9846795703735667
608.712144,0.9846460918373123
608.833146,0.9842857773092807
608.954148,0.9846017837601189
609.07515,0.9862681538953271
609.196152,0.9847455461149444
609.317154,0.9851808998524154
609.438156,0.9854025904941441
609.559158,0.985964430079796
609.68016,0.9866203144831924
609.801162,0.985966402010628
609.922164,0.985720926939442
610.043166,0.9850833717710498
610.164168,0.9848735713573997
610.28517,0.984313337696889
610.406172,0.9859013303754829
610.527174,0.9854420073860966
610.648176,0.9864900891967386
610.769178,0.986548293829021
610.89018,0.9855287300984898
611.011182,0.9860521848191011
611.132184,0.9856667137793359
611.253186,0.9868995675446356
611.374188,0.9862582912631014
611.49519,0.987005171448071
611.616192,0.9855287300984898
611.737194,0.9872282598248553
611.858196,0.9858845701953285
611.979198,0.9864821973075927
612.1002,0.9859545704847932
612.221202,0.9870308339161392
612.342204,0.9883197499892161
612.463206,0.986682473520994
612.584208,0.9876123663217972
612.70521,0.9872134515120206
612.826212,0.9874731227950452
612.947214,0.9867890409826736
613.068216,0.9884670206033528
613.189218,0.9875531113574846
613.31022,0.9868561449189684
613.431222,0.9874395492796231
613.552224,0.9871285548058012
613.673226,0.9882574878062462
613.794228,0.9874207881064185
613.91523,0.988814033424772
614.036232,0.9880045262698259
614.157234,0.9882041233427581
614.278236,0.9873269875871435
614.399238,0.9882574878062462
614.52024,0.9875452109641953
614.641242,0.9872312215140773
614.762244,0.987913634034516
614.883246,0.9892333794700234
615.004248,0.9885372042533057
615.12525,0.987005171448071
615.246252,0.9889089641285818
615.367254,0.989085005591422
615.488256,0.9886736318007769
615.609258,0.9879037549475712
615.73026,0.9890058819559623
615.851262,0.9891423741854194
615.972264,0.988400795531537
616.093266,0.9891908433492393
616.214268,0.9894728029169237
616.33527,0.9890632459606558
616.456272,0.988834798737509
616.577274,0.9894609293145306
616.698276,0.9897053563495674
616.819278,0.988984124065897
616.94028,0.9881813949092992
617.061282,0.9897221814836386
617.182284,0.9889851130505155
617.303286,0.9893471478502189
617.424288,0.989110722135881
617.54529,0.9902438035103173
617.666292,0.9902309304245469
617.787294,0.9881053078712798
617.908296,0.9894995190432686
618.029298,0.9893441798132274
618.1503,0.9897518735944625
618.271302,0.9889870910227195
618.392304,0.9898171993738467
618.513306,0.990380466584737
618.634308,0.9898558029973881
618.75531,0.9898765901875157
618.876312,0.990171914419788
618.997314,0.9908520989880628
619.118316,0.9897835461611758
619.239318,0.9896915005715691
619.36032,0.9897498940926948
619.481322,0.9902142946846564
619.602324,0.989789484880269
619.723326,0.9909691255312346
619.844328,0.989695459345489
619.96533,0.9902803441808381
620.086332,0.9901304270857395
620.207334,0.9913583555271384
620.328336,0.990879446883394
620.449338,0.9903550141338111
620.57034,0.9913184045904274
620.691342,0.9915486154504198
620.812344,0.9915914512758545
620.933346,0.9904915935071915
621.054348,0.9911810173807047
621.17535,0.9911594098700486
621.296352,0.9911872618407843
621.417354,0.991490016658858
621.538356,0.9916144564643832
621.659358,0.9914313221872454
621.78036,0.9900774565248656
621.901362,0.9914726657353875
622.022364,0.9908471447399535
622.143366,0.9913892863903498
622.264368,0.9906257151487826
622.38537,0.9919286496897702
622.506372,0.9918852041663777
622.627374,0.9913447740107013
622.748376,0.9909833955893864
622.869378,0.9917350441138698
622.99038,0.9917592427441683
