nu,[0]HFE-245fa2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
434.127846,1.0
434.3689,1.0
434.609954,1.0
434.851008,1.0
435.092062,1.0
435.333116,1.0
435.57417,1.0
435.815224,1.0
436.056278,1.0
436.297332,1.0
436.538386,1.0
436.77944,1.0
437.020494,1.0
437.261548,1.0
437.502602,1.0
437.743656,1.0
437.98471,1.0
438.225764,1.0
438.466818,1.0
438.707872,1.0
438.948926,1.0
439.18998,1.0
439.431034,1.0
439.672088,1.0
439.913142,1.0
440.154196,1.0
440.39525,1.0
440.636304,1.0
440.877358,1.0
441.118412,1.0
441.359466,1.0
441.60052,1.0
441.841574,1.0
442.082628,1.0
442.323682,1.0
442.564736,1.0
442.80579,1.0
443.046844,1.0
443.287898,1.0
443.528952,1.0
443.770006,1.0
444.01106,1.0
444.252114,1.0
444.493168,1.0
444.734222,1.0
444.975276,1.0
445.21633,1.0
445.457384,1.0
445.698438,1.0
445.939492,1.0
446.180546,1.0
446.4216,1.0
446.662654,1.0
446.903708,1.0
447.144762,1.0
447.385816,1.0
447.62687,1.0
447.867924,1.0
448.108978,1.0
448.350032,1.0
448.591086,1.0
448.83214,1.0
449.073194,1.0
449.314248,1.0
449.555302,1.0
449.796356,1.0
450.03741,1.0
450.278464,1.0
450.519518,1.0
450.760572,1.0
451.001626,1.0
451.24268,1.0
451.483734,1.0
451.724788,1.0
451.965842,1.0
452.206896,1.0
452.44795,1.0
452.689004,1.0
452.930058,1.0
453.171112,1.0
453.412166,1.0
453.65322,1.0
453.894274,1.0
454.135328,1.0
454.376382,1.0
454.617436,1.0
454.85849,1.0
455.099544,1.0
455.340598,1.0
455.581652,1.0
455.822706,1.0
456.06376,1.0
456.304814,1.0
456.545868,1.0
456.786922,1.0
457.027976,1.0
457.26903,1.0
457.510084,1.0
457.751138,1.0
457.992192,1.0
458.233246,1.0
458.4743,1.0
458.715354,1.0
458.956408,1.0
459.197462,1.0
459.438516,1.0
459.67957,1.0
459.920624,1.0
460.161678,1.0
460.402732,1.0
460.643786,1.0
460.88484,1.0
461.125894,1.0
461.366948,1.0
461.608002,1.0
461.849056,1.0
462.09011,1.0
462.331164,1.0
462.572218,1.0
462.813272,1.0
463.054326,1.0
463.29538,1.0
463.536434,1.0
463.777488,1.0
464.018542,1.0
464.259596,1.0
464.50065,1.0
464.741704,1.0
464.982758,1.0
465.223812,1.0
465.464866,1.0
465.70592,1.0
465.946974,1.0
466.188028,1.0
466.429082,1.0
466.670136,1.0
466.91119,1.0
467.152244,1.0
467.393298,1.0
467.634352,1.0
467.875406,1.0
468.11646,1.0
468.357514,1.0
468.598568,1.0
468.839622,1.0
469.080676,1.0
469.32173,1.0
469.562784,1.0
469.803838,1.0
470.044892,1.0
470.285946,1.0
470.527,1.0
470.768054,1.0
471.009108,1.0
471.250162,1.0
471.491216,1.0
471.73227,1.0
471.973324,1.0
472.214378,1.0
472.455432,1.0
472.696486,1.0
472.93754,1.0
473.178594,1.0
473.419648,1.0
473.660702,1.0
473.901756,1.0
474.14281,1.0
474.383864,1.0
474.624918,1.0
474.865972,1.0
475.107026,1.0
475.34808,1.0
475.589134,1.0
475.830188,1.0
476.071242,1.0
476.312296,1.0
476.55335,1.0
476.794404,1.0
477.035458,1.0
477.276512,1.0
477.517566,1.0
477.75862,1.0
477.999674,1.0
478.240728,1.0
478.481782,1.0
478.722836,1.0
478.96389,1.0
479.204944,1.0
479.445998,1.0
479.687052,1.0
479.928106,1.0
480.16916,1.0
480.410214,1.0
480.651268,1.0
480.892322,1.0
481.133376,1.0
481.37443,1.0
481.615484,1.0
481.856538,1.0
482.097592,1.0
482.338646,1.0
482.5797,1.0
482.820754,1.0
483.061808,1.0
483.302862,1.0
483.543916,1.0
483.78497,1.0
484.026024,1.0
484.267078,1.0
484.508132,1.0
484.749186,1.0
484.99024,1.0
485.231294,1.0
485.472348,1.0
485.713402,1.0
485.954456,1.0
486.19551,1.0
486.436564,1.0
486.677618,1.0
486.918672,1.0
487.159726,1.0
487.40078,1.0
487.641834,1.0
487.882888,1.0
488.123942,0.9891532548113788
488.364996,0.9937827078455144
488.60605,0.9909217583391191
488.847104,0.9869429920809404
489.088158,0.9941235343674022
489.329212,0.9954170339856651
489.570266,0.9910488026519046
489.81132,0.9843920859137913
490.052374,0.9881527380643731
490.293428,0.9901951837331903
490.534482,0.9999353070926764
490.775536,0.9848174351637291
491.01659,0.993140931532314
491.257644,0.9984453097848889
491.498698,0.9870900575428653
491.739752,0.9868808166309865
491.980806,0.9889969809430793
492.22186,0.9911408753623823
492.462914,0.988963355617361
492.703968,0.9913868079202319
492.945022,0.9848873596839168
493.186076,0.9840269441878957
