nu,[0]Isopentylacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.896676615287268
550.241054,0.9008198372727407
550.482108,0.8997215071888488
550.723162,0.9121288645872728
550.964216,0.9048102733205913
551.20527,0.910447538332519
551.446324,0.8998924705162165
551.687378,0.9102336082987743
551.928432,0.9239752439142206
552.169486,0.9197089662665906
552.41054,0.923400710011073
552.651594,0.9078401156240081
552.892648,0.9173483489158845
553.133702,0.916861366247951
553.374756,0.9182881947441134
553.61581,0.9255917650684643
553.856864,0.9216792509070402
554.097918,0.9334526876853346
554.338972,0.9319836568676754
554.580026,0.9209864086516965
554.82108,0.9296166333742313
555.062134,0.9219696256026894
555.303188,0.9318941907310593
555.544242,0.9200815238357439
555.785296,0.9325887105796745
556.02635,0.933078448197605
556.267404,0.9314022804740892
556.508458,0.9288871706686038
556.749512,0.9393566997206166
556.990566,0.9313547801690532
557.23162,0.9470948807016376
557.472674,0.9435650227631969
557.713728,0.950540983643038
557.954782,0.9454634957851696
558.195836,0.9459108057991545
558.43689,0.9511238438944265
558.677944,0.9385567086570409
558.918998,0.943411234198595
559.160052,0.9464037537307616
559.401106,0.9468751801755613
559.64216,0.9453992064533182
559.883214,0.9491295287120889
560.124268,0.9549493276132318
560.365322,0.9475296970345941
560.606376,0.9590030727355748
560.84743,0.9565129033694336
561.088484,0.9533463596129799
561.329538,0.9623086863554203
561.570592,0.9544939254060214
561.811646,0.95591813733495
562.0527,0.9501370895585621
562.293754,0.9577734607580096
562.534808,0.9581221537560012
562.775862,0.9596602148858896
563.016916,0.9637561237877618
563.25797,0.9662980036039158
563.499024,0.9670790879063909
563.740078,0.9707629211280197
563.981132,0.9560452829022084
564.222186,0.9603072438950045
564.46324,0.9614622272080772
564.704294,0.9686082806093953
564.945348,0.9725157580212406
565.186402,0.966386907109746
565.427456,0.9725147855059688
565.66851,0.9721676596931875
565.909564,0.9731617229211799
566.150618,0.967873385852253
566.391672,0.967905326200999
566.632726,0.968307090271651
566.87378,0.9682151054674225
567.114834,0.9729213816589861
567.355888,0.9713086432232387
567.596942,0.9783194757194529
567.837996,0.9702272078660201
568.07905,0.9744257069857256
568.320104,0.9764048238803135
568.561158,0.9745709072332164
568.802212,0.9720111532990797
569.043266,0.976968372031699
569.28432,0.9707347694115088
569.525374,0.973373895302726
569.766428,0.9790857998456847
570.007482,0.9761841813236646
570.248536,0.9746186623776623
570.48959,0.9779683220635224
570.730644,0.982971649543608
570.971698,0.9775918767299044
571.212752,0.9796900821861211
571.453806,0.9834013020266886
571.69486,0.974759017570376
571.935914,0.9758747799808888
572.176968,0.9816308085741334
572.418022,0.9789751694010399
572.659076,0.9776075183250645
572.90013,0.9772898475059132
573.141184,0.986137975091003
573.382238,0.9847100959133916
573.623292,0.9777932814004796
573.864346,0.9812215538624958
574.1054,0.9831289375902432
574.346454,0.9842710131333526
574.587508,0.9814364649146929
574.828562,0.9742707856148903
575.069616,0.9812460847079766
575.31067,0.9782676261612653
575.551724,0.9856617854580879
575.792778,0.985792887193626
576.033832,0.9810194430405295
576.274886,0.9881962177413939
576.51594,0.9896054011563983
576.756994,0.9824635845469123
576.998048,0.9890681912892489
577.239102,0.9811695504982424
577.480156,0.9802800331730275
577.72121,0.9844521356625309
577.962264,0.9780054855658628
578.203318,0.9859575283529415
578.444372,0.9843566484365769
578.685426,0.9868117373916239
578.92648,0.9877071816600275
579.167534,0.9897409863837326
579.408588,0.9810341584425404
579.649642,0.9818821382299517
579.890696,0.9846716929685133
580.13175,0.9835901332038907
580.372804,0.9844363845543694
580.613858,0.9847632716943042
580.854912,0.9844846231190478
581.095966,0.9854843823034684
581.33702,0.9865364553205263
581.578074,0.9850291936755137
581.819128,0.9884175984878858
582.060182,0.9856578428188313
582.301236,0.9812038920334832
582.54229,0.9815601337002421
582.783344,0.9813726736177131
