nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.9577322773846458
500.120002,0.9510344424550339
500.240005,0.9603696658945508
500.360007,0.9656778393796189
500.48001,0.9506892796032704
500.600012,0.9666382003723031
500.720014,0.952867899843904
500.840017,0.9622365159103692
500.960019,0.9650879904369603
501.080022,0.9613218639696706
501.200024,0.9617978360857155
501.320026,0.9595796068134256
501.440029,0.9537582942117996
501.560031,0.9657946934677136
501.680034,0.9613853133064976
501.800036,0.9579612027544329
501.920038,0.9624376443593852
502.040041,0.9653717680194093
502.160043,0.9634053803978726
502.280046,0.9610738749207293
502.400048,0.9595796068134256
502.52005,0.9655088605438069
502.640053,0.9596880454356623
502.760055,0.9632300565735922
502.880058,0.964573735599146
503.00006,0.9662593524567998
503.120062,0.9727696177613391
503.240065,0.9559850539466175
503.360067,0.9627033138099261
503.48007,0.9656874962062968
503.600072,0.9617939889020655
503.720074,0.9705716996684896
503.840077,0.9637252840852384
503.960079,0.9638534680720678
504.080082,0.9685956887835945
504.200084,0.9647724582564104
504.320086,0.9673276591720223
504.440089,0.9747619418518151
504.560091,0.9684804327544989
504.680094,0.9689173159394242
504.800096,0.9689802976118425
504.920098,0.9622326669720034
505.040101,0.9686179667406319
505.160103,0.9656952217371685
505.280106,0.9723640573959457
505.400108,0.968707083692889
505.52011,0.9672386691209836
505.640113,0.9707871905044138
505.760115,0.9692787895088993
505.880118,0.9692904209241618
506.00012,0.9703028885397416
506.120122,0.9697577315198536
506.240125,0.9698692600717471
506.360127,0.9681095757723994
506.48013,0.973249311417666
506.600132,0.9749101169279971
506.720134,0.9723737810851381
506.840137,0.9749734881451396
506.960139,0.9708464103292208
507.080142,0.973977574238946
507.200144,0.9762437303749529
507.320146,0.9709454417135892
507.440149,0.9731257166035527
507.560151,0.9740477031489018
507.680154,0.975020287995758
507.800156,0.9799418948937899
507.920158,0.9730313279869641
508.040161,0.9755937685118482
508.160163,0.9732259537144855
508.280166,0.9752250637569395
508.400168,0.9791768590592581
508.52017,0.9751694775125284
508.640173,0.9816474964397256
508.760175,0.9793707552724434
508.880178,0.9762447066191714
509.00018,0.9748321272382721
509.120182,0.9780299360086312
509.240185,0.985198633268213
509.360187,0.9792336529640908
509.48019,0.9764790334668569
509.600192,0.9841863694659531
509.720194,0.9772859383543415
509.840197,0.9805604333578302
509.960199,0.9777228828185982
510.080202,0.9838803350958604
510.200204,0.9806928179520925
510.320206,0.9790857998456847
510.440209,0.9861093775043923
510.560211,0.9838744318315595
510.680214,0.9817662829732352
510.800216,0.9795637103166799
510.920218,0.977980057753801
511.040221,0.9796734275962884
511.160223,0.9787382860740834
511.280226,0.9878622638611824
511.400228,0.9826718889063182
511.52023,0.9823751668031613
511.640233,0.9800898772923088
511.760235,0.988341493262891
511.880238,0.9895212882721482
512.00024,0.9847731193762594
512.120242,0.9880173704121542
512.240245,0.9828615628838272
512.360247,0.9799850132857629
512.48025,0.986665700061519
512.600252,0.9851818850338079
512.720254,0.9870012234352812
512.840257,0.9850341188337949
512.960259,0.9841784960064912
