nu,[0]Methyl2-methylbutyrate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.9783067576489363
520.119602,0.994549209761782
520.239205,0.9977907440063101
520.358807,0.9948146903726789
520.47841,0.9768892407984227
520.598012,0.9887477851038762
520.717614,0.9927395850853697
520.837217,0.9917767970381198
520.956819,0.9821885332522174
521.076422,0.9623308197097391
521.196024,0.9770445785367325
521.315626,0.9733787621843697
521.435229,0.9780064635718374
521.554831,0.942730337120927
521.674433,0.9973018465767737
521.794036,0.9891087439164149
521.913638,0.9820687135603106
522.033241,0.9688010528374371
522.152843,0.982686629095203
522.272445,0.9408147724049549
522.392048,0.9690636335008289
522.51165,0.9723864220264581
522.631253,0.9454757868905068
522.750855,0.9708609731345965
522.870457,0.9515195937237438
522.99006,0.9774413391725775
523.109662,0.9494950139320334
523.229265,0.9247073221721236
523.348867,0.9030566429617942
523.468469,0.9323192313839365
523.588072,0.9478026248870643
523.707674,0.9116929711768247
523.827277,0.9343193338411278
523.946879,0.943930253094517
524.066481,0.9680456826488947
524.186084,0.9160063335280302
524.305686,0.9901300310336479
524.425289,0.876823115197546
524.544891,0.896676615287268
524.664493,0.9239724719926468
524.784096,0.9226401412233984
524.903698,0.9535933082985939
525.0233,0.9524896863680083
525.142903,0.932224139672095
525.262505,0.9512684257066378
525.382108,0.929382399497329
525.50171,0.8731219868254257
525.621312,0.889300571443503
525.740915,0.932659590015063
525.860517,0.9031017969227819
525.98012,0.9011802372828466
526.099722,0.9159458791050352
526.219324,0.8739780657826889
526.338927,0.8971699230728816
526.458529,0.8818000053422088
526.578132,0.9219677816652821
526.697734,0.9025149714937077
526.817336,0.8639762491203176
526.936939,0.90029751325573
527.056541,0.8526978624834245
527.176144,0.9005766487486053
527.295746,0.8655328068504207
527.415348,0.8576407272466517
527.534951,0.8877012702178191
527.654553,0.8862200462628066
527.774155,0.8398936519342715
527.893758,0.9103792573277137
528.01336,0.9023525334187043
528.132963,0.832559989719993
528.252565,0.8459965477990666
528.372167,0.8905108430187941
528.49177,0.8678555458528064
528.611372,0.8040209121537085
528.730975,0.8813680291823933
528.850577,0.8787806125427733
528.970179,0.8513346367748393
529.089782,0.8775160791432707
529.209384,0.8492174505200543
529.328987,0.8818970086778821
529.448589,0.8347608519527404
529.568191,0.8764286335607323
529.687794,0.8372605220445917
529.807396,0.8450580126144013
529.926999,0.8116224581190536
530.046601,0.832768155737091
530.166203,0.8378384311605188
530.285806,0.8385760534861622
530.405408,0.8354205735815153
530.525011,0.8350530693859916
530.644613,0.8764286335607323
530.764215,0.8021497242088871
530.883818,0.857709341249355
531.00342,0.7999228447721878
531.123022,0.844838326091607
531.242625,0.8288467518354341
531.362227,0.832634923491037
531.48183,0.867213570309122
531.601432,0.82733134929581
531.721034,0.8632853445197098
531.840637,0.8329763738021989
531.960239,0.8862466332629975
532.079842,0.8066946976099556
532.199444,0.8660782643197983
532.319046,0.8240368740609101
532.438649,0.8350948230832946
532.558251,0.7941046701801325
532.677854,0.8266118840346915
532.797456,0.8184933555838897
532.917058,0.8337263899952817
533.036661,0.8160007539990609
533.156263,0.8268185628394743
533.275866,0.832177100196064
533.395468,0.810551823248807
533.51507,0.8163762006920194
