nu,[0]Acrylonitrile-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9957548362902165
550.119202,0.9993359505784726
550.238404,1.0
550.357606,1.0
550.476808,1.0
550.59601,1.0
550.715212,0.9980836385698505
550.834414,0.9998898960618836
550.953616,0.9994656827983047
551.072818,1.0
551.19202,0.9993834101696846
551.311222,1.0
551.430424,0.9978302573021308
551.549626,0.9987830410958037
551.668828,1.0
551.78803,0.9971423907603383
551.907232,0.9999763002808428
552.026434,1.0
552.145636,0.9999610437588141
552.264838,0.9999925054280845
552.38404,0.997176294177979
552.503242,0.999450481040879
552.622444,1.0
552.741646,1.0
552.860848,1.0
552.98005,0.9998763176492926
553.099252,1.0
553.218454,0.9997119914824182
553.337656,0.9980096833123087
553.456858,1.0
553.57606,1.0
553.695262,0.9993062307692381
553.814464,0.9992629217757092
553.933666,0.9973571983652566
554.052868,0.9995540894476747
554.17207,0.999888326235979
554.291272,0.9986425222076571
554.410474,0.998869939000383
554.529676,0.9998350536051527
554.648878,1.0
554.76808,0.9990232373435031
554.887282,0.9988714373064153
555.006484,1.0
555.125686,1.0
555.244888,1.0
555.36409,1.0
555.483292,1.0
555.602494,0.9985192973235484
555.721696,0.9986989471041502
555.840898,0.9990608113140337
555.9601,0.9986696856536823
556.079302,0.9997121314421068
556.198504,0.9998651390945495
556.317706,0.9987646636569205
556.436908,0.9993354708973313
556.55611,1.0
556.675312,0.9995253027044296
556.794514,0.9996278892503847
556.913716,0.998983716765956
557.032918,1.0
557.15212,0.9997054933755923
557.271322,0.9993830703793829
557.390524,1.0
557.509726,0.9999890870595466
557.628928,0.9984289354160786
557.74813,1.0
557.867332,0.9999935686206815
557.986534,0.9992141589349496
558.105736,1.0
558.224938,0.9999967325053383
558.34414,1.0
558.463342,1.0
558.582544,0.9998631793607975
558.701746,0.9992778808536166
558.820948,0.9986304387062437
558.94015,0.9978366434362131
559.059352,0.9993995903180731
559.178554,0.9988763317884496
559.297756,1.0
559.416958,1.0
559.53616,0.9999629226873805
559.655362,0.9998153270541481
559.774564,0.9994475126773583
559.893766,0.9993766343731336
560.012968,0.9990906537061616
560.13217,0.9994025385512132
560.251372,1.0
560.370574,1.0
560.489776,0.9989641368769909
560.608978,0.9997663872916993
560.72818,1.0
560.847382,1.0
560.966584,1.0
561.085786,0.9987765490271359
561.204988,1.0
561.32419,1.0
561.443392,0.9999723583820366
561.562594,1.0
561.681796,1.0
561.800998,1.0
561.9202,1.0
562.039402,1.0
562.158604,0.9990350358776063
562.277806,0.9995394161013441
562.397008,1.0
562.51621,0.9998262950884454
562.635412,1.0
562.754614,1.0
562.873816,0.9999728953673372
562.993018,0.9980737575907397
563.11222,0.9990629692877168
563.231422,1.0
563.350624,1.0
563.469826,0.9996670654350168
563.589028,0.9979721588536804
563.70823,1.0
563.827432,0.9999312303647397
563.946634,0.9988499618013758
564.065836,0.9998790073202047
564.185038,0.9989609401968675
564.30424,0.9975238706781874
564.423442,0.9998273749014273
564.542644,0.9990624098126105
564.661846,0.9993564871432694
564.781048,0.9990304802882295
564.90025,0.9997588590791467
565.019452,0.9987044399634646
565.138654,0.9994562578813544
565.257856,0.9990318589512436
565.377058,0.9993506209379072
565.49626,1.0
565.615462,0.99926829782469
565.734664,0.9994654829051881
565.853866,0.99774803947635
565.973068,0.9992748130752315
566.09227,0.9982285708359988
566.211472,0.9996243205851901
566.330674,0.9987633652637017
566.449876,0.9988529583557559
566.569078,0.999275322705516
566.68828,1.0
566.807482,0.9989268762096011
566.926684,0.9989951052452413
567.045886,0.9998787773480595
567.165088,0.9994397370059571
567.28429,0.9997852130700161
567.403492,0.9992508507525233
567.522694,0.997908190888493
567.641896,0.9969900390429978
567.761098,0.9992170566602121
567.8803,0.9985237906704963
567.999502,0.9989142898102554
568.118704,0.9995145478700336
568.237906,0.999938432895332
568.357108,0.9966999571505987
568.47631,0.9984631821158909
568.595512,0.9999858820996584
568.714714,0.9977607109569151
568.833916,0.9978165871212467
568.953118,0.9975839234227717
569.07232,0.9970068883170335
569.191522,0.9987860374494215
569.310724,0.999938370899151
569.429926,0.9990926618803937
569.549128,0.9987291082677839
569.66833,0.9991223153906542
569.787532,0.9996766322946103
569.906734,0.9994375882128325
570.025936,1.0
570.145138,0.9997211088973558
570.26434,0.9982880670317896
570.383542,0.9988395738157906
570.502744,0.9987734528246329
570.621946,0.9984395188188859
570.741148,0.9997509110278106
570.86035,0.9990874366394361
570.979552,0.9996248803749664
571.098754,0.9996782117849372
571.217956,0.999113143489898
571.337158,0.9984408167911041
571.45636,0.9991015538446536
571.575562,0.9990947699681343
571.694764,0.9996156438837445
571.813966,0.9991975321496801
571.933168,0.9984340274166338
572.05237,0.9996695845991959
572.171572,1.0
572.290774,0.9994364588489959
572.409976,0.9992617026756883
572.529178,0.9994687411679734
572.64838,0.9987846391499479
572.767582,0.9997916017179393
572.886784,0.999450331123318
573.005986,0.9992431265733009
573.125188,0.9997693765976663
573.24439,0.9987397947264149
573.363592,0.999891345903284
573.482794,0.9998003399347243
573.601996,0.997003498499376
573.721198,0.9997790844054444
573.8404,0.999997347103519
573.959602,0.9985868993682806
574.078804,0.9996045881958612
574.198006,0.9970454732302246
574.317208,1.0
574.43641,1.0
574.555612,0.9989067979811762
574.674814,1.0
574.794016,0.9991893987148716
574.913218,0.9994258848671977
575.03242,0.9995001949441805
575.151622,1.0
575.270824,0.9999169704471441
575.390026,0.9996698145232267
575.509228,0.9993922847337698
575.62843,0.9999813541738356
575.747632,0.9999896580534783
575.866834,0.9998327739838292
575.986036,1.0
576.105238,1.0
576.22444,0.9997632080396427
576.343642,0.9998010098011765
576.462844,0.9997323458257712
576.582046,1.0
576.701248,0.999582657111781
576.82045,0.9996670454416756
576.939652,1.0
577.058854,1.0
577.178056,0.9999329442483375
577.297258,0.9995646547902378
577.41646,0.9998722581596837
577.535662,1.0
577.654864,0.9995224340709273
577.774066,0.9998411326207588
577.893268,0.9995061419880328
578.01247,0.9998928357424993
578.131672,1.0
578.250874,0.9997207190061994
578.370076,1.0
578.489278,0.9995390362764381
578.60848,0.9998803971529908
578.727682,1.0
578.846884,0.9987443889400374
578.966086,0.9997911518118198
579.085288,1.0
579.20449,0.9992359220563307
579.323692,1.0
579.442894,0.9992942291734762
579.562096,0.999932413284085
579.681298,0.999993969918181
579.8005,1.0
579.919702,1.0
580.038904,0.9999581268767037
580.158106,0.9999513701824679
580.277308,1.0
580.39651,0.9998472216717976
580.515712,0.999300924467241
580.634914,0.9994549186108662
580.754116,0.999961880726558
580.873318,0.9994450040672498
580.99252,1.0
581.111722,0.9998898860629847
581.230924,0.9996234209237065
581.350126,0.9991844827151232
581.469328,0.999649151561713
581.58853,1.0
581.707732,0.9998612096322743
581.826934,1.0
581.946136,1.0
582.065338,0.999624300592704
582.18454,0.9999501792410952
582.303742,0.9996427938133267
582.422944,0.9999322492951827
582.542146,0.9994176296434828
582.661348,0.9992641408772174
582.78055,0.9989641368769909
582.899752,0.9998380431164323
583.018954,0.9992999851248134
583.138156,1.0
583.257358,1.0
583.37656,1.0
583.495762,0.9989789216556237
583.614964,0.9999292275044912
583.734166,1.0
583.853368,1.0
583.97257,1.0
584.091772,0.9988300848849119
584.210974,0.9999917774338055
584.330176,0.9993796325075339
584.449378,0.9999766292730997
584.56858,0.9999995238001134
584.687782,0.9996791314893151
584.806984,0.9990414996551987
584.926186,0.9993196715284308
585.045388,0.999263491355737
585.16459,0.9998522709130163
585.283792,0.9994336204534833
585.402994,0.9996697545430396
585.522196,1.0
585.641398,1.0
585.7606,1.0
585.879802,0.999510609790473
585.999004,0.999725277743072
586.118206,1.0
586.237408,1.0
586.35661,0.999675962511491
586.475812,0.9994509008101692
586.595014,1.0
