nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
540,0.9988913150458005
540.131203,0.9914338007686491
540.262405,1.0049092108824804
540.393608,1.0028450394649675
540.52481,1.0019761500158493
540.656013,0.9919072242623325
540.787216,0.9828399401672945
540.918418,0.9941486860109887
541.049621,0.9946229085887331
541.180824,0.9956066789937528
541.312026,1.0032629117451608
541.443229,0.9917232425370643
541.574431,1.0029342966453656
541.705634,0.9870101064862657
541.836837,1.008034303177301
541.968039,0.9878701667909049
542.099242,0.9914086186699236
542.230445,0.9955306175490618
542.361647,0.9942750503392636
542.49285,0.985497193683712
542.624052,0.9956332620469641
542.755255,0.9899894425512596
542.886458,0.9920821129219523
543.01766,0.9914085195290666
543.148863,0.989977562749228
543.280066,0.9905410202708951
543.411268,0.9836265267120949
543.542471,0.9975710546731631
543.673673,0.9915103424125378
543.804876,0.9994106037622424
543.936079,0.9913635106039903
544.067281,1.0051034786083148
544.198484,0.9935490969929316
544.329687,0.9888120557986828
544.460889,0.996381562380562
544.592092,1.0032171639994418
544.723294,0.9986096674091409
544.854497,0.9864101867356071
544.9857,1.001110315944862
545.116902,1.0012306566371691
545.248105,0.9851414934045556
545.379308,0.9910215491845686
545.51051,0.9998475316244844
545.641713,0.9821787114159942
545.772915,0.9880331788165477
545.904118,0.9950463101920985
546.035321,0.9911538593928947
546.166523,0.9897548428545372
546.297726,0.990965062566149
546.428929,0.990104585018833
546.560131,0.9945875006434525
546.691334,0.9901510220128095
546.822536,0.9929043935352169
546.953739,0.9942771383190617
547.084942,0.9895974843448563
547.216144,0.9957823195029647
547.347347,0.9915233312831003
547.47855,0.9896073803691798
547.609752,0.993739976107816
547.740955,0.9934866047201333
547.872157,0.9895113931087414
548.00336,0.9939723396764727
548.134563,0.986842329029651
548.265765,0.9930671439023455
548.396968,0.9891779839518621
548.528171,0.9870387301943957
548.659373,0.9932314107924443
548.790576,0.9882140054334019
548.921778,0.9937493173074949
549.052981,0.987675575535915
549.184184,0.9873437722886022
549.315386,0.9904886220368683
549.446589,0.9854429928285966
549.577792,0.9887220779956573
549.708994,0.9923189511878292
549.840197,0.993097631531646
549.971399,0.9920305259933521
550.102602,0.9954354493711356
550.233805,0.9827436265726014
550.365007,0.9893303290916653
550.49621,0.9882308052142921
550.627413,0.9923189511878292
550.758615,0.9802476844656894
550.889818,0.9805672973048875
551.02102,0.9892343687038975
551.152223,0.9893995846386177
551.283426,0.9814924083875669
551.414628,0.9889287425056474
551.545831,0.9844403223077832
551.677034,0.9864092003259135
551.808236,0.9821963907919136
551.939439,0.9845751998708414
552.070641,0.99287311753942
552.201844,0.9802839543010025
552.333047,0.9884393439142514
552.464249,0.9895994635418042
552.595452,0.9807094898717086
552.726655,0.9821767470605357
552.857857,0.9924894462287479
552.98906,0.9820510364825606
553.120262,0.9895252463652174
553.251465,0.9824370583882344
553.382668,0.9838222878684997
553.51387,0.9855799789249129
553.645073,0.989255142843768
553.776276,0.985416386226981
553.907478,0.9838114658828542
554.038681,0.9873526584225403
554.169883,0.9889267646501403
554.301086,0.9854784694149132
554.432289,0.9862809754646678
554.563491,0.9836147232645953
554.694694,0.98236436073576
554.825897,0.9806535910239181
554.957099,0.9776182720669117
555.088302,0.9770211297482342
555.219504,0.9915002290586235
555.350707,0.9831250050823579
555.48191,0.9817564653594936
555.613112,0.9833265663677256
555.744315,0.9791376927682267
555.875518,0.9786208445263884
556.00672,0.9837790006401596
556.137923,0.9832705183508264
556.269125,0.9811067576564029
556.400328,0.9815885993568694
556.531531,0.9801369227355003
556.662733,0.9794422519471752
556.793936,0.9813285128410252
556.925139,0.9855050776927975
557.056341,0.9856026475251162
557.187544,0.9808526839101402
557.318746,0.9843507423144047
557.449949,0.9864496439322151
557.581152,0.9797175138924644
557.712354,0.9822779164756184
557.843557,0.9762857097579093
557.974759,0.9732619637409543
558.105962,0.9779067119999697
558.237165,0.9756776731837894
558.368367,0.9846155682815829
558.49957,0.9829628028385724
558.630773,0.9800663554175174
558.761975,0.979138671906409
558.893178,0.9778304382511486
559.02438,0.9823928497153095
559.155583,0.9756376712192347
559.286786,0.97722925741368
559.417988,0.9769332018033737
559.549191,0.983390484671862
559.680394,0.9712707629248236
559.811596,0.9810390636255955
559.942799,0.9783136058202083
560.074001,0.9752630982760944
560.205204,0.9755079200376073
560.336407,0.9804006150327401
560.467609,0.979820389632305
560.598812,0.9817829731419118
560.730015,0.9786384598601274
