nu,[0]Chloroacetone-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.990731024259383
600.119202,0.9961946587315699
600.238404,0.9936956562932208
600.357606,0.9905254688989554
600.476808,0.997260858313194
600.59601,0.9919443222862485
600.715212,0.9946265887003031
600.834414,0.9975334469533119
600.953616,0.996351870652412
601.072818,0.9911451372773094
601.19202,0.9967325497720839
601.311222,0.9964046787009575
601.430424,0.9978519104536501
601.549626,0.9936549156065025
601.668828,0.9973456290888575
601.78803,0.9956421232224285
601.907232,0.9946956181808542
602.026434,0.997295164676786
602.145636,0.9926512351939256
602.264838,0.9941538555975968
602.38404,0.9962696750136999
602.503242,0.9957308388878318
602.622444,0.9905200210238582
602.741646,0.9985526484250393
602.860848,0.992239965742977
602.98005,0.9947897208373195
603.099252,0.9914527373350873
603.218454,0.9977299804002706
603.337656,0.9943746816907549
603.456858,0.9949306925283706
603.57606,0.994131586800643
603.695262,0.9942001842467169
603.814464,0.9961123764510635
603.933666,0.997175695872382
604.052868,0.9960536075545525
604.17207,0.9931224592827799
604.291272,0.9992440059076393
604.410474,0.9922210141406197
604.529676,1.0
604.648878,0.9959601821078858
604.76808,0.9950270064809275
604.887282,0.9949113910601605
605.006484,0.9942427369252234
605.125686,0.9944706434776198
605.244888,0.9998072485789427
605.36409,0.9949499943710329
605.483292,0.9973910093473741
605.602494,0.9987665613115843
605.721696,0.9920281451229467
605.840898,0.9991322966724414
605.9601,0.9936203370171104
606.079302,0.9946958171199977
606.198504,0.9990656068174372
606.317706,0.9990963984939366
606.436908,0.9978928232206847
606.55611,0.9943840288566944
606.675312,0.9979588859122328
606.794514,0.993885172124636
606.913716,0.994498687945191
607.032918,0.9952336950540388
607.15212,0.9972716287886242
607.271322,0.9954303726632894
607.390524,0.9988045151620326
607.509726,0.9956360498240007
607.628928,0.9976629351983317
607.74813,0.992146501140456
607.867332,0.996136582275911
607.986534,0.9944458814668856
608.105736,0.9961789189803063
