nu,[0]HCFE-235da2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
399.9224,1.0
400.163462,0.9999990886304153
400.404525,0.9999995528201
400.645587,0.9999995212301146
400.886649,0.9999989112005927
401.127712,0.9999987095008327
401.368774,0.9999993219402299
401.609836,0.9999996962100461
401.850899,0.9999987046008391
402.091961,0.999997020404439
402.333023,0.9999967263053585
402.574086,0.999998386301302
402.815148,1.0
403.05621,0.9999997448200325
403.297272,0.9999975915029005
403.538335,0.9999964469063123
403.779397,0.9999977447025432
404.020459,0.9999999586840008
404.261522,1.0
404.502584,0.9999986998008452
404.743646,0.9999970496043524
404.984709,0.999997073904281
405.225771,0.9999979002022046
405.466833,0.9999975041031147
405.707896,0.9999955744097929
405.948958,0.9999938829187094
406.19002,0.9999940360177846
406.431083,0.9999958757085049
406.672145,0.9999976766026991
406.913207,0.9999981457017192
407.15427,0.999997462703219
407.395332,0.9999964323063643
407.636394,0.9999956521094521
407.877457,0.999995217111438
408.118519,0.9999948526132478
408.359581,0.9999943228161152
408.600643,0.9999937735193846
408.841706,0.9999937200197192
409.082768,0.9999944200155682
409.32383,0.9999954164105047
409.564893,0.9999958612085649
409.805955,0.9999953629107513
410.047017,0.9999945779146996
410.28808,0.9999944564153658
410.529142,0.9999950154124231
410.770204,0.9999953265109208
411.011267,0.9999946411143589
411.252329,0.9999933871218651
411.493391,0.9999925535277251
411.734454,0.9999925438277973
411.975516,0.9999929861245973
412.216578,0.9999932801225785
412.457641,0.9999932218229719
412.698703,0.999992947224871
412.939765,0.9999926434270597
413.180828,0.9999925948274184
413.42189,0.9999930930238533
413.662952,0.9999939801181196
413.904014,0.9999945123150574
414.145077,0.9999939533182812
414.386139,0.9999925778275445
414.627201,0.9999916640347444
414.868264,0.9999920018319856
415.109326,0.9999930517241393
415.350388,0.9999935815205985
415.591451,0.9999930638240554
415.832513,0.9999922011304113
416.073575,0.9999918268334005
416.314638,0.9999920237318106
416.5557,0.9999924004288769
416.796762,0.9999928403256306
417.037825,0.99999357662063
417.278887,0.9999945002151239
417.519949,0.9999949085129617
417.761012,0.9999942863163231
418.002074,0.999993127023619
418.243136,0.9999923736290809
418.484199,0.9999924077288215
418.725261,0.9999927868260151
418.966323,0.9999929083251461
419.207385,0.9999927479262964
419.448448,0.9999927187265086
419.68951,0.9999930809239369
419.930572,0.9999936836199484
420.171635,0.9999942474165462
420.412697,0.9999946824141384
420.653759,0.9999949984125079
420.894822,0.9999951564117302
421.135884,0.999995105311979
421.376946,0.9999949012129988
421.618009,0.9999946047145546
421.859071,0.9999942280166579
422.100133,0.9999938561188737
422.341196,0.9999936933198872
422.582258,0.9999938829187094
422.82332,0.9999943592159093
423.064383,0.9999949668126665
423.305445,0.999995623009579
423.546507,0.9999962938068679
423.78757,0.9999968309050216
424.028632,0.9999969670045995
424.269694,0.9999966510056079
424.510756,0.9999962816069132
424.751819,0.9999962889068861
424.992881,0.9999966048057637
425.233943,0.9999968066050989
425.475006,0.9999966923054704
425.716068,0.9999965416059803
425.95713,0.9999966559055915
426.198193,0.9999969499046516
426.439255,0.9999971346041052
426.680317,0.9999971395040912
426.92138,0.9999971103041752
427.162442,0.9999970447043669
427.403504,0.9999968138050759
427.644567,0.9999965757058629
427.885629,0.9999967774051925
428.126691,0.9999974919031452
428.367754,0.9999981311017464
428.608816,0.9999980898018245
428.849878,0.9999976134028479
429.090941,0.9999975454030126
429.332003,0.9999980752018525
429.573065,0.999998386301302
429.814127,0.9999977860024509
430.05519,0.9999968989048084
430.296252,0.9999969913045261
430.537314,0.9999982477015352
430.778377,0.9999994191501687
431.019439,0.9999992879102535
431.260501,0.9999982526015267
431.501564,0.9999976766026991
431.742626,0.9999980412019185
431.983688,0.9999984738011647
432.224751,0.9999981286017511
432.465813,0.999997462703219
432.706875,0.9999975356030366
432.947938,0.9999985126011062
433.189,0.9999994045701772
433.430062,0.999999375410195
433.671125,0.9999988334006805
433.912187,0.9999987265008109
434.153249,0.9999992709002657
434.394312,0.9999997278000371
434.635374,0.9999994142901715
434.876436,0.9999985369010703
435.117498,0.9999978273023603
435.358561,0.9999977860024509
435.599623,0.9999983182014143
435.840685,0.999998959800541
436.081748,0.9999993195102316
436.32281,0.9999992077103138
436.563872,0.9999987192008202
436.804935,0.9999982113015997
437.045997,0.9999980169019663
437.287059,0.9999981481017147
437.528122,0.9999983814013099
437.769184,0.999998561201035
438.010246,0.9999987727007531
438.251309,0.9999991275103807
438.492371,0.9999995017801241
438.733433,0.9999996427400638
438.974496,0.9999995066401217
439.215558,0.9999993219402299
439.45662,0.999999300070245
439.697683,0.9999994458901535
439.938745,0.9999996087200765
440.179807,0.9999995917100833
440.420869,0.9999992368802911
440.661932,0.9999985685010246
440.902994,0.9999980484019043
441.144056,0.9999983352013858
441.385119,0.9999995066401217
441.626181,1.0
441.867243,1.0
442.108306,0.9999997107900418
442.349368,0.9999985904009935
442.59043,0.9999985102011097
442.831493,0.9999992393102893
443.072555,0.9999997010700447
443.313617,0.9999993827001905
443.55468,0.999998906400598
443.795742,0.9999989623005384
444.036804,0.9999992879102535
444.277867,0.9999991323703764
444.518929,0.9999984810011536
444.759991,0.9999981530017057
445.001054,0.9999986026009764
445.242116,0.999999232020295
445.483178,0.9999992028503177
445.72424,0.9999986755008772
445.965303,0.9999985855010004
446.206365,0.9999992806202588
446.447427,0.9999999343810021
446.68849,0.9999995892700844
446.929552,0.9999984810011536
447.170614,0.9999977544025214
447.411677,0.999998099501806
447.652739,0.9999990375904632
447.893801,0.9999995892700844
448.134864,0.9999994240101658
448.375926,0.9999989671005335
448.616988,0.9999986998008452
448.858051,0.9999986633008934
449.099113,0.9999986220009495
449.340175,0.9999984738011647
449.581238,0.9999983474013655
449.8223,0.9999984519011983
450.063362,0.9999988577006524
450.304425,0.9999993924201845
450.545487,0.999999720510039
450.786549,0.9999995844100864
451.027611,0.9999991445203659
451.268674,0.9999989234005795
451.509736,0.9999992077103138
451.750798,0.9999996427400638
451.991861,0.9999995990000804
452.232923,0.9999989768005235
452.473985,0.9999983936012903
452.715048,0.9999983936012903
452.95611,0.9999987824007412
453.197172,0.9999989015006033
453.438235,0.9999985029011207
453.679297,0.9999980266019471
453.920359,0.9999979755020493
454.161422,0.9999982963014513
454.402484,0.9999985540010454
454.643546,0.9999985369010703
454.884609,0.999998449501202
455.125671,0.999998476201161
455.366733,0.9999985248010881
455.607796,0.9999984276012363
455.848858,0.9999982575015182
456.08992,0.9999982064016085
456.330982,0.9999983085014306
456.572045,0.999998422701244
456.813107,0.9999984640011796
457.054169,0.9999984932011352
457.295232,0.9999985321010774
457.536294,0.9999984981011278
457.777356,0.9999983644013376
458.018419,0.9999982915014595
458.259481,0.9999984154012554
458.500543,0.9999986293009394
458.741606,0.9999987022008422
458.982668,0.9999986099009662
459.22373,0.9999985491010526
459.464793,0.9999986414009229
459.705855,0.9999987775007473
459.946917,0.9999988164007004
460.18798,0.9999988043007149
460.429042,0.9999988456006663
460.670104,0.9999988602006495
460.911167,0.9999986609008966
461.152229,0.9999983109014265
