nu,[0]1-Butanol-2-2-3-4-4-4-hexafluoro--HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
487.902137,0.9999770332637395
488.384254,0.999977714248331
488.86637,0.9999786622276535
489.348487,0.9999784192328681
489.830604,0.9999772522587338
490.31272,0.9999765962738715
490.794837,0.9999769602654187
491.276954,0.9999779082440264
491.75907,0.9999788322240405
492.241187,0.999979342213375
492.723304,0.9999801441971291
493.205421,0.9999817731661108
493.687537,0.9999830851430578
494.169654,0.999983231140599
494.651771,0.9999831091426521
495.133887,0.9999835711349553
495.616004,0.9999842511240149
496.098121,0.9999845921187026
496.580237,0.9999845431194588
497.062354,0.9999845191198301
497.544471,0.9999849321135218
498.026587,0.9999855641041986
498.508704,0.9999863660929426
498.990821,0.9999873620798592
499.472937,0.9999877030756078
499.955054,0.9999874110792412
500.437171,0.9999869980845256
500.919288,0.9999860990966185
501.401404,0.9999850051124245
501.883521,0.9999845921187026
502.365638,0.9999844461209628
502.847754,0.9999845191198301
503.329871,0.9999850531117058
503.811988,0.9999854671056035
504.294104,0.9999855641041986
504.776221,0.9999857831010611
505.258338,0.9999858071007202
505.740454,0.9999851511102459
506.222571,0.999984203124772
506.704688,0.9999840081278714
507.186804,0.9999848831142613
507.668921,0.9999858800996867
508.151038,0.9999859530986587
508.633155,0.9999855151049071
509.115271,0.9999856121035068
509.597388,0.9999860500973008
510.079505,0.9999857581014168
510.561621,0.9999846401179642
511.043738,0.9999835471353499
511.525855,0.999983449136967
512.007971,0.9999841791251514
512.490088,0.9999845921187026
512.972205,0.9999844461209628
513.454321,0.999984203124772
513.936438,0.9999837411321768
514.418555,0.999983231140599
514.900671,0.9999834251373646
515.382788,0.999984106126309
515.864905,0.9999835221357615
516.347022,0.9999814811714757
516.829138,0.9999803631928046
517.311255,0.9999812621755553
517.793372,0.9999826961497134
518.275488,0.9999829881447032
518.757605,0.9999822831569452
519.239722,0.9999816021692421
519.721838,0.9999807281857038
520.203955,0.9999797802044228
520.686072,0.9999792692148857
521.168188,0.9999788082245489
521.650305,0.9999781272392123
522.132422,0.9999779812424164
522.614538,0.9999784922312954
523.096655,0.9999785402302641
523.578772,0.9999781032397376
524.060888,0.9999781512386876
524.543005,0.9999784922312954
525.025122,0.9999780302413387
525.507239,0.9999765962738715
525.989355,0.9999756972953155
526.471472,0.9999759402894395
526.953589,0.9999767902693499
527.435705,0.9999774222548812
527.917822,0.9999774952532356
528.399939,0.9999770332637395
528.882055,0.9999760372871104
529.364172,0.9999749683132979
529.846289,0.9999747253194101
530.328405,0.9999744823255814
530.810522,0.999973995338127
531.292639,0.9999735093508835
531.774755,0.9999737523444757
532.256872,0.9999744823255814
532.738989,0.9999749683132979
533.221106,0.9999754543012506
533.703222,0.9999752113072448
534.185339,0.9999744823255814
534.667456,0.999973995338127
535.149572,0.9999742393318117
535.631689,0.9999749683132979
536.113806,0.9999754543012506
536.595922,0.9999754543012506
537.078039,0.9999757702935441
537.560156,0.9999764742767342
538.042272,0.9999770822626154
538.524389,0.9999769852648431
539.006506,0.9999763532795881
539.488622,0.9999760862859374
539.970739,0.9999763532795881
540.452856,0.9999764992761463
540.934973,0.9999764022784307
541.417089,0.999976304280748
541.899206,0.9999762562818866
542.381323,0.9999762312824805
542.863439,0.9999762072830511
543.345556,0.9999760612865356
543.827673,0.999975843291778
544.309789,0.9999758672911985
544.791906,0.9999758912906196
545.274023,0.9999754543012506
545.756139,0.9999747253194101
546.238256,0.9999744823255814
546.720373,0.9999744823255814
547.202489,0.999973995338127
547.684606,0.999973023363876
548.166723,0.9999715654042708
548.64884,0.9999708364252653
549.130956,0.9999715654042708
549.613073,0.9999718083973907
550.09519,0.9999710794182081
550.577306,0.9999698644540846
551.059423,0.9999691354763192
551.54154,0.9999688924838488
552.023656,0.9999686494914375
552.505773,0.9999676775223826
552.98789,0.9999671915382093
553.470006,0.9999669485462114
553.952123,0.999966461562426
554.43424,0.9999654895954977
554.916356,0.9999654895954977
555.398473,0.9999654895954977
555.88059,0.9999654895954977
556.362707,0.9999654895954977
556.844823,0.9999657325871412
557.32694,0.9999657325871412
557.809057,0.9999657325871412
558.291173,0.9999654895954977
558.77329,0.9999652466039133
559.255407,0.9999659755788437
559.737523,0.9999669485462114
560.21964,0.9999676775223826
560.701757,0.9999688924838488
561.183873,0.9999701074467913
561.66599,0.999970350439557
562.148107,0.9999701074467913
562.630223,0.999970350439557
563.11234,0.9999713224112099
563.594457,0.9999727803704609
564.076573,0.9999742393318117
564.55869,0.9999747253194101
565.040807,0.9999749683132979
565.522924,0.9999752113072448
566.00504,0.9999754543012506
566.487157,0.9999757702935441
566.969274,0.999976936265972
567.45139,0.9999779332434745
567.933507,0.9999780302413387
568.415624,0.9999780062418663
568.89774,0.9999785892292138
569.379857,0.999979658206897
569.861974,0.9999803871923336
570.34409,0.999980314193768
570.826207,0.9999802171956823
571.308324,0.9999807761847799
571.79044,0.9999815541701265
572.272557,0.9999819181634784
572.754674,0.9999818941639126
573.236791,0.9999820401612798
573.718907,0.9999825751518144
574.201024,0.9999834251373646
574.683141,0.9999841301259278
575.165257,0.9999842761236214
575.647374,0.9999837901313814
576.129491,0.999983061143464
576.611607,0.9999828661467861
577.093724,0.9999833771381613
577.575841,0.9999840571270889
578.057957,0.9999841301259278
578.540074,0.9999836441337586
579.022191,0.9999835221357615
579.504307,0.9999840571270889
579.986424,0.9999846401179642
580.468541,0.9999848591146243
580.950658,0.999984835114988
581.432774,0.9999849561131604
581.914891,0.9999852721084564
582.397008,0.9999851511102459
582.879124,0.9999846401179642
583.361241,0.9999843241228679
583.843358,0.999984203124772
584.325474,0.9999841541255472
584.807591,0.9999840811267066
585.289708,0.9999839361290254
585.771824,0.9999838631302007
586.253941,0.9999837411321768
586.736058,0.9999834011377626
587.218174,0.9999826961497134
587.700291,0.9999819671625936
588.182408,0.999981845164801
588.664525,0.9999822591573706
589.146641,0.9999825261526695
589.628758,0.9999822831569452
590.110875,0.9999816511683419
590.592991,0.9999810681792092
591.075108,0.9999808491833793
591.557225,0.9999805821885281
592.039341,0.9999799252015015
592.521458,0.9999788802230256
593.003575,0.9999775192526957
593.485691,0.9999762072830511
593.967808,0.9999752113072448
594.449925,0.9999737523444757
594.932041,0.9999720513905697
595.414158,0.9999701074467913
595.896275,0.9999681635067919
596.378392,0.999966461562426
596.860508,0.9999647606209215
597.342625,0.9999628166913164
597.824742,0.9999606297750276
598.306858,0.9999584418635633
598.788975,0.9999564979462418
599.271092,0.9999543110437722
599.753208,0.9999521241460853
600.235325,0.9999501792410952
600.717442,0.9999479923524446
601.199558,0.9999458054685767
601.681675,0.999944103562264
602.163792,0.9999421596728162
602.645908,0.9999404587726493
603.128025,0.9999390008605231
603.610142,0.9999377859353752
604.092258,0.999937056980995
604.574375,0.9999368129963828
605.056492,0.9999368129963828
605.538609,0.9999360840427118
606.020725,0.9999353550895723
606.502842,0.9999348691211077
606.984959,0.9999351121053105
607.467075,0.9999358410582729
607.949192,0.9999365700117667
608.431309,0.9999372999657293
608.913425,0.9999382719052572
609.395542,0.9999392438457299
609.877659,0.9999409447438303
610.359775,0.9999428886309163
610.841892,0.9999453194950333
611.324009,0.999947749365112
611.806125,0.9999506652170005
612.288242,0.9999528531114494
612.770359,0.9999547970216854
613.252476,0.9999564979462418
613.734592,0.9999584418635633
614.216709,0.9999603867846242
614.698826,0.9999625737003814
615.180942,0.9999647606209215
615.663059,0.999966461562426
616.145176,0.9999681635067919
616.627292,0.9999701074467913
617.109409,0.9999720513905697
617.591526,0.9999737523444757
618.073642,0.9999752113072448
618.555759,0.9999762312824805
619.037876,0.9999772762581881
619.519992,0.9999782492365513
620.002109,0.9999790752189263
620.484226,0.9999797552049287
620.966343,0.9999805821885281
621.448459,0.9999813591737423
621.930576,0.9999816021692421
622.412693,0.9999813841732766
622.894809,0.9999814081728302
623.376926,0.9999819431630267
623.859043,0.9999825021530891
624.341159,0.9999825751518144
624.823276,0.9999825021530891
625.305393,0.9999827451488666
625.787509,0.9999833041393774
626.269626,0.9999834741365536
626.751743,0.9999828901463752
627.233859,0.999982161159114
627.715976,0.9999816271687826
628.198093,0.9999810921787551
628.68021,0.9999805331894808
629.162326,0.9999798772024662
629.644443,0.9999792212158819
630.12656,0.9999788562235328
630.608676,0.9999787352260985
631.090793,0.9999786622276535
631.57291,0.9999787102266304
632.055026,0.9999786862271417
632.537143,0.9999784922312954
633.01926,0.9999782732360295
633.501376,0.9999780782402853
633.983493,0.9999778352456418
634.46561,0.9999778352456418
634.947726,0.9999780062418663
635.429843,0.999977811246174
635.91196,0.9999771792603971
636.394077,0.9999765962738715
636.876193,0.9999763292801559
637.35831,0.9999764992761463
637.840427,0.999977155260945
638.322543,0.9999779332434745
638.80466,0.9999784922312954
639.286777,0.9999787102266304
639.768893,0.9999790752189263
640.25101,0.9999796822064092
640.733127,0.9999799982000387
641.215243,0.9999801441971291
641.69736,0.9999806061880624
642.179477,0.9999810681792092
642.661593,0.9999811651773775
643.14371,0.9999813351741901
643.625827,0.9999821131599714
644.107943,0.9999830121442953
644.59006,0.9999835221357615
645.072177,0.9999839111294273
645.554294,0.9999847381164637
646.03641,0.9999859040993482
646.518527,0.9999868280867504
647.000644,0.9999871190829597
647.48276,0.9999872650810898
647.964877,0.9999877510750187
648.446994,0.9999882860686087
648.92911,0.9999884560666317
649.411227,0.999988480066355
649.893344,0.9999887230635851
650.37546,0.9999889910605988
650.857577,0.9999889910605988
651.339694,0.999988820062496
651.82181,0.999988820062496
652.303927,0.9999890880595357
652.786044,0.9999894040561375
