nu,[0]Peroxynitricacid-HITRAN(x-sec)-X=0.01-T=220.0K-P=0.0001atm-L=15cm
780,0.9999845281196907
780.060265,0.9999799452011001
780.12053,0.999983199141136
780.180795,0.999973344355268
780.24106,0.9999771992599408
780.301325,0.9999866360892978
780.36159,0.9999855661041697
780.421855,0.9999855361046032
780.48212,0.999979975200499
780.542385,0.9999813481739475
780.60265,0.9999816611681585
780.662915,0.9999814141727186
780.72318,0.9999711594158976
780.783445,0.9999787642254823
780.84371,0.9999750023124474
780.903975,0.9999818881640212
780.96424,0.9999666635556717
781.024505,0.9999730863621784
781.08477,0.9999617947298399
781.145035,0.9999823311560959
781.2053,0.9999826381507186
781.265565,0.9999704174375726
781.32583,0.9999773832557625
781.386095,0.9999849631130551
781.44636,0.9999713084116115
781.506625,0.9999774552541366
781.56689,0.9999745553237213
781.627155,0.9999744543262963
781.68742,0.9999808771828435
781.747685,0.9999774012553555
781.80795,0.9999772112596673
781.868215,0.9999678995152316
781.92848,0.9999832491402972
781.988745,0.9999725733761168
782.04901,0.999971817397137
782.109275,0.9999630416829755
782.16954,0.9999721333882813
782.229805,0.9999678975152958
782.29007,0.9999647476213797
782.350335,0.9999709474220343
782.4106,0.9999719703928368
782.470865,0.9999748813154794
782.53113,0.9999783012354216
782.591395,0.9999608807651772
782.65166,0.9999794322115199
782.711925,0.9999712114143993
782.77219,0.9999716074030774
782.832455,0.9999786972269072
782.89272,0.999963590662836
782.952985,0.9999696794596769
783.01325,0.999966311567468
783.073515,0.9999742723309621
783.13378,0.9999643856342065
783.194045,0.9999730553630133
783.25431,0.999958812848214
783.314575,0.9999752463063777
783.37484,0.9999663245670302
783.435105,0.9999670415431419
783.49537,0.9999657795855318
783.555635,0.9999672665357515
783.6159,0.9999576378972992
783.676165,0.9999655185944973
783.73643,0.9999649016159627
783.796695,0.9999656955884098
783.85696,0.9999702984411001
783.917225,0.9999679795126667
783.97749,0.9999616407357353
784.037755,0.9999587598503984
784.09802,0.9999754323017909
784.158285,0.9999670285435704
784.21855,0.9999519121562574
784.278815,0.999961178753564
784.33908,0.9999594878206405
784.399345,0.9999594918204785
784.45961,0.9999618707269392
784.519875,0.9999601307947978
784.58014,0.9999600937962737
784.640405,0.9999644216329251
784.70067,0.9999607287711348
784.760935,0.9999635346648765
784.8212,0.999951437179212
784.881465,0.9999534420838534
784.94173,0.9999686094926923
785.001995,0.9999647816201817
785.06226,0.9999511701922139
785.122525,0.9999441945571816
785.18279,0.9999527181178234
785.243055,0.9999520451498706
785.30332,0.9999462554442904
785.363585,0.9999374639554599
785.42385,0.9999509962007254
785.484115,0.9999587448510171
785.54438,0.9999528021138553
785.604645,0.9999418226923652
785.66491,0.9999317343302069
785.725175,0.999942055678837
785.78544,0.9999557579787071
785.845705,0.9999521131466119
785.90597,0.999929281500671
785.966235,0.9999521731437405
786.0265,0.9999560379663586
786.086765,0.9999560809644691
786.14703,0.9999555049899324
786.207295,0.999926781680592
786.26756,0.9999557719780878
786.327825,0.9999357510640513
786.38809,0.999959546818252
786.448355,0.9999427576384065
786.50862,0.9999311573697627
786.568885,0.9999506592172964
786.62915,0.9999447165281875
786.689415,0.9999394008362035
786.74968,0.9999274886290765
786.809945,0.9999340471749832
786.87021,0.9999550350109554
786.930475,0.9999379349261164
786.99074,0.9999341471683929
787.051005,0.9999343671539295
787.11127,0.9999424876538984
787.171535,0.9999415997053636
787.2318,0.9999471713954798
787.292065,0.9999389938609502
787.35233,0.9999361000416893
787.412595,0.9999400167990642
787.47286,0.9999378819294072
787.533125,0.9999048945228126
787.59339,0.9999342441620099
787.653655,0.9999321073048133
787.71392,0.9999154295762799
787.774185,0.9999185223194865
787.83445,0.999932857254175
787.894715,0.9999385848859853
787.95498,0.9999320723071902
788.015245,0.9999349761141445
788.07551,0.9999228179786854
788.135775,0.9999153495830487
788.19604,0.9999004129591186
788.256305,0.9999241268785108
788.31657,0.9999343721536014
788.376835,0.9999260447348255
788.4371,0.9998841767080354
788.497365,0.9999304654176412
788.55763,0.9999003829621067
788.617895,0.9999233509376895
788.67816,0.9999307983945416
788.738425,0.9999111469476663
788.79869,0.9999267386837413
788.858955,0.9999026967342699
788.91922,0.9999334612138032
788.979485,0.9999220230403612
789.03975,0.9999086791700009
789.100015,0.999918943285273
789.16028,0.9999041725917395
789.220545,0.999915544566561
789.28081,0.9999298604598925
789.341075,0.999858779972487
789.40134,0.9998494113396107
789.461605,0.9999208731306959
789.52187,0.9999117438947992
789.582135,0.9998792472911953
789.6424,0.9998827568735126
789.702665,0.9999057244442195
789.76293,0.999893905628406
789.823195,0.9999078162491831
789.88346,0.9999114849176911
789.943725,0.9998812770481275
790.00399,0.9999049695156825
790.064255,0.9999059244253844
790.12452,0.9999198492122461
790.184785,0.9999203971684736
790.24505,0.9998894561104261
790.305315,0.9999289605234232
790.36558,0.9998574601597685
790.425845,0.9998690785709584
790.48611,0.9998816070090034
790.546375,0.9998564902985025
790.60664,0.9998907059730274
790.666905,0.9999044065693432
790.72717,0.999854750549723
790.787435,0.9998816170078195
790.8477,0.9998987851225714
790.907965,0.9999154085780562
790.96823,0.9998850166110966
791.028495,0.9998625294499421
791.08876,0.9998893561214854
791.149025,0.9998933456879756
791.20929,0.9998295345308894
791.269555,0.9998987451266208
791.32982,0.9998184564810193
791.390085,0.9998942855881623
791.45035,0.999882416913433
791.510615,0.9998777874685599
791.57088,0.9998517609884883
791.631145,0.9998325540206432
791.69141,0.9998571801997188
791.751675,0.9998305943507577
791.81194,0.999837733166687
791.872205,0.9998917158631504
791.93247,0.9998574801569179
791.992735,0.999842032478183
792.053,0.999826015137122
792.113265,0.9998836867649089
792.17353,0.9998449220258323
792.233795,0.9998870663774817
792.29406,0.9998095181439728
792.354325,0.999835373552421
792.41459,0.9998785673735383
792.474855,0.999797710463288
792.53512,0.9998060488109641
792.595385,0.9998834367940185
792.65565,0.9998170667343307
792.715915,0.9998172467014189
792.77618,0.9998418925003083
792.836445,0.9998747978384449
792.89671,0.999878457386902
792.956975,0.9997698264939869
793.01724,0.9998258751614897
793.077505,0.9998796972369578
793.13777,0.9998567402626564
793.198035,0.9998790873105285
793.2583,0.9998446820630799
793.318565,0.999845631915979
793.37883,0.9998493013561816
793.439095,0.9998635193143363
793.49936,0.999878577372324
793.559625,0.9998076684980752
793.61989,0.999855200484462
793.680155,0.9998389529694655
793.74042,0.9998557004121872
793.800685,0.9998320341078503
793.86095,0.999827864816961
793.921215,0.9998517409914532
793.98148,0.9998847666398737
794.041745,0.999872658108667
794.10201,0.9998180465555362
794.162275,0.999821365956961
794.22254,0.9998440221658075
794.282805,0.9998647791431643
794.34307,0.9998470616962549
794.403335,0.9998238555152618
794.4636,0.9998069486368131
794.523865,0.9997265973813095
794.58413,0.9998273449066064
794.644395,0.9997410135427841
794.70466,0.999705323425673
794.764925,0.9998062987625076
794.82519,0.9998526708540048
794.885455,0.9997779946468363
794.94572,0.999820436123523
795.005985,0.9997660673665065
795.06625,0.9998627594183503
795.126515,0.9998093981668379
795.18678,0.9998664989120635
795.247045,0.9998227457113981
795.30731,0.9998619295326044
795.367575,0.9998160769159247
795.42784,0.9998429323364173
795.488105,0.9998594298809051
795.54837,0.999862669430706
795.608635,0.9998331039286991
795.6689,0.9997887823095979
795.729165,0.9998325040290167
795.78943,0.9997795243083383
795.849695,0.9998170967288432
795.90996,0.9998569502325938
795.970225,0.9997878225128276
796.03049,0.999804429126477
796.090755,0.9997829535579879
796.15102,0.999778794469552
796.211285,0.9997806740554523
796.27155,0.9998119076915767
796.331815,0.9997959608188257
796.39208,0.999873527998258
796.452345,0.9998043491421259
796.51261,0.9998101880165744
796.572875,0.9998654190568277
796.63314,0.9997832734885842
796.693405,0.999791461747125
796.75367,0.9998263150849716
796.813935,0.9998592299090392
796.8742,0.9997928114665093
796.934465,0.9998148571410549
796.99473,0.9998326040122721
797.054995,0.9998141672690414
797.11526,0.9997660673665065
797.175525,0.9998383130727404
797.23579,0.9998662589441325
797.296055,0.999874287902428
797.35632,0.999829484539414
797.416585,0.9998105379502015
797.47685,0.999780704048873
797.537115,0.9998706483666441
797.59738,0.9997043337178927
797.657645,0.9998296345138479
797.71791,0.9997936312969509
797.778175,0.9998270549567185
797.83844,0.9998573901697487
797.898705,0.9998813970338879
797.95897,0.9998298244814965
798.019235,0.9998357534899351
798.0795,0.9997947710623402
798.139765,0.9998455219329655
798.20003,0.9998144372189031
798.260295,0.99982639507108
798.32056,0.9998915858772358
798.380825,0.999873238034977
798.44109,0.9998218058784588
798.501355,0.9998511910731469
798.56162,0.9998708883356284
798.621885,0.9998814270303303
798.68215,0.9998810170790293
798.742415,0.9998545005860666
798.80268,0.9998352835672415
798.862945,0.9998812870469403
798.92321,0.9998824769063799
798.983475,0.9998562603315362
799.04374,0.9998735379969933
799.104005,0.9998718082172688
799.16427,0.9998763876406374
799.224535,0.9998492613622103
799.2848,0.9998894561104261
799.345065,0.9998902860190191
799.40533,0.9999056304530859
799.465595,0.9998374932056598
799.52586,0.9998850466076475
799.586125,0.9998741679175207
799.64639,0.999905536461961
799.706655,0.9998598798177498
799.76692,0.9998977452283756
799.827185,0.9998733380223057
799.88745,0.9998843366895165
799.947715,0.9998936956507078
800.00798,0.9998819669664467
800.068245,0.9998759976889222
800.12851,0.9998717282275273
800.188775,0.9999115969077836
800.24904,0.9998565002970675
800.309305,0.9998907459686565
800.36957,0.9998636492966022
800.429835,0.9998965653497324
800.4901,0.9999021217903845
800.550365,0.9998611396419921
800.61063,0.9998585600035795
800.670895,0.9998586799866139
800.73116,0.9998844266791109
800.791425,0.9998849066237508
800.85169,0.9998844666744887
800.911955,0.9998791673008587
800.97222,0.9998696185004066
801.032485,0.9998989751033586
801.09275,0.9998911659228579
801.153015,0.9998806871183481
801.21328,0.999867948719538
801.273545,0.9999067413488584
801.33381,0.9999026877351457
801.394075,0.9998857365285678
801.45434,0.9999158085442995
801.514605,0.9998825069028546
801.57487,0.9998122376295607
801.635135,0.9998580900701668
801.6954,0.9998845266675586
801.755665,0.9998800871901158
801.81593,0.9998669488520892
801.876195,0.9998574901554927
801.93646,0.9998630993717463
801.996725,0.9998905059949061
802.05699,0.9998902760201163
802.117255,0.999890256022311
802.17752,0.999872318152021
802.237785,0.9998796472429742
802.29805,0.9998963653704392
802.358315,0.9998859865000331
802.41858,0.9998591599188955
802.478845,0.9998231956317348
802.53911,0.9995783589155965
802.599375,0.9992779508030707
802.65964,0.9995000150341615
802.719905,0.9995383166085912
802.78017,0.999324488260856
802.840435,0.9995950020338261
802.9007,0.9996243905588951
