nu,[0]HFE-347mcc3-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
700,1.0
700.241054,0.9995038831067045
700.482108,0.9999562959550496
700.723162,1.0
700.964216,0.9999561039634592
701.20527,0.9999139057063264
701.446324,0.9998439421782889
701.687378,0.999725937561973
701.928432,1.0
702.169486,1.0
702.41054,0.9997986002836463
702.651594,1.0
702.892648,0.9998945555596558
703.133702,0.9999570129239709
703.374756,0.999914757633337
703.61581,0.999992296129675
703.856864,0.999881117067136
704.097918,0.9999530801007729
704.338972,1.0
704.580026,0.9998547705468182
704.82108,0.9998458918758771
705.062134,0.9999458904639738
705.303188,0.9998887461891642
705.544242,0.9999981607016916
705.785296,1.0
706.02635,0.9999711984147737
706.267404,0.9998573001825877
706.508458,0.9997811339546682
706.749512,0.9999816631681218
706.990566,0.9999647186224024
707.23162,0.9999258647481536
707.472674,0.9999906116440709
707.713728,0.999913899706843
707.954782,0.9998382430840609
708.195836,1.0
708.43689,0.9997534903884884
708.677944,0.9997302064008403
708.918998,0.9999504602271351
709.160052,0.999931974313852
709.401106,0.9999144736575861
709.64216,0.9999667475528748
709.883214,0.9999172234261696
710.124268,0.999881117067136
710.365322,1.0
710.606376,0.9999273306405458
710.84743,1.0
711.088484,1.0
711.329538,0.9999771212617223
711.570592,0.9999736613468684
711.811646,0.999904291580343
712.0527,0.9998893961170605
712.293754,0.9999193282541403
712.534808,0.9999276686160407
712.775862,1.0
713.016916,0.9999866840886575
713.25797,1.0
713.499024,0.9999266256920262
713.740078,0.9999884330668974
713.981132,0.9999325322760493
714.222186,1.0
714.46324,0.9999260007380805
714.704294,0.9999665165605829
714.945348,1.0
715.186402,0.9998625894416957
715.427456,0.9999206151511438
715.66851,0.9999841561255155
715.909564,0.9999451615036853
716.150618,0.9999292855003881
716.391672,1.0
716.632726,1.0
716.87378,0.9998395228778311
717.114834,0.9999859500987008
717.355888,0.999952908108858
717.596942,0.9999889460610952
717.837996,0.9999596928123565
718.07905,1.0
718.320104,1.0
718.561158,0.9999562719560988
718.802212,0.9998566802712537
719.043266,0.9998824969040296
719.28432,0.9999874590786381
719.525374,1.0
719.766428,0.9999255457718537
720.007482,0.9999975713029493
720.248536,0.9999991711403435
720.48959,0.9999595038199924
720.730644,1.0
720.971698,0.9999985093011111
721.212752,0.999818076550078
721.453806,0.9999843501224606
721.69486,0.999934711131411
721.935914,1.0
722.176968,1.0
722.418022,0.9999836831331215
722.659076,0.9999990982204066
722.90013,0.9999554939904218
723.141184,0.999980113197745
723.382238,0.9999810711791524
723.623292,0.9998842666976154
723.864346,1.0
724.1054,1.0
724.346454,0.9999488933059916
724.587508,0.9999714464076616
724.828562,0.999904144594423
725.069616,0.9999998697900084
725.31067,1.0
725.551724,0.9999114329222952
725.792778,0.9999753813030451
726.033832,1.0
726.274886,1.0
726.51594,0.999981015180214
726.756994,0.9999963158067866
726.998048,0.9999977056026321
727.239102,1.0
727.480156,0.9999873490800235
727.72121,1.0
727.962264,1.0
728.203318,0.9999520231509258
728.444372,0.9999030407008567
728.685426,1.0
728.92648,0.9999932889225194
729.167534,0.9999986213009504
729.408588,1.0
729.649642,0.999922990965348
729.890696,0.9999628376905357
730.13175,0.9999814911712905
730.372804,0.9999808281837816
730.613858,1.0
730.854912,0.9999770492633722
731.095966,0.9999390758559511
