nu,[0]CFC-13-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
600,0.9953201846200562
600.119202,0.9952823631716528
600.238404,0.995475665775656
600.357606,0.9954715843337933
600.476808,0.9956040904197525
600.59601,0.995497168282263
600.715212,0.9954713852394964
600.834414,0.9955317126333434
600.953616,0.9957126171802093
601.072818,0.9958404748885444
601.19202,0.9959216391946484
601.311222,0.9959676518372631
601.430424,0.9960852825629026
601.549626,0.9961489344461144
601.668828,0.996243871963268
601.78803,0.9962252423770495
601.907232,0.9962880065443698
602.026434,0.9964491193406465
602.145636,0.9965183749610456
602.264838,0.9965082105254597
602.38404,0.9966018866999603
602.503242,0.9965798620416376
602.622444,0.9965596316757771
602.741646,0.9967145090762018
602.860848,0.9967264697220745
602.98005,0.9968928372528554
603.099252,0.9968035196561256
603.218454,0.9968308324467476
603.337656,0.9970188524714781
603.456858,0.996972791264516
603.57606,0.9970979192014335
603.695262,0.9971908530581536
603.814464,0.9972219658981267
603.933666,0.9972103981904151
604.052868,0.9972258550713776
604.17207,0.997318501656681
604.291272,0.9974460668506632
604.410474,0.9973529097385242
604.529676,0.9972834963916188
604.648878,0.9974083641019227
604.76808,0.9974359926962626
604.887282,0.9975873152138773
605.006484,0.9975699573456065
605.125686,0.9976457755434198
605.244888,0.9977176086252189
605.36409,0.9975915050894
605.483292,0.9977207015545996
605.602494,0.9977112232529568
605.721696,0.9977878504173481
605.840898,0.997878653243202
605.9601,0.9977981276851353
606.079302,0.9978968147999607
606.198504,0.9978906278588885
606.317706,0.9978866363043601
606.436908,0.9979039996828928
606.55611,0.9979850327775662
606.675312,0.9979267521534628
606.794514,0.9980391250322296
606.913716,0.9980480076199698
607.032918,0.9979939148838832
607.15212,0.9980470095724613
607.271322,0.9981604939689153
607.390524,0.9981686789185241
607.509726,0.9981027021494039
607.628928,0.9981785608373608
607.74813,0.9982262749129261
607.867332,0.9983242057139223
607.986534,0.998178760473093
608.105736,0.9982937572899889
608.224938,0.9982374551098142
608.34414,0.9982216830826228
608.463342,0.9982674026826788
608.582544,0.99831352370207
608.701746,0.9982099041362583
608.820948,0.9983283986843916
608.94015,0.9982638089264979
609.059352,0.9984357247559231
609.178554,0.9983626419357349
609.297756,0.9983488646263399
609.416958,0.9983762197599942
609.53616,0.9984138592529791
609.655362,0.9984137594115982
609.774564,0.9984336280431028
609.893766,0.9983525585239726
610.012968,0.9984567919719739
610.13217,0.9983784161900937
610.251372,0.9983844064785617
610.370574,0.9985142048881178
610.489776,0.9984161556074962
610.608978,0.9983991826771212
610.72818,0.9985305806553588
610.847382,0.9984041746855146
610.966584,0.9984429135190209
611.085786,0.9983767189482289
611.204988,0.998406271336483
611.32419,0.9983422755455773
611.443392,0.998453497069997
611.562594,0.9984589885793325
611.681796,0.9983533572063389
611.800998,0.9984438121180474
611.9202,0.9983242057139223
612.039402,0.9982600155312314
612.158604,0.9983555535861408
612.277806,0.9982727933412081
612.397008,0.9983579496423447
612.51621,0.9983502623157287
612.635412,0.9983778171632237
612.754614,0.9984882438562855
612.873816,0.9982377545810956
612.993018,0.9984318308641897
613.11222,0.9983666353942895
613.231422,0.9983668350676366
613.350624,0.998298748771254
613.469826,0.9982916608752999
613.589028,0.9984136595702272
613.70823,0.9981934338087206
613.827432,0.9982744904063993
613.946634,0.9982806797274266
614.065836,0.9982178898474342
614.185038,0.9982053123812603
614.30424,0.9981188715441504
614.423442,0.9982326635815293
614.542644,0.9981918367005043
614.661846,0.9981464200051721
614.781048,0.9982011199277525
614.90025,0.9980960148837018
615.019452,0.9981763648469426
615.138654,0.998044714066979
615.257856,0.9980593854321101
615.377058,0.9980467101584033
615.49626,0.9979146773128147
615.615462,0.9980450134804382
615.734664,0.9978918253283604
615.853866,0.9980261506079381
615.973068,0.9979819390287599
616.09227,0.9979637759227543
616.211472,0.997966670021901
616.330674,0.9978601926588779
616.449876,0.9979185691876453
616.569078,0.9978007219636398
616.68828,0.9978887318684968
616.807482,0.9977958327520807
616.926684,0.9976783990936722
617.045886,0.9977963316501218
617.165088,0.9976503647245424
617.28429,0.9977527289031557
617.403492,0.9976613389389124
617.522694,0.9977292819895288
617.641896,0.9975994858533637
617.761098,0.9975798333370703
617.8803,0.9975844222148581
617.999502,0.9974543456873751
618.118704,0.9976129535373294
618.237906,0.9973552036528546
618.357108,0.997476389672
618.47631,0.9974179392681788
618.595512,0.9973773451841458
618.714714,0.9974105584027374
618.833916,0.9972866877039135
618.953118,0.9974326014196525
619.07232,0.9972308412131183
619.191522,0.9974147475358799
619.310724,0.9972474951072262
619.429926,0.9972218661759351
