nu,[0]1-Penten-3-ol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.9842237692585843
550.135003,0.9936709135794272
550.270005,0.9954128532429019
550.405008,0.9940189580723964
550.540011,0.9893362650914479
550.675014,0.9866568201101782
550.810016,0.9958250394808084
550.945019,0.9969847550097936
551.080022,0.976227134372603
551.215024,0.9687787706694677
551.350027,0.9993461938244625
551.48503,0.9758162292506294
551.620032,0.988130998943267
551.755035,0.9905847040931102
551.890038,0.9983764194352581
552.025041,0.9758699006191873
552.160043,0.9930549292515958
552.295046,0.9901996396215428
552.430049,0.967905326200999
552.565051,0.9964626711408215
552.700054,0.9654605863076456
552.835057,0.9930587028674968
552.970059,1.0
553.105062,0.9740019239826726
553.240065,0.9788723824046646
553.375068,0.9802761120607371
553.51007,0.99774135458688
553.645073,0.9999608797652163
553.780076,0.9807585265721095
553.915078,0.9779741898910581
554.050081,0.999857550146944
554.185084,0.9613997341943537
554.320086,1.0
554.455089,0.9984385203798664
554.590092,1.0
554.725095,0.988235746380671
554.860097,0.9897766177006023
554.9951,0.9886983489505351
555.130103,0.9964076679194774
555.265105,0.9808958423777117
555.400108,0.9999973918034013
555.535111,0.9843851951933076
555.670113,0.9961282147637635
555.805116,0.9817761006851534
555.940119,0.9997607586227836
556.075122,0.9986526085480674
556.210124,0.9763892015281106
556.345127,0.975679624541087
556.48013,0.991444508311518
556.615132,0.9907321140641091
556.750135,0.9832597024346121
556.885138,0.9920567159449442
557.02014,0.9985861004990807
557.155143,0.9983675339246657
557.290146,0.9828664772039274
557.425149,0.9928573309823545
557.560151,1.0
557.695154,0.9999911488391717
557.830157,0.9843911015221977
557.965159,0.9896499344014408
558.100162,0.9906902069820253
558.235165,0.9986677881830822
558.370167,0.9847396376593931
558.50517,0.9864289287072032
558.640173,0.9824046385002386
558.775176,0.9870969671974518
558.910178,0.9931556301268699
559.045181,0.9921504697343977
559.180184,0.9724428220745212
559.315186,0.9879659948446691
559.450189,0.9995886146421709
559.585192,0.9783674145482549
559.720194,0.9901176544856136
559.855197,0.985793872987006
559.9902,0.9734799988398517
560.125203,0.9811322667637189
560.260205,0.9990086417206268
560.395208,0.9963455936553994
560.530211,0.9747336741653848
560.665213,0.9976864803214338
560.800216,1.0
560.935219,0.9820205933723003
561.070221,0.9909321630722064
561.205224,0.9776045855069088
561.340227,0.9852035592736944
561.47523,0.9963688087781868
561.610232,0.9942083367216528
561.745235,0.9975660668303594
561.880238,0.9790936325634142
562.01524,0.9906061009538039
562.150243,0.9969833592321136
562.285246,0.9940136897858796
562.420248,0.9963415086468398
562.555251,0.9780367822421451
562.690254,0.9783155624493766
562.825257,0.9984864465790642
562.960259,0.998090325752631
563.095262,0.9937848941698766
563.230265,0.9937781364555724
563.365267,0.977654444612166
563.50027,0.9919196231801287
563.635273,0.9888624864995005
563.770275,0.9971277328749298
563.905278,0.9948087215024434
564.040281,0.9921887674816712
564.175284,0.9924640388241406
564.310286,0.9944774059009878
564.445289,0.9764692687253461
564.580292,0.9941142890615233
564.715294,0.9843773201432462
564.850297,0.9794931842685053
564.9853,0.9910623801135064
565.120302,0.9777248382663193
565.255305,0.9943523085121161
565.390308,0.9939422227708539
565.525311,0.9999603757850599
565.660313,0.98434188319759
565.795316,0.995820757442345
565.930319,0.9818242088927284
566.065321,0.9700836248646602
566.200324,0.9913101766818152
566.335327,0.9915728095318034
566.470329,1.0
566.605332,0.9919982855251677
