nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
600,0.9728620352647883
600.128003,0.971296016292952
600.256005,0.97262760376442
600.384008,0.973118904747378
600.51201,0.9760543574610268
600.640013,0.9752533456938746
600.768015,0.9730877654406577
600.896018,0.974555314223445
601.02402,0.9760777830467118
601.152023,0.9739629646849044
601.280026,0.973803247855834
601.408028,0.9731549108129618
601.536031,0.9746479013761163
601.664033,0.9736659512775226
601.792036,0.9735578803549779
601.920038,0.9738957635588067
602.048041,0.9746537492810683
602.176044,0.9775498411829758
602.304046,0.9728182574582095
602.432049,0.9764887983060158
602.560051,0.97498323792877
602.688054,0.9748867193659627
602.816056,0.9746761665750997
602.944059,0.972506032912286
603.072061,0.9768150000373066
603.200064,0.9745874750794656
603.328067,0.9749588636525014
603.456069,0.9744101162991398
603.584072,0.9755235282891936
603.712074,0.9754620722427972
603.840077,0.9766167267177218
603.968079,0.9750368634815452
604.096082,0.9740360146465951
604.224084,0.9744120651213212
604.352087,0.9745621361345213
604.48009,0.973754558910675
604.608092,0.975892345885021
604.736095,0.9752406674827891
604.864097,0.9751255958733847
604.9921,0.9750193129759576
605.120102,0.9744042698559813
605.248105,0.9764604805414745
605.376108,0.974589424256365
605.50411,0.9752221380861368
605.632113,0.9761041375026376
605.760115,0.9761178030562212
605.888118,0.9770221067698525
606.01612,0.9749656883884336
606.144123,0.9772439159624802
606.272125,0.975160701026725
606.400128,0.9768130464092601
606.528131,0.9758747799808888
606.656133,0.9764927042690209
606.784136,0.9779018224786334
606.912138,0.9744617614038867
607.040141,0.9770494637718383
607.168143,0.9755566966530145
607.296146,0.9770025665231202
607.424148,0.9762964489597822
607.552151,0.9760992569941513
607.680154,0.9768667726042695
607.808156,0.9764702451951031
607.936159,0.9758289149440664
608.064161,0.9767993711223377
608.192164,0.9776124063748763
608.320166,0.9768482123119133
608.448169,0.9741256300821894
608.576172,0.9760075079762652
608.704174,0.9749432644354771
608.832177,0.9770504408217906
608.960179,0.9759411417222011
609.088182,0.9775684148064071
609.216184,0.9769361326073753
609.344187,0.9753596541022582
609.472189,0.9764555982512775
609.600192,0.975497189509505
609.728195,0.9760631419897743
609.856197,0.9766489556014772
609.9842,0.9764702451951031
610.112202,0.9765014927429074
610.240205,0.9763345252637747
610.368207,0.97711004271652
610.49621,0.9757693911957477
610.624212,0.9768101159745166
610.752215,0.9761060897128647
610.880218,0.9779781017956415
611.00822,0.9762798520612239
611.136223,0.9771325165059501
611.264225,0.9779761458413939
611.392228,0.9748623475026281
611.52023,0.9765053987566904
611.648233,0.9767192768578153
611.776236,0.9761822289572543
611.904238,0.9766118436462959
612.032241,0.9761324449330809
612.160243,0.9755323080404571
612.288246,0.9752787026105011
612.416248,0.975497189509505
612.544251,0.9767007193678517
612.672253,0.9765639908383607
612.800256,0.9771657395763003
612.928259,0.9767192768578153
613.056261,0.9768784950758754
613.184264,0.9765346943580849
613.312266,0.9752611477518484
613.440269,0.9770572801988141
613.568271,0.9763765085509952
613.696274,0.9774784826491876
613.824276,0.9764751275585349
613.952279,0.9768306292023402
614.080282,0.9767993711223377
614.208284,0.9759938439668019
614.336287,0.9774022423009532
614.464289,0.97535380196189
614.592292,0.9772028725799268
614.720294,0.9757986647165842
614.848297,0.9765210229680639
614.9763,0.9776593328966098
615.104302,0.9759528530861699
615.232305,0.9778177265380776
615.360307,0.9763892015281106
615.48831,0.977637824627878
615.616312,0.9762173721500704
615.744315,0.977421790541281
615.872317,0.9772712791752103
616.00032,0.9754367105586222
616.128323,0.975115844666182
616.256325,0.9768120695967022
616.384328,0.9775136725079766
616.51233,0.9747512195294277
616.640333,0.9767309975594617
616.768335,0.9757069439530442
616.896338,0.975566452268759
617.02434,0.9768560271288711
617.152343,0.9763931070927278
617.280346,0.9764780569883117
617.408348,0.9760934004161791
617.536351,0.9765132108311287
617.664353,0.9774120163722465
617.792356,0.9769302710081645
617.920358,0.9771188367464776
618.048361,0.976443880854403
618.176364,0.9778059927957617
618.304366,0.9768179304867024
618.432369,0.976360886651834
618.560371,0.978070036058053
