nu,[0]Chloroethane-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
590,1.0002093919194281
590.119202,0.9983476666084211
590.238404,0.9997071628851604
590.357606,1.000307587295274
590.476808,0.9995530798985541
590.59601,1.000068291331747
590.715212,0.9995193655417649
590.834414,0.9993861684717031
590.953616,0.9986586004816944
591.072818,0.9996262398657282
591.19202,0.9990260246222236
591.311222,0.9994380879317515
591.430424,0.999394773223657
591.549626,1.0003160699395808
591.668828,0.9998486114604016
591.78803,0.9987186216672019
591.907232,0.9991528490351642
592.026434,0.9992902819690668
592.145636,0.9996417641817793
592.264838,0.9993630529369585
592.38404,0.9994460834684371
592.503242,0.9985481549482317
592.622444,0.9982029166913855
592.741646,0.9989684324320149
592.860848,0.9994892704667521
592.98005,0.9987056384095117
593.099252,0.9990254551775518
593.218454,0.9989508507423234
593.337656,0.9989205829901047
593.456858,1.0000216222337572
593.57606,0.9981832522876216
593.695262,0.9989154885081224
593.814464,0.9987214180832575
593.933666,0.9998434222595741
594.052868,0.9987443889400374
594.17207,0.9984762620692501
594.291272,0.9997391840184033
594.410474,0.9992880135827014
594.529676,0.9984399181947734
594.648878,0.9994457736401992
594.76808,0.999205595706301
594.887282,0.9986989471041502
595.006484,0.9987560743177473
595.125686,0.9998771575457522
595.244888,0.9989542471809899
595.36409,0.9987801446291844
595.483292,0.9996154239683269
595.602494,0.99854326207426
595.721696,0.9995900140672109
595.840898,0.9988537574384423
595.9601,0.9978200794854133
596.079302,0.9971521628036507
596.198504,0.9989608403007786
596.317706,0.9991708739151448
596.436908,0.9990103700070719
596.55611,0.9992300765432848
596.675312,0.9987923298212784
596.794514,0.9994889906097956
596.913716,0.9990060742717167
597.032918,0.9991517000100486
597.15212,0.9987091338853631
597.271322,0.99898941098937
597.390524,0.9981825535595896
597.509726,0.9978617892364635
597.628928,0.9988260895725629
597.74813,0.9991070888825939
597.867332,0.9981737695917678
597.986534,0.999337859311961
598.105736,0.997988425932446
598.224938,0.9981364385908791
598.34414,0.9991953838772953
598.463342,0.9991899282853932
598.582544,0.9989636373950473
598.701746,0.9981909383282555
598.820948,0.9991282202209869
598.94015,0.999030360404579
599.059352,0.998883423835582
599.178554,0.9984204488061957
599.297756,0.9984070700618195
599.416958,0.9978049127354727
599.53616,0.9978053118575176
599.655362,0.9990900942155521
599.774564,0.9992748830244708
599.893766,0.9987498820492825
600.012968,0.9983219095708898
600.13217,0.9972436058495794
600.251372,0.9980670705189655
600.370574,0.9982903630969843
600.489776,0.9984117625860762
600.608978,0.9991010642850121
600.72818,0.9991548973006042
600.847382,0.99843013353152
600.966584,0.9981502129687747
601.085786,0.9978019193252246
601.204988,0.9983796142449121
601.32419,0.9981112858695522
601.443392,0.9982722942049361
601.562594,0.9988220942761953
601.681796,0.9986275426821707
601.800998,0.9978694728018223
601.9202,0.9982963528571321
602.039402,0.9984466077646353
602.158604,0.9980146733732004
602.277806,0.9984681744442823
602.397008,0.9992665391140334
602.51621,0.9984228450181483
602.635412,0.9985609364464165
602.754614,0.998535972735053
602.873816,0.9982753888538449
602.993018,0.9985737181082055
603.11222,0.9985264866883709
