nu,[0]Brominenitrate-HITRAN(x-sec)-X=0.01-T=204.0K-P=0.0atm-L=15cm
1257.654864,1.0
1257.774066,1.0
1257.893268,1.0
1258.01247,1.0
1258.131672,1.0
1258.250874,1.0
1258.370076,1.0
1258.489278,1.0
1258.60848,1.0
1258.727682,1.0
1258.846884,1.0
1258.966086,1.0
1259.085288,1.0
1259.20449,1.0
1259.323692,1.0
1259.442894,1.0
1259.562096,1.0
1259.681298,1.0
1259.8005,1.0
1259.919702,1.0
1260.038904,0.9999993019702437
1260.158106,1.0
1260.277308,0.9999988054007135
1260.39651,0.9999977156026092
1260.515712,0.9999995602200967
1260.634914,1.0
1260.754116,1.0
1260.873318,1.0
1260.99252,1.0
1261.111722,1.0
1261.230924,1.0
1261.350126,1.0
1261.469328,1.0
1261.58853,1.0
1261.707732,1.0
1261.826934,0.9999989807005195
1261.946136,0.9999993242302283
1262.065338,1.0
1262.18454,0.9999999844100002
1262.303742,0.9999990155104846
1262.422944,0.9999979808020386
1262.542146,0.999999590170084
1262.661348,0.9999976910026658
1262.78055,0.999996802505112
1262.899752,0.9999950522122404
1263.018954,0.9999952185114314
1263.138156,0.9999947543137586
1263.257358,0.999992464228394
1263.37656,0.9999982002016197
1263.495762,0.9999932438228231
1263.614964,0.9999894260559046
1263.734166,0.9999971573040405
1263.853368,0.9999917863337323
1263.97257,0.9999953536107945
1264.091772,0.9999956797093325
1264.210974,0.9999981891016396
1264.330176,0.9999977785024675
1264.449378,0.9999882000696197
1264.56858,0.9999917814337727
1264.687782,0.9999873760796824
1264.806984,0.9999839611286241
1264.926186,0.9999933833218904
1265.045388,0.9999843871218822
1265.16459,0.9999835061360253
1265.283792,0.9999801061978844
1265.402994,0.9999868560863819
1265.522196,0.9999884020672566
1265.641398,0.9999904438456604
1265.7606,0.9999805291895587
1265.879802,0.9999899180508232
1265.999004,0.9999826301508575
1266.118206,0.9999803551929618
1266.237408,0.9999746643209537
1266.35661,0.9999777042485539
1266.475812,0.9999832801397784
1266.595014,0.9999810521795122
1266.714216,0.99997602228747
1266.833418,0.9999846671175499
1266.95262,0.9999802591948522
1267.071822,0.9999726173749109
1267.191024,0.9999711304167345
1267.310226,0.999978565229728
1267.429428,0.9999774842534832
1267.54863,0.9999770472634181
1267.667832,0.999974884315404
1267.787034,0.999971796397729
1267.906236,0.9999713304109805
1268.025438,0.9999680425106514
1268.14464,0.9999659935782315
1268.263842,0.9999665415597461
1268.383044,0.9999476433706561
1268.502246,0.9999644826307567
1268.621448,0.9999591598339823
1268.74065,0.9999689454822015
1268.859852,0.9999548970171701
1268.979054,0.9999612257517406
1269.098256,0.9999612777497257
1269.217458,0.999958410864852
1269.33666,0.9999420676781418
1269.455862,0.9999457744702572
1269.575064,0.9999542820450975
1269.694266,0.9999527111181544
1269.813468,0.9999544250385701
1269.93267,0.9999577118941672
1270.051872,0.999937960924503
1270.171074,0.9999408327504508
1270.290276,0.9999413477201122
1270.409478,0.9999428016358888
1270.52868,0.9999328312559211
1270.647882,0.9999377919350019
1270.767084,0.9999303864231375
1270.886286,0.9999251168038865
1271.005488,0.9999367889978996
1271.12469,0.999934748128996
1271.243892,0.9999290815148346
1271.363094,0.9999197312217107
1271.482296,0.9999144726576717
1271.601498,0.9999075382748488
1271.7207,0.9999120198704786
1271.839902,0.9999198062156934
1271.959104,0.9999159265343719
1272.078306,0.9999101030409738
1272.197508,0.9998968453208098
1272.31671,0.9998801771793276
1272.435912,0.9998825269005049
1272.555114,0.9998933356890422
1272.674316,0.9998838767428274
1272.793518,0.9998668288680626
1272.91272,0.9998841967057192
1273.031922,0.999856630278421
1273.151124,0.9998373332316737
1273.270326,0.999855960374703
1273.389528,0.9998683486667974
1273.50873,0.9998449120273831
1273.627932,0.9998413425874187
1273.747134,0.9998291845906137
1273.866336,0.9998041891734428
1273.985538,0.9998115977499333
1274.10474,0.999819566280122
