nu,[0]DL-Limonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
580,0.9941483877664276
580.119602,0.9912872776812184
580.239204,0.9936509409947893
580.358806,0.9941159790572512
580.478408,0.99680491518203
580.59801,0.9962482554459483
580.717612,0.9923270882365908
580.837214,0.9918020876688985
580.956816,0.9972243592337169
581.076418,0.9939799932929546
581.19602,0.9936105002244661
581.315622,0.9940132921804832
581.435224,0.9979767495361697
581.554826,0.9990396114685487
581.674428,0.998414657984386
581.79403,0.9996853895002658
581.913632,0.9962693761328423
582.033234,0.9953144117797267
582.152836,0.9936843282273091
582.272438,0.9959563974663846
582.39204,0.9972567695520569
582.511642,0.9941594228747765
582.631244,0.9932861393509369
582.750846,0.9970993151394976
582.870448,0.9950798438177905
582.99005,0.9928218866083244
583.109652,0.9960349815262451
583.229254,0.9980429175881106
583.348856,0.9963682109570808
583.468458,0.9930519500912768
583.58806,0.9983023426532186
583.707662,0.9944500581483587
583.827264,0.9975408287281319
583.946866,0.9926685074756865
584.066468,0.9990781751418255
584.18607,0.9979910207057267
584.305672,0.9939936109121431
584.425274,0.9940557374542593
584.544876,0.993955342894787
584.664478,0.997916972519212
584.78408,0.9956918070039773
584.903682,0.9939162812173783
585.023284,0.9935644971232857
585.142886,0.9923464388034788
585.262488,0.9928455160504148
585.38209,0.9955995106514701
585.501692,0.9960049017240103
585.621294,0.9990226379297406
585.740896,0.9941129967137876
585.860498,0.9960017145134243
585.9801,0.9971003122393113
586.099702,0.9965733842935871
586.219304,0.9962449678321299
586.338906,0.9960640661723394
586.458508,0.996799931169914
586.57811,0.99574796560555
586.697712,1.0
586.817314,0.9959105845258068
586.936916,0.9965828517857084
587.056518,0.9955852736802624
587.17612,0.9942238464926815
587.295722,0.9960723335383982
587.415324,0.9967314533668822
587.534926,0.9971421913318801
587.654528,0.9953343182670266
587.77413,0.99618937891387
587.893732,0.9974670134380055
588.013334,0.9961145679007024
588.132936,0.9894955610531084
588.252538,0.9968126902906913
588.37214,0.9969794710045946
588.491742,0.998025352187337
588.611344,0.9927170501525607
588.730946,0.9952102078159861
588.850548,0.9948876129620635
588.97015,0.9970450744121152
589.089752,0.994625096761539
589.209354,0.9953335219998904
589.328956,0.9981202689115487
589.448558,0.9963833558689884
589.56816,0.9965701952638598
589.687762,0.9940207473081312
589.807364,0.9923010896074625
589.926966,0.9970519540468633
590.046568,0.9965155847135021
590.16617,0.9943685165868403
590.285772,0.9987775478041843
590.405374,0.9936138785059099
590.524976,0.9953485516495462
590.644578,0.9891690813900681
590.76418,0.9958561097067332
590.883782,0.9964983451430092
591.003384,0.996424009139229
591.122986,0.9924473655683441
591.242588,0.99349395654821
591.36219,0.9926594742333698
591.481792,0.9954447069638624
591.601394,0.994827623047716
591.720996,0.9951122839494703
591.840598,0.9957449783661341
591.9602,0.992631779420383
592.079802,0.9947745006710254
592.199404,0.9936497486143755
592.319006,0.9954535664611791
592.438608,0.9950372553118756
592.55821,0.9931684419171345
592.677812,0.9944491631437092
592.797414,0.994286683425406
592.917016,0.9920239786134869
593.036618,0.9922798545913604
593.15622,0.9944745219206924
593.275822,0.9911948940120843
593.395424,0.9925072119488382
593.515026,0.9977722850482919
593.634628,0.9965415941096842
593.75423,0.9921144553260118
593.873832,0.9925550519493889
593.993434,0.9925902882791742
594.113036,0.9920258634608369
594.232638,0.9944089882090573
594.35224,0.9916100933703735
594.471842,0.9939741288282943
594.591444,0.9927543770153872
594.711046,0.9897399966432412
594.830648,0.9903228281188774
594.95025,0.9930813448640399
595.069852,0.9966567013111168
595.189454,0.9944890413547041
595.309056,0.9924299978914143
595.428658,0.9938814947563023
595.54826,0.990440881635839
595.667862,0.9923408816789815
595.787464,0.9925375831342005
595.907066,0.9935141246802338
596.026668,0.9934766699037603
596.14627,0.9941979970087175
596.265872,0.9913058149266337
596.385474,0.9944586104556337
596.505076,0.9902931188796746
596.624678,0.9930228540953975
596.74428,0.9917975253897885
596.863882,0.9944091870908749
596.983484,0.9955099107275686
597.103086,0.9932313114693081
597.222688,0.9924416093903168
597.34229,0.9904303830181364
597.461892,0.9892798745314839
597.581494,0.9940136897858796
597.701096,0.9939814842640627
597.820698,0.9918092286696373
597.9403,0.9929623808450122
598.059902,0.9897954236349945
598.179504,0.9926748605744642
598.299106,0.9928045123773337
598.418708,0.992194422973764
598.53831,0.9920018567254237
598.657912,0.9938766247489096
598.777514,0.9912467348606675
598.897116,0.9924533202704017
599.016718,0.9932746172985484
599.13632,0.9914536296429525
599.255922,0.99187111949648
599.375524,0.9925303376362897
599.495126,0.9944193301163126
599.614728,0.9925974349549778
599.73433,0.9928038174144183
599.853932,0.9909829000978125
599.973534,0.9902446947301415
600.093136,0.9926636434119168
600.212738,0.9926984865172934
600.33234,0.9915497061544967
600.451942,0.9941312885612116
600.571544,0.9927612270442211
600.691146,0.9926748605744642
600.810748,0.9911198633985522
600.93035,0.9918109147467592
601.049952,0.9903124297837734
601.169554,0.9936042404980329
601.289156,0.9950894961390893
601.408758,0.9921756706763796
601.52836,0.9907847233361298
601.647962,0.9918154770874604
601.767564,0.9926345587932566
601.887166,0.9910960768072709
602.006768,0.9929856164365793
602.12637,0.9927663894160239
602.245972,0.9939733336493093
602.365574,0.9919432311480941
602.485176,0.9935321074486341
602.604778,0.9925067156953562
602.72438,0.9909592158895276
602.843982,0.9944191312324664
602.963584,0.9937490191827445
603.083186,0.9938713572167573
603.202788,0.9923197450433077
603.32239,0.9894579609361951
603.441992,0.9940773086978093
603.561594,0.9915019146104456
603.681196,0.9949309910076232
603.800798,0.9944549309655821
603.9204,0.9931068673825659
604.040002,0.9918373964517121
604.159604,0.9929248475763995
604.279206,0.9949542726652071
604.398808,0.9908046383092136
604.51841,0.9945212633216369
604.638012,0.9946199247244831
604.757614,0.9966161382088382
604.877216,0.9936285841001329
604.996818,0.9933345135638257
605.11642,0.9952402636181025
605.236022,0.995900625469757
605.355624,0.9961204449939904
605.475226,0.9951633345190728
605.594828,0.9973800381066132
605.71443,0.9964948574049047
605.834032,0.9970942299459576
605.953634,0.9978462227139706
606.073236,0.9939645867224598
606.192838,0.9963146077892695
606.31244,0.9971499690713056
606.432042,0.9950881030147698
606.551644,0.9966896911939097
606.671246,0.9950926804305718
606.790848,0.9941505748952866
606.91045,0.9955235493067696
607.030052,0.9948629400552074
607.149654,0.9968382090222011
607.269256,0.9974367906453759
607.388858,0.9973811352252585
607.50846,0.9952683297892676
607.628062,0.9950198423122718
607.747664,0.9951791577418859
607.867266,0.9964813051669995
607.986868,0.9967961433373725
608.10647,0.9975999846532313
608.226072,0.9957521477557881
608.345674,0.9952779839388891
608.465276,0.9948113080084817
608.584878,0.9965648137993353
608.70448,0.9974205325581922
608.824082,0.9980118789360272
608.943684,0.9974686093865037
609.063286,0.998140031888526
609.182888,0.995713513321968
609.30249,0.9940947052029304
609.422092,0.9949122864808153
609.541694,0.995906999254156
609.661296,0.9978417324160715
609.780898,0.9993468134192948
609.9005,0.9977420530060725
610.020102,0.9962549303316206
610.139704,0.9987248137418516
610.259306,0.9958338027797143
610.378908,0.996031096997392
610.49851,0.9988647448902049
610.618112,0.9993325328553658
610.737714,0.9983995820368742
610.857316,0.9977836597171769
610.976918,0.9972808037298138
611.09652,0.995176172208891
611.216122,0.9958973390031156
611.335724,0.9997111717189212
611.455326,0.9984045740472643
611.574928,0.9995949520540772
611.69453,0.9995399658481742
611.814132,0.9990685940280675
611.933734,0.9974132514148807
612.053336,0.9990875465390602
612.172938,0.997706733562554
612.29254,0.9995879149303855
612.412142,0.999989566054434
612.531744,0.9999995680900933
612.651346,0.9965463775208161
612.770948,0.9992172565036435
612.89055,0.9987605687301941
613.010152,0.998691157282743
613.129754,0.9990294013358934
613.249356,0.9976324071795958
613.368958,0.9995294607383376
613.48856,0.9975290578158015
613.608162,0.9981004065158289
613.727764,0.9989272757804315
613.847366,0.9998899460563796
613.966968,0.999650780991158
614.08657,1.0
614.206172,0.9993800122718665
614.325774,0.998904999950558
614.445376,0.9995161470945896
614.564978,1.0
614.68458,0.999889806071797
614.804182,1.0
614.923784,0.9996283990607383
615.043386,1.0
615.162988,1.0
615.28259,0.9996334971785736
615.402192,0.9998840067277398
615.521794,1.0
615.641396,1.0
615.760998,0.9999391228530887
615.8806,1.0
616.000202,0.9995435941848356
616.119804,0.9985944886575551
616.239406,0.9980714620237371
616.359008,1.0
616.47861,1.0
616.598212,0.9999625607008681
616.717814,1.0
616.837416,1.0
616.957018,0.9989528486460227
617.07662,1.0
617.196222,1.0
617.315824,0.9997329356680292
617.435426,0.9998487414407295
617.555028,1.0
617.67463,1.0
617.794232,0.9986837669955233
617.913834,0.9989605406125714
618.033436,1.0
618.153038,1.0
618.27264,0.9994524299712172
618.392242,1.0
618.511844,1.0
618.631446,0.9997162802560611
618.751048,0.9996697445463422
618.87065,1.0
618.990252,1.0
619.109854,1.0
619.229456,1.0
619.349058,1.0
619.46866,1.0
619.588262,0.9999357030671364
619.707864,1.0
619.827466,1.0
619.947068,1.0
620.06667,1.0
620.186272,1.0
620.305874,1.0
620.425476,1.0
620.545078,0.9999741603338499
620.66468,1.0
620.784282,1.0
620.903884,1.0
621.023486,1.0
621.143088,1.0
621.26269,1.0
621.382292,1.0
621.501894,1.0
621.621496,1.0
621.741098,1.0
621.8607,1.0
621.980302,0.999988888061738
622.099904,1.0
622.219506,1.0
622.339108,1.0
622.45871,1.0
622.578312,1.0
622.697914,1.0
622.817516,1.0
622.937118,1.0
623.05672,0.99966824504285
623.176322,0.999133945242091
623.295924,1.0
623.415526,1.0
623.535128,1.0
623.65473,1.0
623.774332,1.0
623.893934,0.9992902020258474
624.013536,1.0
624.133138,1.0
624.25274,1.0
624.372342,1.0
624.491944,1.0
624.611546,1.0
624.731148,1.0
624.85075,0.9999288555308877
624.970352,1.0
625.089954,1.0
625.209556,1.0
625.329158,1.0
625.44876,0.9999322552947761
625.568362,1.0
625.687964,1.0
625.807566,1.0
625.927168,1.0
626.04677,1.0
626.166372,1.0
626.285974,1.0
626.405576,1.0
626.525178,1.0
626.64478,1.0
626.764382,1.0
626.883984,1.0
627.003586,1.0
627.123188,1.0
627.24279,0.9982560224991553
627.362392,1.0
627.481994,1.0
627.601596,1.0
627.721198,1.0
627.8408,1.0
627.960402,1.0
628.080004,1.0
628.199606,1.0
628.319208,1.0
628.43881,1.0
628.558412,1.0
628.678014,1.0
628.797616,1.0
628.917218,1.0
629.03682,0.9995850960964399
629.156422,1.0
629.276024,1.0
629.395626,1.0
629.515228,1.0
629.63483,1.0
629.754432,1.0
629.874034,0.9988039158795033
629.993636,1.0
630.113238,1.0
630.23284,1.0
630.352442,1.0
630.472044,1.0
630.591646,1.0
630.711248,1.0
630.83085,1.0
630.950452,1.0
631.070054,1.0
631.189656,1.0
631.309258,1.0
631.42886,1.0
631.548462,1.0
631.668064,0.9995321794621682
631.787666,1.0
631.907268,1.0
632.02687,1.0
632.146472,1.0
632.266074,1.0
632.385676,0.9998981151906098
