nu,[0]Cyanogen-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
575,0.9996111856079147
575.119202,0.9994401867539399
575.238404,0.9996554193815429
575.357606,0.9994305422026728
575.476808,0.9996543097646432
575.59601,0.9995649646553288
575.715212,0.9994794555303076
575.834414,0.9997210389168807
575.953616,0.9994979960461704
576.072818,0.9995048226407962
576.19202,0.9996544497162564
576.311222,0.9994836833373463
576.430424,0.9995587773673473
576.549626,0.9995103499177482
576.668828,0.9994674118754315
576.78803,0.9996591081168461
576.907232,0.9996247904087313
577.026434,0.9996373657676935
577.145636,0.9994421856363123
577.264838,0.999739074047099
577.38404,0.999462104717565
577.503242,0.9995364874551455
577.622444,0.9995088306631711
577.741646,0.9995994602374769
577.860848,0.999689768131861
577.98005,0.9994988556148166
578.099252,0.999642943759757
578.218454,0.9994833834922862
578.337656,0.9995607065176493
578.456858,0.9995168867368122
578.57606,0.9995839465742404
578.695262,0.999544573738038
578.814464,0.9996540198649354
578.933666,0.9995679733504005
579.052868,0.9995842664411545
579.17207,0.999571281925868
579.291272,0.9996562390993228
579.410474,0.9995962215404725
579.529676,0.9995501811988255
579.648878,0.9995868653636258
579.76808,0.9996223713196656
579.887282,0.9995744705633433
580.006484,0.999573221096036
580.125686,0.999620502027579
580.244888,0.9996866890921168
580.36409,0.9996904879087531
580.483292,0.9996415242677847
580.602494,0.9994310918896222
580.721696,0.9996463125621539
580.840898,0.9995270018988885
580.9601,0.9996400048138226
581.079302,0.9996371058620122
581.198504,0.9996459926753851
581.317706,0.9994815044652915
581.436908,0.9996136046699109
581.55611,0.9997007147947549
581.675312,0.9994554183384504
581.794514,0.9997272771956269
581.913716,0.9996072071633131
582.032918,0.9996524304163074
582.15212,0.9997705063377001
582.271322,0.9995704422863438
582.390524,0.9995388963409829
582.509726,0.999504382858771
582.628928,0.9994909895897758
582.74813,0.9995920332410787
582.867332,0.9994825939007251
582.986534,0.9995718716730984
583.105736,0.9995158872204252
583.224938,0.9996089964618153
583.34414,0.9995868453718887
583.463342,0.9994555182839973
583.582544,0.9996095462469146
583.701746,0.9994925088172345
583.820948,0.9995318796025594
583.94015,0.9995792085575628
584.059352,0.9995921431962084
584.178554,0.9995668638305659
584.297756,0.9995611363288455
584.416958,0.9995686930396004
584.53616,0.9995590172614827
584.655362,0.9996105458569606
584.774564,0.999624400555139
584.893766,0.999550890879706
585.012968,0.9995413352188655
585.13217,0.9994737984925987
585.251372,0.9994130323329603
585.370574,0.9994990355246268
585.489776,0.999508101021991
585.608978,0.9995982807108098
585.72818,0.999525812462464
585.847382,0.9995823972203239
585.966584,0.9993866281894463
586.085786,0.9995036832059478
586.204988,0.9995421548430964
586.32419,0.9994102939450032
586.443392,0.9995514506283617
586.562594,0.9995270918563227
586.681796,0.999528351261252
586.800998,0.9996483718356789
586.9202,0.9995267220313672
587.039402,0.9994119929439471
587.158604,0.9994951174960869
587.277806,0.9994689310670521
587.397008,0.9994287032521669
587.51621,0.9993903059390051
587.635412,0.9993482125058128
587.754614,0.9994360091026906
587.873816,0.9993884770564186
587.993018,0.9993856487910306
588.11222,0.9993517002371606
588.231422,0.999451850288976
588.350624,0.9994258049131302
588.469826,0.999370788036923
588.589028,0.9993694388872699
588.70823,0.9994659126754382
588.827432,0.9992472434634633
588.946634,0.9993899961280583
589.065836,0.9993506709054395
589.185038,0.9993407474025476
589.30424,0.9993285355332291
589.423442,0.9991477633601057
589.542644,0.9994419257813778
589.661846,0.9992244808705241
589.781048,0.9992212733650885
589.90025,0.9991953039416679
590.019452,0.9992114210919049
590.138654,0.9992576956442947
590.257856,0.9993035726181996
590.377058,0.9992414878159172
590.49626,0.9992241211497757
590.615462,0.9991688755753952
590.734664,0.9992342033720228
590.853866,0.9992546978757044
590.973068,0.9992417276339031
591.09227,0.9992994854749457
591.211472,0.9992207237935393
591.330674,0.9992260596464511
591.449876,0.9991335755625996
591.569078,0.9990612209290503
591.68828,0.9991067891505122
591.807482,0.9991828240702586
591.926684,0.9992671386741367
592.045886,0.9991493120403392
592.165088,0.9992183756275974
592.28429,0.9992067248092621
592.403492,0.9990499415915379
592.522694,0.9991315673061311
592.641896,0.9992128699495159
592.761098,0.9992201342534862
592.8803,0.9991529689335134
592.999502,0.9991369526397923
593.118704,0.9992092927738446
593.237906,0.9989916087684918
593.357108,0.9992334139773139
593.47631,0.9991030225250173
593.595512,0.9991553569119627
593.714714,0.9991240938299584
593.833916,0.9991941648596706
593.953118,0.9990435476923722
594.07232,0.9990161143332144
594.191522,0.99911332333028
594.310724,0.999124003908794
594.429926,0.9991832637107979
594.549128,0.9991330560132754
594.66833,0.999030240520943
594.787532,0.998966434497148
594.906734,0.9990866773332727
595.025936,0.9990879761467976
595.145138,0.998993706653073
