nu,[0]HFC-1234yf-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
741.531698,1.0
741.6507,1.0
741.769702,1.0
741.888704,1.0
742.007706,1.0
742.126708,1.0
742.24571,1.0
742.364712,1.0
742.483714,1.0
742.602716,1.0
742.721718,1.0
742.84072,1.0
742.959722,1.0
743.078724,1.0
743.197726,1.0
743.316728,1.0
743.43573,1.0
743.554732,1.0
743.673734,1.0
743.792736,1.0
743.911738,1.0
744.03074,1.0
744.149742,1.0
744.268744,1.0
744.387746,1.0
744.506748,1.0
744.62575,1.0
744.744752,1.0
744.863754,1.0
744.982756,1.0
745.101758,1.0
745.22076,1.0
745.339762,1.0
745.458764,1.0
745.577766,1.0
745.696768,1.0
745.81577,1.0
745.934772,1.0
746.053774,1.0
746.172776,1.0
746.291778,1.0
746.41078,1.0
746.529782,1.0
746.648784,1.0
746.767786,1.0
746.886788,1.0
747.00579,1.0
747.124792,1.0
747.243794,1.0
747.362796,1.0
747.481798,1.0
747.6008,1.0
747.719802,1.0
747.838804,1.0
747.957806,1.0
748.076808,1.0
748.19581,1.0
748.314812,1.0
748.433814,1.0
748.552816,1.0
748.671818,1.0
748.79082,1.0
748.909822,1.0
749.028824,1.0
749.147826,1.0
749.266828,1.0
749.38583,1.0
749.504832,1.0
749.623834,1.0
749.742836,1.0
749.861838,1.0
749.98084,1.0
750.099842,1.0
750.218844,1.0
750.337846,1.0
750.456848,1.0
750.57585,1.0
750.694852,1.0
750.813854,1.0
750.932856,1.0
751.051858,1.0
751.17086,1.0
751.289862,1.0
751.408864,1.0
751.527866,1.0
751.646868,1.0
751.76587,1.0
751.884872,1.0
752.003874,1.0
752.122876,1.0
752.241878,1.0
752.36088,1.0
752.479882,1.0
752.598884,1.0
752.717886,1.0
752.836888,1.0
752.95589,1.0
753.074892,1.0
753.193894,1.0
753.312896,1.0
753.431898,1.0
753.5509,1.0
753.669902,1.0
753.788904,1.0
753.907906,1.0
754.026908,1.0
754.14591,1.0
754.264912,1.0
754.383914,1.0
754.502916,1.0
754.621918,1.0
754.74092,1.0
754.859922,1.0
754.978924,1.0
755.097926,1.0
755.216928,1.0
755.33593,1.0
755.454932,1.0
755.573934,1.0
755.692936,1.0
755.811938,1.0
755.93094,1.0
756.049942,1.0
756.168944,1.0
756.287946,1.0
756.406948,1.0
756.52595,1.0
756.644952,1.0
756.763954,1.0
756.882956,1.0
757.001958,1.0
757.12096,1.0
757.239962,1.0
757.358964,1.0
757.477966,1.0
757.596968,1.0
757.71597,1.0
757.834972,1.0
757.953974,1.0
758.072976,1.0
758.191978,1.0
758.31098,1.0
758.429982,1.0
758.548984,1.0
758.667986,1.0
758.786988,1.0
758.90599,1.0
759.024992,1.0
759.143994,1.0
759.262996,1.0
759.381998,1.0
759.501,1.0
759.620002,1.0
759.739004,1.0
759.858006,1.0
759.977008,1.0
760.09601,1.0
760.215012,1.0
760.334014,1.0
760.453016,1.0
760.572018,1.0
760.69102,1.0
760.810022,1.0
760.929024,1.0
761.048026,1.0
761.167028,1.0
761.28603,1.0
761.405032,1.0
761.524034,1.0
761.643036,1.0
761.762038,1.0
761.88104,1.0
762.000042,1.0
762.119044,1.0
762.238046,1.0
762.357048,1.0
762.47605,1.0
762.595052,1.0
762.714054,1.0
762.833056,1.0
