nu,[0]Isobutyricacid-HITRAN(x-sec)-X=0.01-T=340.1K-P=1.0atm-L=15cm
530,1.0
530.241054,1.0
530.482108,1.0
530.723162,0.9619248017796302
530.964216,1.0
531.20527,0.9478348507241466
531.446324,1.0
531.687378,1.0
531.928432,0.9792786987481723
532.169486,1.0
532.41054,0.9486095482180227
532.651594,0.9154669646573078
532.892648,0.9502359089543957
533.133702,0.9515405273850752
533.374756,0.9300183145167288
533.61581,0.8205995888582095
533.856864,0.9676382211931542
534.097918,0.9533215729298582
534.338972,0.9420904404915125
534.580026,0.9126890836797907
534.82108,0.9471744400130608
535.062134,0.9323761045916661
535.303188,0.8446947157833935
535.544242,0.8856264776994837
535.785296,0.8281094063936931
536.02635,0.9207838139280299
536.267404,0.8737071745726032
536.508458,0.9229215893851345
536.749512,0.9001894840360222
536.990566,0.8625604893121219
537.23162,0.797112066231044
537.472674,0.9206898987687637
537.713728,0.8166701490317951
537.954782,0.837520113040951
538.195836,0.8649357952063975
538.43689,0.8577436503091816
538.677944,0.8446355892227424
538.918998,0.8540291092514007
539.160052,0.8348860754720624
539.401106,0.7576604112432165
539.64216,0.7563129752849743
539.883214,0.791203559358586
540.124268,0.7492144660020803
540.365322,0.7910136932891796
540.606376,0.7216536242570455
540.84743,0.812702634146183
541.088484,0.7572665302473044
541.329538,0.7489522868230123
541.570592,0.7487800476053122
541.811646,0.8336596945519353
542.0527,0.7440998843511845
542.293754,0.800186862871553
542.534808,0.789693802836668
542.775862,0.7293073725250933
543.016916,0.7520518559721321
543.25797,0.7109949157843733
543.499024,0.7437576771180808
543.740078,0.7178605132834299
543.981132,0.7718693338143954
544.222186,0.7593366923604381
544.46324,0.7322670566987544
544.704294,0.7110517976528805
544.945348,0.7163689152155618
545.186402,0.7200677314054601
545.427456,0.696916273179691
545.66851,0.7193552171041424
545.909564,0.7078804892720678
546.150618,0.7000104608352755
546.391672,0.7031254173676371
546.632726,0.7449560914429049
546.87378,0.7212496113616305
547.114834,0.7051744922902085
547.355888,0.6749949969925257
547.596942,0.7174442749065234
547.837996,0.7166626866898371
548.07905,0.7238435508018018
548.320104,0.6887823158853158
548.561158,0.6866366640172203
548.802212,0.6776393938576551
549.043266,0.6702798280394291
549.28432,0.7027317773633995
549.525374,0.6741922306867897
549.766428,0.6875367474730271
550.007482,0.7010051817743821
550.248536,0.6799404895563405
550.48959,0.7158676324443498
550.730644,0.6857583313401133
550.971698,0.6739900033532004
551.212752,0.6967350985023929
551.453806,0.6585926955341673
551.69486,0.6336997608750394
551.935914,0.675866302409812
552.176968,0.6355020262013255
552.418022,0.631510948531398
552.659076,0.6630664948062163
552.90013,0.6596340944816341
553.141184,0.6646531189894559
553.382238,0.6604393391762883
553.623292,0.6754609042599731
553.864346,0.6493652056342778
554.1054,0.6404527057180276
554.346454,0.6360678747699069
554.587508,0.667303709579441
554.828562,0.63625236120283
555.069616,0.648346502152915
555.31067,0.6361060399873382
555.551724,0.6501579146393224
555.792778,0.6508539559236654
556.033832,0.6200718007418764
556.274886,0.6245774112080451
556.51594,0.6225881837709348
556.756994,0.6434763530617147
556.998048,0.6372202001631269
557.239102,0.638259716064695
557.480156,0.6170964169149743
557.72121,0.6078847323136037
557.962264,0.6143380084157621
558.203318,0.6127060407925774
558.444372,0.6007658626320299
558.685426,0.615377117449802
558.92648,0.6019926759158899
559.167534,0.586448748525611
559.408588,0.6014691700459166
559.649642,0.5976380355601021
559.890696,0.5699594847874836
560.13175,0.5714204503065221
560.372804,0.5759122348199517
560.613858,0.5853531141033299
560.854912,0.5661421975002017
561.095966,0.5897774598087634
561.33702,0.5864018345023149
561.578074,0.569845504288956
561.819128,0.5590591485863915
562.060182,0.5690653504754648
562.301236,0.5573454688445731
562.54229,0.5472771128480626
562.783344,0.544503994798321
563.024398,0.558271430658529
563.265452,0.5457850838761957
563.506506,0.5369770085543462
563.74756,0.5399169216802642
563.988614,0.5479451983750437
564.229668,0.5282846662156433
564.470722,0.5332472919664347
564.711776,0.536054201940823
564.95283,0.5368749926145421
565.193884,0.5177048431446094
565.434938,0.5217587305287473
565.675992,0.5329594161622354
565.917046,0.5123639841366886
566.1581,0.5166446353004968
566.399154,0.5197018485594226
566.640208,0.5024847438536721
566.881262,0.5108240872518836
567.122316,0.5061916127764423
567.36337,0.5034000988078255
567.604424,0.4963321098564173
567.845478,0.49056867479570354
568.086532,0.4956327747286472
568.327586,0.49284034559218015
568.56864,0.48624143431950667
568.809694,0.48716129962926735
569.050748,0.4901518685898599
569.291802,0.47229098013854554
569.532856,0.4758036546877345
569.77391,0.4735015939722509
570.014964,0.48035013167662927
570.256018,0.4686589315182231
570.497072,0.4683637693772035
570.738126,0.46722235487191327
570.97918,0.45119304200743793
571.220234,0.4469135962646154
571.461288,0.4407885486687719
571.702342,0.4390376967515677
571.943396,0.4153100206227468
572.18445,0.41438905502701606
572.425504,0.40349951227860065
572.666558,0.4165536558926188
572.907612,0.40831350705550257
573.148666,0.4200590425856268
573.38972,0.421232643726747
573.630774,0.41057773557118943
573.871828,0.4053882617984427
574.112882,0.409519810323816
574.353936,0.40386282530599005
574.59499,0.3948299946570796
574.836044,0.40392340927347
575.077098,0.39426973394391535
575.318152,0.3937496412318168
575.559206,0.3938835388711444
575.80026,0.39589747609409875
576.041314,0.39185241595206455
576.282368,0.37967866591870925
576.523422,0.393702394109753
576.764476,0.39475498408432474
577.00553,0.3871511862872594
577.246584,0.3830230916900608
577.487638,0.39040133690491424
577.728692,0.3854823005511388
577.969746,0.38436986494625935
578.2108,0.37883671419257525
578.451854,0.3860262139637589
578.692908,0.3829656425351016
578.933962,0.37849212959243234
579.175016,0.38633515849626593
579.41607,0.3833718013423267
579.657124,0.38147879996935086
579.898178,0.38096415105557135
580.139232,0.3887223280061498
580.380286,0.38127666977460023
580.62134,0.37538616857789225
580.862394,0.392852914706509
581.103448,0.391155539056106
581.344502,0.3853820881811681
581.585556,0.3832261477337549
581.82661,0.3883998223322739
582.067664,0.37961792219179
582.308718,0.37676636693140597
582.549772,0.37490973074585887
582.790826,0.38127666977460023
583.03188,0.3689404610973325
583.272934,0.3700600460090323
583.513988,0.37820080282784446
583.755042,0.36534981029020225
583.996096,0.3677690938920104
584.23715,0.3634185785803846
584.478204,0.37588576433963783
584.719258,0.36204020854348745
584.960312,0.3662643274861116
585.201366,0.37187779007042554
585.44242,0.3708676568853464
585.683474,0.36805606568969784
585.924528,0.369819585137376
586.165582,0.3725030698456893
586.406636,0.3734317582268095
586.64769,0.3747897788253511
586.888744,0.38256756530290587
587.129798,0.38444290215891463
587.370852,0.3776339268868477
587.611906,0.38390505867417923
587.85296,0.387852564490231
588.094014,0.38497764935611883
588.335068,0.38639697706697906
588.576122,0.39377326691905423
588.817176,0.3959053941228007
589.05823,0.3898590560191437
589.299284,0.39861868329954325
589.540338,0.40379013653962026
589.781392,0.39571936230846383
590.022446,0.39295114021286237
590.2635,0.40356407736563443
590.504554,0.39865854716103305
590.745608,0.3925505343935456
590.986662,0.39672576708171264
591.227716,0.4037376472337489
591.46877,0.4001563232879188
591.709824,0.3956758355726243
591.950878,0.402331058769472
