nu,[0]3-Pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
570,0.992204741849421
570.133603,0.9789017490166336
570.267205,0.9788948967283736
570.400808,0.9929039963735389
570.534411,0.9857583850463653
570.668013,0.9872568898595236
570.801616,0.9869666789969922
570.935219,0.9906747523353429
571.068821,0.99906922344148
571.202424,0.9890355525774781
571.336027,0.9917009290151353
571.469629,0.9808830908146461
571.603232,0.9898310569116405
571.736835,0.9937693912464506
571.870437,0.986233635114023
572.00404,0.9856913557552038
572.137643,0.9837603090167183
572.271245,0.9929718140324378
572.404848,0.980096737945462
572.538451,0.9854833968195787
572.672053,0.9774022423009532
572.805656,0.9872035794268659
572.939259,0.983044392137117
573.072861,0.9852587322178418
573.206464,0.98227595192175
573.340067,0.9841568443177485
573.473669,0.981901776069094
573.607272,0.9872292470536087
573.740875,0.9865739444181167
573.874477,0.9873250129351431
574.00808,0.9879057307570569
574.141683,0.9891858974073875
574.275286,0.9837111222309474
574.408888,0.982810455411363
574.542491,0.9852557764460788
574.676094,0.987508672467356
574.809696,0.9893461585035658
574.943299,0.9887823918819698
575.076902,0.9898360060792979
575.210504,0.9812941669441325
575.344107,0.9862740715220033
575.47771,0.9892135950002794
575.611312,0.9796979197381288
575.744915,0.9873417976030322
575.878518,0.9847809975927273
576.01212,0.98642399657489
576.145723,0.9774110389607188
576.279326,0.9884274827132917
576.412928,0.9854962081870111
576.546531,0.9842011323722165
576.680134,0.9843231808794818
576.813736,0.9928998261855114
576.947339,0.9806859531263937
577.080942,0.9840850034903355
577.214544,0.9830207993548202
577.348147,0.9859733037995984
577.48175,0.9840751626895046
577.615352,0.9836461994393558
577.748955,0.9860107714970244
577.882558,0.9812029108300817
578.01616,0.9862937972006899
578.149763,0.9869795096472181
578.283366,0.9816327718377138
578.416968,0.9808311053884589
578.550571,0.9875945894591956
578.684174,0.9795382419913014
578.817776,0.9903055966515822
578.951379,0.9844304779537819
579.084982,0.9841735751263133
579.218584,0.9836137396503638
579.352187,0.9845939069773559
579.48579,0.9845850456720691
579.619392,0.9884769053229824
579.752995,0.9817927910207325
579.886598,0.9875531113574846
580.0202,0.9839984078202936
580.153803,0.9856203885324402
580.287406,0.9794353958754078
580.421008,0.9846421532608222
580.554611,0.9859102035273855
580.688214,0.9879768625303845
580.821816,0.9815149829725666
580.955419,0.9820264855135369
581.089022,0.9785738718532043
581.222624,0.9859378093995645
581.356227,0.9867505569605186
581.48983,0.9843586171518425
581.623432,0.9872410938756542
581.757035,0.9830787992929636
581.890638,0.9820304136273352
582.02424,0.980017353324809
582.157843,0.9818104634500222
582.291446,0.9880262626085027
582.425049,0.9817525383414862
582.558651,0.9888249104389633
582.692254,0.9803172845220592
582.825857,0.9857751430813539
582.959459,0.9814590382129779
583.093062,0.9852951874653517
583.226665,0.985506063198368
583.360267,0.980684972440931
583.49387,0.9878474460383584
583.627473,0.9849326655444891
583.761075,0.9782999095256011
583.894678,0.9859949954508892
584.028281,0.9809340980615454
584.161883,0.9813873943182223
584.295486,0.9828291289874143
584.429089,0.9809654884549269
584.562691,0.988599484058967
584.696294,0.9864210373073392
584.829897,0.9831987422228473
584.963499,0.9832066078442475
585.097102,0.9828989123328519
585.230705,0.983518333744879
585.364307,0.9815719124925191
585.49791,0.9808281628995564
585.631513,0.9795725264297452
585.765115,0.9785670218600763
585.898718,0.9803564979977044
586.032321,0.9813147743380152
586.165923,0.9797909954615308
586.299526,0.981645533146696
586.433129,0.9787930969527939
586.566731,0.9775781905394338
586.700334,0.9819322154959609
586.833937,0.9792757609164827
586.967539,0.9839767600934475
587.101142,0.978101334799984
587.234745,0.9810684952389762
587.368347,0.9845377867241006
587.50195,0.9801212406701935
587.635553,0.9819999711563735
587.769155,0.9778754194858685
587.902758,0.9860452824779655
588.036361,0.9788342071261735
588.169963,0.9818742832042661
588.303566,0.9828006273559493
588.437169,0.9827976789584898
588.570771,0.9802359215640534
588.704374,0.9799918732048656
588.837977,0.9780671018523461
588.971579,0.9808173738491044
589.105182,0.9794775125029315
589.238785,0.9807369501218667
589.372387,0.9814148735499707
589.50599,0.9785856148101241
589.639593,0.9805467056078576
589.773195,0.9795989752450163
589.906798,0.9794422519471752
590.040401,0.9840092318623118
590.174003,0.9785777861565202
590.307606,0.9810174810036054
590.441209,0.9807173355790103
590.574811,0.9815012418589929
590.708414,0.9803447337903138
590.842017,0.9785660432935437
590.97562,0.9819341793623557
591.109222,0.981055741431438
591.242825,0.9813589344964565
591.376428,0.9835360372342172
591.51003,0.9783057793426677
591.643633,0.9840407206615495
591.777236,0.9835232513488417
591.910838,0.9823997264893262
592.044441,0.986629194105981
592.178044,0.9786198659060331
592.311646,0.982770161008732
592.445249,0.9799467946155137
592.578852,0.9839836479548756
592.712454,0.9796851837479563
592.846057,0.9812421597314878
592.97966,0.9820755880653662
593.113262,0.9817839549253757
593.246865,0.9857090983592904
593.380468,0.9839816799895477
593.51407,0.9798282282267764
593.647673,0.9806133850509143
593.781276,0.9846785856944886
593.914878,0.9794432313899168
594.048481,0.9845387712623797
594.182084,0.9807114512926497
594.315686,0.9807036056324221
594.449289,0.9811705316682835
594.582892,0.9820932655850485
594.716494,0.9844737938477546
594.850097,0.9819557821519316
594.9837,0.980907613198445
595.117302,0.9817888638574227
595.250905,0.981223516307566
595.384508,0.984464933623481
595.51811,0.9825598706961421
595.651713,0.9806163268954822
595.785316,0.9853523362435233
595.918918,0.9811587576925475
596.052521,0.9838921417307211
596.186124,0.9803574783546926
596.319726,0.982827163331122
596.453329,0.9837170245153877
596.586932,0.9814904454047131
596.720534,0.9850971630347931
596.854137,0.9816219739366122
596.98774,0.9819214143009971
597.121342,0.9848184199816566
597.254945,0.982540219695239
597.388548,0.9851710480926757
597.52215,0.9832744514407659
597.655753,0.9824734092318812
597.789356,0.985399634290807
597.922958,0.9821423714759648
598.056561,0.9858431639129183
598.190164,0.9850410140967601
598.323766,0.9834180199909254
598.457369,0.9857386700758147
598.590972,0.9859742897733951
598.724574,0.986275057796568
598.858177,0.9845427094253411
598.99178,0.9824075857185749
599.125383,0.9851119396030626
599.258985,0.9851414934045556
599.392588,0.9850282086468125
599.526191,0.9841292883118935
599.659793,0.9837111222309474
599.793396,0.9862997149812264
599.926999,0.9834809607582878
600.060601,0.9850636703006297
600.194204,0.9830679854856474
600.327807,0.9849060727215241
600.461409,0.9871907458637517
600.595012,0.9871394132796255
600.728615,0.9885174337069268
600.862217,0.9840889398382221
600.99582,0.9858204897809018
601.129423,0.9854035758972274
601.263025,0.9836530849868513
601.396628,0.9855740654627798
601.530231,0.9860630314527904
601.663833,0.9856676994465425
601.797436,0.988490744096528
601.931039,0.9852626732606526
602.064641,0.9864703595922514
602.198244,0.9869745747620071
602.331847,0.9837750655320272
602.465449,0.9889099530380403
602.599052,0.9864831837902832
602.732655,0.9864624678609416
602.866257,0.987949199565517
602.99986,0.9839993918191935
603.133463,0.9881636078042753
603.267065,0.986438793045812
603.400668,0.9871877842959564
603.534271,0.9890919292106938
603.667873,0.9867387160248808
603.801476,0.9891977677093781
603.935079,0.9878247258083831
604.068681,0.9870545229404204
604.202284,0.9901161693102457
604.335887,0.9863648129106232
604.469489,0.990357787131733
604.603092,0.9877950915111255
604.736695,0.9864575355609331
604.870297,0.9896360793993444
605.0039,0.9852528206831831
605.137503,0.9889940139565869
605.271105,0.9885668608142796
605.404708,0.9874760852188571
605.538311,0.9891186350533098
605.671913,0.9868077901525688
605.805516,0.9895480057076153
605.939119,0.9888901750367602
606.072721,0.9874721353224161
606.206324,0.989788495091279
606.339927,0.9888980861898051
606.473529,0.9896994181352439
606.607132,0.989721191761952
606.740735,0.9877664458688356
606.874337,0.9899765727721602
607.00794,0.9883207383094603
607.141543,0.9900320130125477
607.275146,0.9905552841642867
607.408748,0.9890009369389151
607.542351,0.9924619546518475
607.675954,0.989915196127344
607.809556,0.9900520118611982
607.943159,0.9910092605935482
608.076762,0.9902428132670089
608.210364,0.9933098791733571
608.343967,0.9908290124031162
608.47757,0.9903150045994382
608.611172,0.9935199864308615
608.744775,0.9897004078351569
608.878378,0.9927944851023964
609.01198,0.9917123336413954
609.145583,0.9904269165178622
609.279186,0.9945452315728993
609.412788,0.9906973399771942
609.546391,0.9927107960548452
609.679994,0.9921075105491313
609.813596,0.991443814300605
609.947199,0.9935876474457689
610.080802,0.9892511858311106
610.214404,0.9937052951878353
610.348007,0.9925958468003524
610.48161,0.9910994465396605
610.615212,0.9929087623241597
610.748815,0.9913243525186988
610.882418,0.9941272126312841
611.01602,0.9914520433184141
611.149623,0.991565967703022
611.283226,0.9942705761116041
611.416828,0.9912915402256768
611.550431,0.9921111813537112
