nu,[0]HCFC-132-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9987060378918469
550.119002,0.9995386964332237
550.238005,0.9994615650081742
550.357007,0.9979971084695206
550.47601,0.9988186982868479
550.595012,0.9990009294036822
550.714014,1.0
550.833017,0.9993593453069098
550.952019,1.0
551.071021,0.9988122059864091
551.190024,0.9998407526812005
551.309026,0.998859351035146
551.428029,0.9979639755155295
551.547031,0.9976344024464053
551.666033,0.9999034946569403
551.785036,0.9999842621238417
551.904038,0.9999101080405244
552.02304,0.9987967245171979
552.142043,1.0
552.261045,0.9991593135750103
552.380048,0.9979711608820205
552.49905,0.9997479617669732
552.618052,0.9997753652341681
552.737055,0.9991769588842956
552.856057,0.9991090171611363
552.97506,0.9997509610153574
553.094062,0.9987773480486947
553.213064,0.9993346014758498
553.332067,0.9986861638394403
553.451069,0.9998005598908233
553.570071,0.9992417576111553
553.689074,0.9992124302959499
553.808076,0.998892313937615
553.927079,0.9994086349252923
554.046081,0.9986412239732221
554.165083,0.9991147620545014
554.284086,0.9996906678530572
554.403088,0.9986127631039081
554.52209,0.9993797124579077
554.641093,0.9982969518351236
554.760095,0.9994110035265639
554.879098,0.9991733019033184
554.9981,0.998904999950558
555.117102,0.9994783061295945
555.236105,0.9998591299231212
555.355107,0.9985944886575551
555.474109,0.9994010394485298
555.593112,0.9984492037291902
555.712114,0.9992513603705871
555.831117,0.9994353294864354
555.950119,0.9996170033619446
556.069121,1.0
556.188124,0.998647315703268
556.307126,0.9998875463233887
556.426129,0.9994619547982606
556.545131,0.9999959626081503
556.664133,0.9988851219388459
556.783136,0.9999412457261
556.902138,0.999715570457754
557.02114,0.9994026684735517
557.140143,0.9983051379036914
557.259145,0.9998182065264365
557.378148,0.9988277875783586
557.49715,0.9988660434152173
557.616152,0.9986441200369709
557.735155,0.9993831503300317
557.854157,0.998474265118723
557.973159,0.9996313879541199
558.092162,0.9992115909578609
558.211164,1.0
558.330167,0.9989296732087704
558.449169,0.9990429682472827
558.568171,0.9986923557128509
558.687174,0.9998714282660539
558.806176,0.9994406165133126
558.925179,1.0
559.044181,0.9989045004981829
559.163183,0.9988363775342685
559.282186,0.997558285845384
559.401188,0.9998458618805007
559.52019,0.999863339338919
559.639193,1.0
559.758195,0.9995410353565098
559.877198,0.9996611574201183
559.9962,1.0
560.115202,0.9995469726478936
560.234205,0.9995474424350811
560.353207,0.9990647076587956
560.472209,0.9996105658491717
560.591212,0.9998475916153381
560.710214,0.99942192714853
560.829217,0.999364482027146
560.948219,0.9992089830190118
561.067221,0.9991869806794524
561.186224,0.9990535181967309
561.305226,0.9999766742720491
561.424228,0.9988926136053542
561.543231,0.9991258323073942
561.662233,0.9976313097845514
561.781236,0.9993147948603328
561.900238,0.9993102779676682
562.01924,0.9997514308984194
562.138243,0.9987668609415975
562.257245,0.9971376044883498
562.376248,1.0
562.49525,0.9995796683641044
562.614252,1.0
562.733255,0.9980274480427772
562.852257,0.9986280419960669
562.971259,0.9992283079076145
563.090262,0.9988934127197647
563.209264,0.9986879614761531
563.328267,0.9990009094236639
563.447269,0.9986999458035966
563.566271,0.9976954595401631
563.685274,0.9995871152603734
563.804276,0.9995619459736937
563.923278,0.9982343605784999
564.042281,0.9993843795720626
564.161283,0.997433100136078
564.280286,0.9986687868513697
564.399288,0.9996621770750188
