nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.8789036504409812
550.119002,0.8792816602769611
550.238005,0.8756839857423625
550.357007,0.8711074027762709
550.47601,0.8792201127149315
550.595012,0.8850421570712201
550.714014,0.8724412172103668
550.833017,0.8660003207835213
550.952019,0.886237770840977
551.071021,0.8769721877979416
551.190024,0.8994516312201115
551.309026,0.8784643084604088
551.428029,0.8969546281277709
551.547031,0.8882162862947701
551.666033,0.8930434884672291
551.785036,0.8980675417304818
551.904038,0.8917138445001637
552.02304,0.9021450162014127
552.142043,0.8891494031960228
552.261045,0.9043308509338863
552.380048,0.8863795802287601
552.49905,0.8973314281940595
552.618052,0.8868849606092157
552.737055,0.8940174365749481
552.856057,0.8894873441739565
552.97506,0.9104648370000841
553.094062,0.8942409688744651
553.213064,0.8925613751657636
553.332067,0.8915890133003215
553.451069,0.8947508315237741
553.570071,0.8968918435012896
553.689074,0.9073037406300972
553.808076,0.9025149714937077
553.927079,0.8946076828429301
554.046081,0.9063271005165425
554.165083,0.8990829316398901
554.284086,0.9055054345182328
554.403088,0.9157810236842293
554.52209,0.9025420473489884
554.641093,0.9153626073718152
554.760095,0.903553460727785
554.879098,0.9105003458211446
554.9981,0.9085784897464211
555.117102,0.9082251214484997
555.236105,0.9079926455755902
555.355107,0.9210831173017202
555.474109,0.9025059463891184
555.593112,0.9075469306185889
555.712114,0.9048917099097816
555.831117,0.9099041633657007
555.950119,0.9059755138137732
556.069121,0.9118561788253141
556.188124,0.9134186136660694
556.307126,0.9018834320782454
556.426129,0.9113156084062409
556.545131,0.9104566428534249
556.664133,0.9094729709929309
556.783136,0.9143023166670237
556.902138,0.9224131996636138
557.02114,0.9118789755147422
557.140143,0.9165001940252494
557.259145,0.9114659878875939
557.378148,0.9165038600333575
557.49715,0.9144422156234709
557.616152,0.9169842339029772
557.735155,0.9250106759210912
557.854157,0.9234930546992316
557.973159,0.9172098397729016
558.092162,0.9195728594117388
558.211164,0.9265465422813288
558.330167,0.9263834844393983
558.449169,0.9244207073298462
558.568171,0.9241120023701961
558.687174,0.9234681207233649
558.806176,0.9217695798996773
558.925179,0.9213106529311872
559.044181,0.9255279014399951
559.163183,0.9283996328938668
559.282186,0.9307877577837713
559.401188,0.9282325359991176
559.52019,0.9309674171575955
559.639193,0.9251947713624884
559.758195,0.937171483638856
559.877198,0.928095167749291
559.9962,0.9367451676080522
560.115202,0.9323397426326497
560.234205,0.9290961937962243
560.353207,0.9277073050381258
560.472209,0.9306481500909425
560.591212,0.9353298791423383
560.710214,0.9226742795401787
560.829217,0.9294623298206404
560.948219,0.9341306203963915
561.067221,0.9369737613162469
561.186224,0.9293498716825866
561.305226,0.931761871150888
561.424228,0.9400041395041168
561.543231,0.9400896837730169
561.662233,0.9346221023511423
561.781236,0.9404507475313906
561.900238,0.935126934578846
562.01924,0.931719942810081
562.138243,0.9285667598687642
562.257245,0.9356170694966988
562.376248,0.9403407212305935
562.49525,0.9291909664413143
562.614252,0.93996748005754
562.733255,0.9347351984677038
