nu,[0]Propionaldehyde-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
520,0.9718060805816661
520.119602,0.9578577485311639
520.239205,0.9489700883446311
520.358807,0.9519155082192383
520.47841,0.9665202777052866
520.598012,0.9440076585488509
520.717614,0.933136300854807
520.837217,0.9547201672749451
520.956819,0.9408439381149657
521.076422,0.9421686372431936
521.196024,0.9642709069927473
521.315626,0.9532986934866623
521.435229,0.9644917503160441
521.554831,0.9490393656896726
521.674433,0.9527097369004174
521.794036,0.9590193759263881
521.913638,0.9399468010004493
522.033241,0.9554173674441562
522.152843,0.9526030393850569
522.272445,0.9452205428875374
522.392048,0.9353280084844507
522.51165,0.9649345536450289
522.631253,0.9568113819555231
522.750855,0.9560978668388129
522.870457,0.9457254254490858
522.99006,0.943419724937911
523.109662,0.9576412971399244
523.229265,0.941383196174185
523.348867,0.9530299011565988
523.468469,0.9214967764809249
523.588072,0.9627321953425613
523.707674,0.9352101645797035
523.827277,0.9656865305192834
523.946879,0.9177484000008109
524.066481,0.9658101463064315
524.186084,0.9421394304681464
524.305686,0.9577456857303874
524.425289,0.9639826330906525
524.544891,0.9559334321475055
524.664493,0.9711493616671948
524.784096,0.9483420780404928
524.903698,0.9516775590870644
525.0233,0.9393698508064702
525.142903,0.9604292106597049
525.262505,0.9499803298718147
525.382108,0.969661730256574
525.50171,0.9483762189698353
525.621312,0.952789767879571
525.740915,0.9677988624707294
525.860517,0.9251078071413628
525.98012,0.9572669325857824
526.099722,0.9476500409477943
526.219324,0.9779076899071706
526.338927,0.9522373100424609
526.458529,0.9590107447908449
526.578132,0.9583837568111688
526.697734,0.9813844501604556
526.817336,0.9525658885909661
526.936939,0.9619228779319505
527.056541,0.9655329985670446
527.176144,0.951869817371433
527.295746,0.9453916432899193
527.415348,0.9618651642907011
527.534951,0.949605161742099
527.654553,0.9449861572579207
527.774155,0.9532310116821572
527.893758,0.9516728007111649
528.01336,0.921142989650175
528.132963,0.950617980581047
528.252565,0.9513340654925582
528.372167,0.966178190080061
528.49177,0.9557269728245712
528.611372,0.9641349543797458
528.730975,0.9598252906389577
528.850577,0.9649625371528435
528.970179,0.9482036302040369
529.089782,0.9471507609480501
529.209384,0.9718332915328739
529.328987,0.9512551080419018
529.448589,0.9610373548073688
529.568191,0.9551651705506056
529.687794,0.9626965749103156
529.807396,0.9625281177501377
529.926999,0.9597110782251451
530.046601,0.952089724697564
530.166203,0.9698750793047652
530.285806,0.955550179688468
530.405408,0.958143232675251
530.525011,0.9492861480050627
530.644613,0.987537310634109
530.764215,0.9559640225067774
530.883818,0.9854410219445818
531.00342,0.9693592429872018
531.123022,0.9748935435968831
531.242625,0.9682073597775616
531.362227,0.9634496980646694
531.48183,0.9848666772665297
531.601432,0.9641619505364128
531.721034,0.9664313619299261
531.840637,0.9581652702230333
531.960239,0.9673286265001652
532.079842,0.9643789113824635
532.199444,0.9592111989832396
532.319046,0.9617391682071027
532.438649,0.9699914712976617
532.558251,0.9732541776763887
532.677854,0.962749524678041
532.797456,0.9757449972658931
532.917058,0.9571865255405885
533.036661,0.9652211817696311
533.156263,0.9697916736344403
533.275866,0.975286504871331
533.395468,0.9743341152741469
533.51507,0.9715233261549813
533.634673,0.9787480735058813
533.754275,0.9577715452130037
533.873877,0.9632888153991691
533.99348,0.9568065979105733
534.113082,0.9791690256757192
534.232685,0.9786815208996972
534.352287,0.9676672507752315
534.471889,0.9710930366376597
534.591492,0.9842149112845219
534.711094,0.9759001530550168
534.830697,0.97203739795452
534.950299,0.9761070658194425
535.069901,0.9808987850696528
535.189504,0.9840889398382221
535.309106,0.9709551512165537
535.428709,0.9792365906694562
535.548311,0.9723854496405222
535.667913,0.9770084285561055
535.787516,0.9691741130522628
535.907118,0.9807859881953144
536.026721,0.9840958284849112
536.146323,0.9790348887077936
536.265925,0.9839167393417333
536.385528,0.9713047579964363
536.50513,0.9735325681791485
536.624732,0.9885876209363371
536.744335,0.9835625930657247
536.863937,0.9776524893052321
536.98354,0.9703484938472192
537.103142,0.9772810519368658
537.222744,0.9837514552137794
537.342347,0.9804927770220988
537.461949,0.9726587283457311
537.581552,0.9798497846849176
537.701154,0.9790838416760431
537.820756,0.9806388813303758
537.940359,0.9887576726311648
538.059961,0.9891285262891163
538.179564,0.9786580328250536
538.299166,0.9820274675405135
538.418768,0.9696248838109112
538.538371,0.9772116674453568
538.657973,0.983803595422609
538.777576,0.97883518596087
538.897178,0.984394054699932
539.01678,0.9758220841655696
539.136383,0.9837268617348188
539.255985,0.9710473963374932
539.375588,0.9743078086081761
539.49519,0.9728046380979408
539.614792,0.9798056924366897
539.734395,0.9855316866891151
539.853997,0.9861675596740223
539.973599,0.9962415806049976
540.093202,0.985435109316188
540.212804,0.9837662115962802
540.332407,0.9844068519058248
540.452009,0.9833550832516431
540.571611,0.9901419126653099
540.691214,0.9885886095244524
540.810816,0.981897848469845
540.930419,0.9839295303424861
541.050021,0.9884334132959798
541.169623,0.9871640920734411
541.289226,0.985480440373823
541.408828,0.9822906861715355
541.528431,0.9819783673946503
541.648033,0.9829795133482596
541.767635,0.9887695377944271
541.887238,0.9869262141926874
542.00684,0.9941968039718369
542.126443,0.9903247097340383
542.246045,0.9894114575048704
542.365647,0.9876933538562791
542.48525,0.9838065468378224
542.604852,0.995318293513502
542.724454,0.9835753794625459
542.844057,0.9940751217301358
542.963659,0.9835675108909846
543.083262,0.9895153511622299
543.202864,0.9863687583777658
543.322466,0.9903247097340383
543.442069,0.9803927718591926
543.561671,0.98671108772763
543.681274,0.9883662021090819
543.800876,0.9907926496456216
543.920478,0.9967801947266683
544.040081,0.9844708404308031
544.159683,0.9904638601308424
544.279286,0.9859949954508892
544.398888,0.9887547063625962
544.51849,0.9903776935233128
544.638093,0.9924825980751951
544.757695,0.9886350742810133
544.877298,0.9941704581056159
544.9969,0.9922312340696979
545.116502,0.9912821230007766
545.236105,0.9874997849292978
545.355707,0.9912200706821346
545.47531,0.9918301560651455
545.594912,0.9897785972558173
545.714514,0.9915715204879889
545.834117,0.9874020272896727
545.953719,0.9947507258445696
546.073321,0.9906696999069896
546.192924,0.993136958976533
546.312526,0.9900952780794765
546.432129,0.9929591040745621
546.551731,0.9934231229543558
546.671333,0.9850695807003826
546.790936,0.9916789134988844
546.910538,0.9861261415063035
547.030141,0.9897686995193336
547.149743,0.9910379011750338
547.269345,0.9960579902000676
547.388948,0.9962746563745284
547.50855,0.9951553732442417
547.628153,0.9913008584099503
547.747755,0.9917765986827802
547.867357,0.9908411005908052
547.98696,0.991921607021359
548.106562,0.9929000247654965
548.226165,0.9954184275704882
548.345767,0.992203451984095
548.465369,0.986790027772208
548.584972,0.9908295078177461
548.704574,0.9914371716493021
548.824176,0.9956030948161599
548.943779,0.9873812920648203
549.063381,0.9934947513436931
549.182984,0.9914100066429612
549.302586,0.9901949856941733
549.422188,0.9921009626611696
549.541791,0.9879837783926277
549.661393,0.9945444359370322
549.780996,0.9887912909635426
549.900598,0.9969400910932483
550.0202,0.9928746068502132
550.139803,0.9933084885404997
550.259405,0.9911881539097214
550.379008,0.9916405362675361
550.49861,0.9947863385580186
550.618212,0.9904430606081754
550.737815,0.9959883681798705
550.857417,0.9934563038407801
550.97702,0.9917162013270386
551.096622,0.9927362097765186
551.216224,0.9963152055782135
551.335827,0.9907465788585672
551.455429,0.9945781515648873
551.575032,0.9934647482552514
551.694634,0.9966316855418631
551.814236,0.9921657489692814
551.933839,0.9945145006000397
552.053441,0.9946584172603957
552.173043,0.9958574043205173
552.292646,0.9915691407191954
552.412248,0.9927726438639787
552.531851,0.996523656522429
552.651453,0.9937649192942519
552.771055,0.9971594420410084
552.890658,0.9895430579799561
553.01026,0.9928715289437028
553.129863,0.993355075801075
553.249465,0.9907334020166946
553.369067,0.9954411233693679
553.48867,0.9911772508999951
553.608272,0.9930647605440601
553.727875,0.9957030583849666
553.847477,0.9962206597514746
553.967079,0.9953775167138388
554.086682,0.9966048765101051
554.206284,0.9968890490672714
554.325887,0.9987975235548971
554.445489,0.9899745928209946
554.565091,0.9917668793197382
554.684694,0.993769093115678
554.804296,0.9931527499797188
554.923898,0.9969846553113231
555.043501,0.9925672604516099
555.163103,0.9986906579372893
555.282706,0.9934622645964855
555.402308,0.9917329614724639
555.52191,0.9976943620757612
555.641513,1.0031247719533565
555.761115,0.9967450090068262
555.880718,0.9917759044394042
556.00032,0.9961827044673908
556.119922,0.9967975388529501
556.239525,0.9929275284771072
556.359127,0.9941925289347711
556.47873,0.9985171005835107
556.598332,0.9952219513657251
556.717934,0.9962503475694815
556.837537,0.992817418919887
556.957139,0.9947974802274037
557.076742,0.9969683048970497
557.196344,0.9942301101226448
557.315946,0.9961789189803063
557.435549,0.9974231258549481
557.555151,0.9987298073784044
557.674753,0.99525947194055
557.794356,0.9947704221039336
557.913958,0.9952666378345452
558.033561,0.9965305325593813
558.153163,0.9973060352533255
558.272765,0.9978878337690422
558.392368,0.998673181003699
558.51197,0.996175731212866
558.631573,0.9982582186648207
558.751175,0.9963278588616725
558.870777,0.9962549303316206
558.99038,0.9962911946710917
559.109982,0.9966664685946492
559.229585,0.9974530489975686
559.349187,0.998105297219803
559.468789,0.9977001487198425
559.588392,0.9965263471399339
559.707994,0.999810477961571
559.827597,0.9971458807648135
559.947199,0.9972776124363478
560.066801,0.9985865997922557
560.186404,0.9988980076400316
560.306006,0.9987716550340359
560.425609,0.9963200875346816
560.545211,0.997905197168411
560.664813,0.996670455268497
560.784416,0.9960662575156956
560.904018,1.0002987346122998
561.02362,0.9994680115560586
561.143223,0.9972012238969536
561.262825,0.9970047946047665
561.382428,1.0024545073831561
561.50203,0.9968779836602398
561.621632,1.000886582782376
561.741235,0.9983788155415401
561.860837,1.000903978342352
561.98044,1.0028043247828788
562.100042,0.9996043183026587
562.219644,0.9995103399226448
562.339247,1.0011841004940742
562.458849,1.001170985068264
562.578452,0.9989833171725492
562.698054,1.0012819209591446
562.817656,1.0002631346138406
562.937259,0.9982854714861895
563.056861,0.9997626281771502
563.176464,1.0008906063545262
563.296066,1.001029229293324
563.415668,0.9968463831290288
563.535271,0.9988320825470792
563.654873,0.9985058174040242
563.774475,0.9993297647080838
563.894078,1.0009749049111558
564.01368,0.9989505510571132
564.133283,0.9964766217158714
564.252885,1.0018764583486655
564.372487,0.9995357877798491
564.49209,1.0009819918385703
564.611692,1.0007578370134724
564.731295,0.9996813907667053
564.850897,1.0024054885562652
564.970499,0.9977350688361462
565.090102,1.0001830467510124
565.209704,0.9987587709627884
565.329307,0.9996898581039442
565.448909,0.9977838592739288
565.568511,1.0003847239872974
565.688114,0.9993370098751415
565.807716,1.0010252251844152
565.927319,1.000426240814811
566.046921,1.0013330877726065
566.166523,0.9971534591023049
566.286126,0.9963767797605408
566.405728,0.9982935576312574
566.525331,0.9983128248828481
566.644933,0.9977858548436429
566.764535,0.9980499039129858
566.884138,0.9968980211090871
567.00374,0.9999864410919228
567.123342,0.9993158941072118
567.242945,0.9988145032571246
567.362547,0.997301347925975
567.48215,0.9959493262010656
567.601752,0.9979697637233732
567.721354,0.9972493898792669
567.840957,0.9977135179914093
567.960559,0.9987553751887399
568.080162,0.9979424197264617
568.199764,1.0000197761955463
568.319366,0.9985543459659846
568.438969,0.9983455700805226
568.558571,0.99604344785957
568.678174,0.9950817344712899
568.797776,0.9957231717898908
568.917378,0.9975098056907692
569.036981,0.997547412519328
569.156583,0.9990575244093713
569.276186,0.999022987587725
569.395788,0.9954451051418248
569.51539,0.9969295235842907
569.634993,0.9967195923331604
569.754595,0.9978285609921352
569.874197,0.9969280281911268
569.9938,0.9931260345300688
570.113402,0.9991894486743427
570.233005,0.9960439458814184
570.352607,0.9979252552644572
570.472209,0.9968707064775209
570.591812,1.0003187207806783
570.711414,1.000945857040902
570.831017,0.9970186530677276
570.950619,0.9981544052084729
571.070221,1.000349761152173
571.189824,0.9950993475738655
571.309426,0.999247982906697
571.429029,0.9972734238791716
571.548631,0.9969944258088205
571.668233,1.0029727097645336
571.787836,1.0019346690619002
571.907438,0.997490454188249
572.027041,0.9981371372866307
572.146643,0.9977986265843238
572.266245,0.9987796452392369
572.385848,1.0013806522239224
572.50545,0.9995343884307257
572.625053,1.000613718248027
572.744655,1.000230546571777
572.864257,1.0005618677886046
572.98386,1.0006723058963671
573.103462,1.0000800702054478
573.223064,1.0000571356321781
573.342667,1.0011409503892346
573.462269,1.0030031002980537
573.581872,0.9986590998111194
573.701474,1.0017489275930225
573.821076,1.0001958791818222
573.940679,1.0027465649172715
574.060281,0.999725057803535
574.179884,1.0011228299020234
574.299486,1.0037922725377406
574.419088,1.0034530480817856
574.538691,1.0010622638029572
574.658293,1.00197154093616
574.777896,1.0035177728907394
574.897498,1.0011679815598142
575.0171,1.0038730810681797
575.136703,0.999369338950331
575.256305,1.002271676355706
575.375908,1.0007423654169079
575.49551,1.0040724700607515
575.615112,1.0018303730915503
575.734715,1.0008623716287737
575.854317,1.0031003963175633
575.973919,1.0022887151190332
576.093522,1.000771547489756
576.213124,1.001516849253813
576.332727,1.001345103841756
576.452329,1.0012723086988422
576.571931,1.0023365254310113
576.691534,1.000494722334748
576.811136,1.0015302696695096
576.930739,1.000263094603316
577.050341,1.0021483043060522
577.169943,1.0008887847352803
577.289546,1.0013103577695006
577.409148,0.9994985957451479
577.528751,1.0014644712922927
577.648353,0.9998492913576886
577.767955,0.9999606767731783
577.887558,1.0014632695356482
578.00716,1.0005613975246372
578.126763,1.0012735102263335
578.246365,1.0023540664736899
578.365967,1.0008446164877896
578.48557,0.9990017086247112
578.605172,1.0018640351576058
578.724774,1.00093102313322
578.844377,0.9995074813271605
578.963979,0.9994903599106507
579.083582,0.999943577591804
579.203184,0.9996438634316883
579.322786,0.999630848153316
579.442389,1.0032381314572787
579.561991,1.0006826729151572
579.681594,1.0011620746861483
579.801196,0.998737797248823
579.920798,1.0018638347848188
580.040401,1.0021935022137816
580.160003,1.0000235182765502
580.279606,1.0049797579852588
580.399208,1.0042081294150398
