nu,[0]Dimethylsulfoxide-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
575,0.996949262984277
575.119602,1.0003096479310263
575.239204,0.9983125253890456
575.358806,0.9978204786135249
575.478408,0.9999335052108765
575.59801,0.999829284573537
575.717612,0.9986437205794028
575.837214,0.9985402664489672
575.956816,0.999229127275163
576.076418,0.9991277905959446
576.19602,0.9988565542328786
576.315622,1.0000465680842596
576.435224,0.9970649158065171
576.554826,0.9989314712838003
576.674428,0.9996865491359902
576.79403,0.9998800371961126
576.913632,0.9986205523138383
577.033234,0.9986910574136324
577.152836,1.0004074029660555
577.272438,0.9989528486460227
577.39204,0.999068633990812
577.511642,1.000114156515359
577.631244,1.0008347582168693
577.750846,0.9991826741928462
577.870448,0.9984694724537528
577.99005,0.998686363576693
578.109652,1.0005020659929613
578.229254,0.9980285458735739
578.348856,0.9980672701323996
578.468458,0.9993857487296005
578.58806,0.99936682054277
578.707662,0.9990325283028133
578.827264,0.9996628968320455
578.946866,1.0006639503174974
579.066468,0.9993577163525046
579.18607,0.999790132025365
579.305672,0.9992580953474529
579.425274,1.001695435628537
579.544876,1.0001022752297548
579.664478,0.9991646191250516
579.78408,1.0000390827637113
579.903682,1.0007067896581803
580.023284,0.9993526895958336
580.142886,1.000611346796325
580.262488,1.0003277837093436
580.38209,1.0008348482920015
580.501692,0.9992803990370492
580.621294,1.000039397776072
580.740896,0.9992753526837762
580.860498,1.0000360356492684
580.9801,0.9996337370906417
581.099702,1.000964334671971
581.219304,1.0005106603426208
581.338906,1.0002409090139168
581.458508,0.9999146966385387
581.57811,1.000624635003244
581.697712,0.9996944366939792
581.817314,1.0007015559753563
581.936916,1.0001913283009252
582.056518,0.999873947945228
582.17612,0.9981017040472008
582.295722,0.9993141652922104
582.415324,1.0005180541437209
582.534926,1.0003387273551592
582.654528,1.00050658827252
582.77413,1.0003269134245505
582.893732,0.9997233982613165
583.013334,0.9995053623735461
583.132936,0.9981750672185117
583.252538,1.000412274961971
583.37214,1.000874982574105
583.491742,0.9975688600192569
583.611344,0.9985255880149372
583.730946,0.9981491150041443
583.850548,1.0027019436879623
583.97015,1.001102607425107
584.089752,0.9995789486670023
584.209354,1.0011738884683308
584.328956,1.0006309289519926
584.448558,1.0011000045617113
584.56816,0.9993712077727421
584.687762,1.0014816966293363
584.807364,1.0005078088913022
584.926966,1.0014788924845115
585.046568,1.0016243177773212
585.16617,1.0003090277392368
585.285772,1.001920842458871
585.405374,1.0006581965163255
585.524976,1.0006068040311227
585.644578,1.0006491506071165
585.76418,1.0021785696418464
585.883782,1.0002040908236989
586.003384,0.9998495413200427
586.122986,1.0011455556481983
586.242588,1.0013661323097347
586.36219,1.0008633524743784
586.481792,1.0021569228185288
586.601394,1.0016184082112793
586.720996,1.0005371342049412
586.840598,1.0012393673817737
586.9602,1.0022414082081315
587.079802,1.0019224455335014
587.199404,1.0006451079927141
587.319006,1.002315777279679
587.438608,1.00082882328435
587.55821,1.002235294554188
587.677812,1.0014538558251591
587.797414,1.001139648906845
587.917016,1.0013097569834661
588.036618,1.0020206387445525
588.15622,1.0014777908583357
588.275822,1.0016090932033979
588.395424,1.0016658860490446
588.515026,0.9998610196586626
588.634628,1.0017049517803773
588.75423,1.0012113330719692
588.873832,1.0019943861477278
588.993434,1.0016237168029107
589.113036,1.0009722823603404
589.232638,1.0005164333057859
589.35224,1.0008998045814643
589.471842,1.0022235684698395
589.591444,1.0005309709151773
589.711046,1.0011179244121753
589.830648,1.0009752252231767
589.95025,1.0007968973541086
590.069852,0.9999443945460406
590.189454,1.0005810887667017
590.309056,1.001867241127648
590.428658,1.002330711896023
590.54826,1.0006459185155798
590.667862,1.0022431120199735
590.787464,1.0010912950295583
590.907066,1.0003957782995723
591.026668,0.9992756424736705
591.14627,0.9995260223629067
591.265872,1.0016583735830709
591.385474,1.0015859563005771
591.505076,1.0008084666331123
591.624678,1.0002874313004624
591.74428,1.0013052510996978
591.863882,1.0011846010862497
591.983484,1.000638914018666
592.103086,0.9993436454949174
592.222688,1.001263097035976
592.34229,1.0010779806038754
592.461892,1.0000484291726546
592.581494,0.9986757775573452
592.701096,0.9984927370634926
592.820698,1.0002052510611172
592.9403,0.9987853382994399
593.059902,1.0004870085501756
593.179504,1.0003683078086718
593.299106,1.0003796520496042
593.418708,1.0003170002339583
593.53831,0.998856654118539
593.657912,1.0002443398461185
593.777514,0.9994297626471539
