nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.9666894335545901
550.119002,0.9712989301853718
550.238005,0.9682596443866612
550.357007,0.9650030664305128
550.47601,0.9709386451192853
550.595012,0.9720850289539698
550.714014,0.9652694440352662
550.833017,0.9569405602114232
550.952019,0.9670481418707171
551.071021,0.966523177270469
551.190024,0.9710697306844529
551.309026,0.9682780414946766
551.428029,0.9809939368665921
551.547031,0.9632079025370633
551.666033,0.9589503290170399
551.785036,0.9837258780084489
551.904038,0.9664584223869047
552.02304,0.9711114875806393
552.142043,0.9604311315200471
552.261045,0.9656874962062968
552.380048,0.9827328164521648
552.49905,0.9721997417553085
552.618052,0.969479450986074
552.737055,0.9678608035800219
552.856057,0.9824891289321861
552.97506,0.9577456857303874
553.094062,0.9698993264848363
553.213064,0.9595556176231214
553.332067,0.9777443929586309
553.451069,0.960272673456496
553.570071,0.9747629166142443
553.689074,0.9876568098782542
553.808076,0.966684600119506
553.927079,0.9741382937976945
554.046081,0.9716447741610929
554.165083,0.967015262792841
554.284086,0.9870772254555259
554.403088,0.9716292279690761
554.52209,0.9693311319767668
554.641093,0.9785239658583534
554.760095,0.9747180785513634
554.879098,0.9695453778302284
554.9981,0.9649856965316467
555.117102,0.9754864590994378
555.236105,0.9806879145002614
555.355107,0.9827111965680224
555.474109,0.9701360107948102
555.593112,0.97817762967956
555.712114,0.9944306665612934
555.831117,0.9716642072509063
555.950119,0.9781032910046098
556.069121,0.9696161572262265
556.188124,0.9838331099731877
556.307126,0.9807477382876528
556.426129,0.9882495817779678
556.545131,0.9935089584202177
556.664133,0.9694804204660098
556.783136,0.9991386311912827
556.902138,0.981088116805096
557.02114,0.9769419942417559
557.140143,0.9709289357813808
557.259145,0.9771569451242192
557.378148,0.9809017277704221
557.49715,0.9819331974286674
557.616152,0.9672860649769595
557.735155,0.9750485639941099
557.854157,0.9708988374508981
557.973159,0.9899052970248783
558.092162,0.9818811563483044
558.211164,0.9775928543222699
558.330167,0.9774706628526056
558.449169,0.9754747533321633
558.568171,0.9825412022359499
558.687174,0.976811092785121
558.806176,0.9761148747072046
558.925179,0.9807546035458492
559.044181,0.9888308434062247
559.163183,0.9765669205347277
559.282186,0.9836639052302973
559.401188,0.9685617885277449
559.52019,0.9717419434968948
559.639193,0.9748058071261597
559.758195,0.9808203163056397
559.877198,0.9903825463859006
559.9962,0.9761822289572543
560.115202,0.9862898520333914
560.234205,0.9667358357610447
560.353207,0.9847356987087204
560.472209,0.9723037726932322
560.591212,0.9785807218942824
560.710214,0.9894549925667648
560.829217,0.97282020309667
560.948219,0.9798350870483797
561.067221,0.9956050860243407
561.186224,0.978325345653917
561.305226,0.9814953528692087
561.424228,0.9891057765946342
561.543231,0.9922343099912913
561.662233,0.996223548795577
561.781236,0.994090927650228
561.900238,0.989195789315821
562.01924,0.9692177268686537
562.138243,0.9832842842344443
562.257245,0.9966894918559914
562.376248,0.9709609769649382
562.49525,0.9840761467651593
562.614252,0.9702058631022403
562.733255,0.9788116941983093
562.852257,0.9769761878099383
562.971259,0.9817643194426328
563.090262,0.9794559642346883
563.209264,0.9833108332685289
563.328267,0.9753606294624
563.447269,0.9816366983766542
563.566271,0.9663782096667205
563.685274,0.9812941669441325
563.804276,0.9747707147487698
563.923278,0.9783840469356772
564.042281,0.9847898606615894
564.161283,0.9793795696489055
564.280286,0.9853828826394135
564.399288,0.9828360088153966
564.51829,0.9921301308582423
564.637293,0.9880252745827341
564.756295,0.9758689247497746
564.875298,0.9766977892700888
564.9943,0.9843084161425044
565.113302,0.9820176473149392
565.232305,0.9712503664529659
565.351307,0.9803604194315393
565.470309,0.985334600061097
565.589312,0.986806803345272
565.708314,0.9885372042533057
565.827317,0.9910089632908146
565.946319,0.9888179886888163
566.065321,0.9862464562346165
566.184324,0.9727161169036493
566.303326,0.9933392815809341
566.422328,0.9762173721500704
566.541331,0.9652655829652121
566.660333,0.9829991731351237
566.779336,0.9737146357921892
566.898338,0.992134694667341
567.01734,0.9783771982713189
567.136343,0.9782382785726964
567.255345,0.9793306018946272
