nu,[0]Acetone-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
600,0.9991233245047023
600.118002,0.9998830468395541
600.236005,0.9996035685997012
600.354007,1.0000667242259622
600.472009,0.9988190978144071
600.590012,0.9994254751026689
600.708014,1.0000548745055506
600.826017,0.9999317213310944
600.944019,0.9995023038918167
601.062021,0.9995870452892778
601.180024,0.9997240280872558
601.298026,0.9999068303405624
601.416028,0.9988464658326274
601.534031,1.0001232775980586
601.652033,1.0002587034579693
601.770035,0.9998178265955902
601.888038,0.9999599588016702
602.00604,0.9990540277141552
602.124042,0.9988403728877693
602.242045,0.9993541686389087
602.360047,0.9995296706395463
602.47805,0.9995278015208099
602.596052,1.000090561100409
602.714054,0.9994231864209515
602.832057,1.0000481271580746
602.950059,1.0000800892069692
603.068061,0.9995331190228586
603.186064,1.0008950403097336
603.304066,1.0005813289061918
603.422068,0.9995814076342405
603.540071,1.0003481405868726
603.658073,0.9999485183252269
603.776076,0.9998966953362943
603.894078,0.9996930771104698
604.01208,0.9993569568409287
604.130083,0.9995316796962035
604.248085,0.9992996253768835
604.366087,0.9997390940418808
604.48409,0.9996674153185509
604.602092,0.9995486818746782
604.720094,0.9997058832608108
604.838097,0.999664066438319
604.956099,0.9995654644379361
605.074101,0.999201478987727
605.192104,0.998626244467209
605.310106,0.9995658442728848
605.428109,1.0000799691973659
605.546111,0.9995864855206892
605.664113,1.0003129389551817
605.782116,0.9993528494922768
605.900118,1.0001576524258378
606.01812,0.9998710283175626
606.136123,0.9997997600506954
606.254125,0.9998254352382014
606.372127,0.9989467550522315
606.49013,1.0001648235819143
606.608132,0.9997380543137636
606.726135,1.0005143622389125
606.844137,0.9998332639020086
606.962139,0.999714030896961
607.080142,1.000407292921247
607.198144,1.0000968376884662
607.316146,1.000306316905445
607.434149,0.9996697445463422
607.552151,0.999133945242091
607.670153,0.9992431665430268
607.788156,1.000566820582108
607.906158,1.0001591226586675
608.02416,0.9996173632241305
608.142163,1.000196899382139
608.260165,0.9998168967654438
608.378168,0.999527121842136
608.49617,1.0002669056129665
608.614172,0.9989542471809899
608.732175,0.9996456228064362
608.850177,0.9998107279142217
608.968179,1.0000237892829604
609.086182,1.0000034579059784
609.204184,1.0002151131335126
609.322186,0.999881776988891
609.440189,0.9995687130309745
609.558191,0.9999187113041051
609.676194,0.9992022983332758
609.794196,0.9999967942051385
609.912198,0.9997404736827825
610.030201,1.0000951925305215
610.148203,1.0000499322465732
610.266205,0.99980277945053
610.384208,0.9997115516092386
610.50221,0.9995117692234529
610.620212,0.999734955130599
