nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600,0.9869577963368532
600.118002,0.9869597702544198
600.236005,0.986391445120105
600.354007,0.9866153813939528
600.472009,0.987448436275558
600.590012,0.986606501895478
600.708014,0.9863766493593967
600.826017,0.9865690115607268
600.944019,0.9867663450957347
601.062021,0.986782133483563
601.180024,0.9862622363041564
601.298026,0.9863352224100956
601.416028,0.9866222877257946
601.534031,0.9860502127167035
601.652033,0.9854893097376984
601.770035,0.9841834169112734
601.888038,0.9849858533444862
602.00604,0.9849474396452778
602.124042,0.9856312304163443
602.242045,0.9855543541785841
602.360047,0.9859614721909425
602.47805,0.9855326722212945
602.596052,0.986727861958702
602.714054,0.9862139106385661
602.832057,0.9863007012814345
602.950059,0.986044296433176
603.068061,0.9855494264191326
603.186064,0.9845427094253411
603.304066,0.9857504990108291
603.422068,0.9850942077477369
603.540071,0.9859289359992104
603.658073,0.985665728113115
603.776076,0.9861409335093659
603.894078,0.9855898347739813
604.01208,0.9865542131365419
604.130083,0.9854498909536898
604.248085,0.9858747113989206
604.366087,0.9861823522983618
604.48409,0.9856125036008717
604.602092,0.9861862970356604
604.720094,0.9863076054105079
604.838097,0.9860857111633294
604.956099,0.9855297156277127
605.074101,0.986765358329883
605.192104,0.9849691087273089
605.310106,0.9848922841330263
605.428109,0.9847987238102194
605.546111,0.9856213741533215
605.664113,0.9847987238102194
605.782116,0.985339526746414
605.900118,0.9857228983832674
606.01812,0.9848617529454541
606.136123,0.9858411922285621
606.254125,0.9851621815931423
606.372127,0.9858066883906548
606.49013,0.9850508645561533
606.608132,0.9864812108258886
606.726135,0.9852656290531061
606.844137,0.9858273905484829
606.962139,0.9859969674428521
607.080142,0.9854883242488814
607.198144,0.9850705657704559
607.316146,0.9855070487049239
607.434149,0.9854686146794928
607.552151,0.985324746764363
607.670153,0.9851838553995483
607.788156,0.9841981797732483
607.906158,0.984226721934321
608.02416,0.9842651075249906
