nu,[0]HCFC-22-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
550,0.9982848725150864
550.119002,0.9990622199907707
550.238005,0.9988746337001289
550.357007,0.9988936124984672
550.47601,0.9986196535557457
550.595012,0.998420049438096
550.714014,0.9972271514658319
550.833017,0.9985958866908178
550.952019,0.9996618271933181
551.071021,0.9978143919271697
551.190024,1.0001080558376114
551.309026,0.9986490134051478
551.428029,0.9985094120314372
551.547031,0.9996125850645542
551.666033,0.9984778596325475
551.785036,0.9985182988047503
551.904038,0.9991358935551837
552.02304,0.9984011794774834
552.142043,0.9989353671241352
552.261045,0.9990516000158175
552.380048,0.9981669820332123
552.49905,0.9997789244408036
552.618052,0.9995215544915724
552.737055,0.9985913930194384
552.856057,0.9983509611611568
552.97506,0.9997448125658537
553.094062,0.997518883071303
553.213064,0.9974967383979056
553.332067,0.9988551558346815
553.451069,0.9981426270559827
553.570071,0.9980870320599906
553.689074,0.9979467108880925
553.808076,0.9989977026358915
553.927079,0.9988580525188336
554.046081,0.9992110913521903
554.165083,0.9988515599625931
554.284086,1.000227875959783
554.403088,0.9989263767462879
554.52209,0.9990876964022034
554.641093,0.9981230636522143
554.760095,0.9979802424609057
554.879098,0.9996381354887615
554.9981,0.9995027836530378
555.117102,0.9987068368569968
555.236105,0.9975020251446289
555.355107,0.9977088287488944
555.474109,0.9999624627045419
555.593112,0.9989700307827855
555.712114,0.9976780997901974
555.831117,0.9988911152675575
555.950119,0.9976598424480264
556.069121,0.9991528690182214
556.188124,0.9984852483960471
556.307126,0.9986939536218984
556.426129,0.9989580432143417
556.545131,0.9977241935831661
556.664133,0.9986525086828115
556.783136,0.9975125987221354
556.902138,1.0001359492402604
557.02114,0.9981819546502372
557.140143,0.9989936067537073
557.259145,0.9982073087938815
557.378148,0.9975605802320799
557.49715,0.9972821001957013
557.616152,0.9973082293290165
557.735155,0.9988664429617147
557.854157,0.9982398508825814
557.973159,0.9983399793609842
558.092162,0.9986327355588941
558.211164,0.9987920301836244
558.330167,0.998101105186358
558.449169,0.9987374976275287
558.568171,0.9982541258145146
558.687174,0.9982835747455956
558.806176,0.997540728974054
