nu,[0]Ethylenediamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
600,0.9764780569883117
600.119602,0.9732512579182353
600.239204,0.9737759817466214
600.358806,0.9699012662854292
600.478408,0.977983969681856
600.59801,0.9778617293258272
600.717612,0.9766030541792559
600.837214,0.974554339668618
600.956816,0.9800732159060169
601.076418,0.9796783259756723
601.19602,0.9776075183250645
601.315622,0.9722230748291064
601.435224,0.9753684323786473
601.554826,0.9689977394141752
601.674428,0.975499140505835
601.79403,0.9712328841037114
601.913632,0.9743419099782479
602.033234,0.9757947615297317
602.152836,0.9813942640540266
602.272438,0.9778685743818901
602.39204,0.9737029512866668
602.511642,0.9731539376585375
602.631244,0.9723523890972668
602.750846,0.9694048039422962
602.870448,0.971911041306146
602.99005,0.9722726594703203
603.109652,0.9703222947915742
603.229254,0.975567427835699
603.348856,0.9729311109214489
603.468458,0.9755937685118482
603.58806,0.9745445941739489
603.707662,0.9710784703513575
603.827264,0.9737681915699281
603.946866,0.9751636265132163
604.066468,0.9741665442178437
604.18607,0.9697771268684368
604.305672,0.9723689192283872
604.425274,0.9734254854863048
604.544876,0.9724117044021002
604.664478,0.9679905056175441
604.78408,0.9728104749432799
604.903682,0.9722425194850489
605.023284,0.9760221481986863
605.142886,0.968618935359083
605.262488,0.9725857816766394
605.38209,0.9728941402416813
605.501692,0.9700632533224399
605.621294,0.9676517682230799
605.740896,0.9706648790241953
605.860498,0.9725147855059688
605.9801,0.9778421722868117
606.099702,0.9723368315835017
606.219304,0.9731179316289599
606.338906,0.9719129851301724
606.458508,0.9741480352293395
606.57811,0.9765688736705219
606.697712,0.9685840657050676
606.817314,0.9766440723689073
606.936916,0.9708464103292208
607.056518,0.9777893702351764
607.17612,0.9699875913395365
607.295722,0.9726188501553774
607.415324,0.9733164679370271
607.534926,0.9700942958432239
607.654528,0.9766606754592634
607.77413,0.9707386523583523
607.893732,0.9749510640127909
608.013334,0.9701020566286338
608.132936,0.9715437283590529
608.252538,0.9699099954361068
608.37214,0.9765249290599679
608.491742,0.9762085862332578
608.611344,0.9809027086726403
608.730946,0.968799115237269
608.850548,0.9747872859917757
608.97015,0.9635913355803872
609.089752,0.9705047325316053
609.209354,0.9718187141428316
609.328956,0.9756054757073134
609.448558,0.9767436951449642
609.56816,0.971037685912082
609.687762,0.9764194700625178
609.807364,0.9712785331220078
609.926966,0.9712222006007456
610.046568,0.9769986585206701
610.16617,0.9721909919970066
610.285772,0.9722444639720323
610.405374,0.9750690402289535
610.524976,0.9687826457923007
610.644578,0.9704251544062854
610.76418,0.9748974431788565
610.883782,0.9754835326444501
611.003384,0.9696471854397065
611.122986,0.9750407636367995
611.242588,0.9745065876759077
611.36219,0.9731539376585375
611.481792,0.9676991843214078
611.601394,0.9743633457360599
611.720996,0.9720694757179327
611.840598,0.971376637208026
611.9602,0.9727248713880966
612.079802,0.9687516452436468
612.199404,0.9700419121656204
612.319006,0.9698217376423126
612.438608,0.9685695370530473
612.55821,0.9752972330818896
612.677812,0.9744130395338735
612.797414,0.9751655768424197
612.917016,0.9732483381688412
613.036618,0.9695395605754132
613.15622,0.9739902360297126
613.275822,0.9670800549859623
613.395424,0.9720237895262079
613.515026,0.9665106125508354
613.634628,0.9717613785301145
613.75423,0.9692254806414836
613.873832,0.9677475704902679
613.993434,0.9725653575896779
614.113036,0.9759128398394704
614.232638,0.9678249933927819
614.35224,0.9720840568694269
614.471842,0.9760865677862904
614.591444,0.9730215977223357
614.711046,0.9739756262857455
614.830648,0.967909197830047
614.95025,0.9741285524634632
615.069852,0.9695056272846291
615.189454,0.972025733575731
615.309056,0.9641725563762008
615.428658,0.9772488021942756
615.54826,0.974948139163986
615.667862,0.9714893234336169
615.787464,0.9680360022404704
615.907066,0.9734741579773812
616.026668,0.9724185113078552
616.14627,0.97113188113601
616.265872,0.9663782096667205
616.385474,0.9689851425254428
616.505076,0.970505703036823
616.624678,0.9698207678210599
616.74428,0.9735199123380253
616.863882,0.9699090255265963
616.983484,0.9753391717645874
617.103086,0.968040842432582
617.222688,0.9770602113750515
617.34229,0.9707852489319744
617.461892,0.9752728509558404
617.581494,0.9703455828061043
617.701096,0.9714475502908383
617.820698,0.967028801101288
617.9403,0.9704668835850958
618.059902,0.969385416040097
618.179504,0.9744948936670198
618.299106,0.9716564339683416
618.418708,0.9701340705247289
618.53831,0.972666509646683
618.657912,0.9699856513662938
618.777514,0.9664390934117474
618.897116,0.9664516572016262
619.016718,0.9721025266419696
619.13632,0.9673982766686491
619.255922,0.9686470257155166
619.375524,0.9733203612106853
619.495126,0.972667482313679
619.614728,0.9696937296216591
619.73433,0.9719538063327872
619.853932,0.9677572480143604
619.973534,0.9717283392049161
620.093136,0.9678801609896669
620.212738,0.9699808014501617
620.33234,0.9705435534973207
620.451942,0.9697625803206331
620.571544,0.9674272990522828
620.691146,0.9726441385742295
620.810748,0.9686150608910905
620.93035,0.9677988624707294
621.049952,0.9749588636525014
621.169554,0.9661579005511101
621.289156,0.9713300122484481
621.408758,0.969399956930394
621.52836,0.9726441385742295
621.647962,0.9691062732387703
621.767564,0.9700360919316081
621.887166,0.9714184073014765
622.006768,0.9728980318260254
622.12637,0.9740837435806621
622.245972,0.9691663596903719
622.365574,0.9653968680116762
622.485176,0.9721715483716036
622.604778,0.9703455828061043
622.72438,0.9654914815407286
622.843982,0.9664410262918671
622.963584,0.9741139406447652
623.083186,0.9711619866909589
623.202788,0.9746966349895153
623.32239,0.9717526327170639
623.441992,0.9768452817716722
623.561594,0.9667242350006203
623.681196,0.9694309782253538
623.800798,0.9782284962388225
623.9204,0.967198045949973
624.040002,0.975105118450885
624.159604,0.9719518624271184
624.279206,0.9703591677393579
624.398808,0.9742532488985801
624.51841,0.9760670462501507
624.638012,0.9682122008264631
624.757614,0.9736221372955371
624.877216,0.9673731246404336
624.996818,0.9690423143354036
625.11642,0.9723368315835017
625.236022,0.9644271315335263
625.355624,0.9684281362231493
625.475226,0.9682819146145888
625.594828,0.9714825230321543
625.71443,0.9626205248849132
625.834032,0.9714232644056559
625.953634,0.9726091240155067
626.073236,0.968127001901598
626.192838,0.9694629699754963
626.31244,0.972440877190822
626.432042,0.9653321885883044
626.551644,0.9701757871866632
626.671246,0.9672019147498945
626.790848,0.9700031112651569
626.91045,0.9715058388924963
627.030052,0.9699730416347894
627.149654,0.9692099731578536
627.269256,0.9635990443419069
627.388858,0.9687313016727048
627.50846,0.9684329783759357
627.628062,0.970038032005732
627.747664,0.969187681584825
627.867266,0.9699895313166591
627.986868,0.9687797394487228
628.10647,0.9675424297510107
628.226072,0.9710677885469337
628.345674,0.9676208038619292
628.465276,0.965773446218178
628.584878,0.9685404804027875
628.70448,0.9692429268571506
628.824082,0.9692758816768926
628.943684,0.9707279742919058
629.063286,0.963791783424041
629.182888,0.9645004307808589
629.30249,0.9656594916749744
629.422092,0.9653428073007816
629.541694,0.9695831908373126
629.661296,0.9675143714273956
629.780898,0.9667638715067982
629.9005,0.9676807982115743
630.020102,0.972875655428623
630.139704,0.9693989875309218
630.259306,0.9727258441134543
630.378908,0.9685007710571382
630.49851,0.9689938634309695
630.618112,0.9688824355439013
630.737714,0.9700758642267038
630.857316,0.9643027284577294
630.976918,0.9651700264026265
631.09652,0.9660545271863248
631.216122,0.9651159783945064
631.335724,0.9662351962749419
631.455326,0.9652713745760848
631.574928,0.964376018250069
631.69453,0.967108100714218
631.814132,0.9687584265288979
631.933734,0.9681889640124861
632.053336,0.9649509576718748
632.172938,0.9691605447096587
632.29254,0.9682422158699194
632.412142,0.9644724606739348
632.531744,0.9668044764420991
632.651346,0.9697800362041814
632.770948,0.9675182414926214
632.89055,0.967534689442534
633.010152,0.9686625241919156
633.129754,0.9655329985670446
633.249356,0.9657473706871513
633.368958,0.971201805148686
633.48856,0.963850576516001
633.608162,0.9650793046841323
633.727764,0.9711357656713036
633.847366,0.9679440431883816
633.966968,0.9651024668653897
634.08657,0.9671709647838246
634.206172,0.9674892163807555
634.325774,0.9629382420785789
634.445376,0.9698983565859948
634.564978,0.9625415932381144
634.68458,0.9653177087140749
634.804182,0.9650214016629591
634.923784,0.9644155584773864
635.043386,0.964717467793533
635.162988,0.9615535704583976
635.28259,0.964167735525471
635.402192,0.9644792120047891
635.521794,0.9680631076280067
635.641396,0.9644117008228678
635.760998,0.9662487236623812
635.8806,0.9674311687692184
636.000202,0.9631347015181445
636.119804,0.9673663530522616
636.239406,0.9666382003723031
636.359008,0.9678850004025704
636.47861,0.9631019554949785
