nu,[0]1-Nonene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.991073777396412
550.119002,0.9994441545393574
550.238005,0.9953446697977644
550.357007,0.986411173146287
550.47601,0.9837868709036457
550.595012,0.9811675881611037
550.714014,0.9972174784093771
550.833017,0.9980811433638731
550.952019,0.9958554126077004
551.071021,0.9941008686092092
551.190024,0.9769185479152511
551.309026,1.0
551.428029,1.0
551.547031,0.9767856960268678
551.666033,0.9978605918030349
551.785036,0.9999999790700003
551.904038,0.9927722467550006
552.02304,0.9969137722222541
552.142043,0.9994393772077165
552.261045,1.0
552.380048,0.9894569714787289
552.49905,0.997880848578654
552.618052,0.9710279755837746
552.737055,0.9860531708717789
552.856057,0.9952305103113103
552.97506,0.9973861221434019
553.094062,0.990589062675397
553.213064,0.9934467667060416
553.332067,0.9832243057224691
553.451069,0.9930272234055679
553.570071,0.9942782320245154
553.689074,0.999274693162261
553.808076,0.9934865053714779
553.927079,0.9868206187372265
554.046081,0.9787157753523781
554.165083,0.9850567748790716
554.284086,1.0
554.403088,0.9904980317234735
554.52209,1.0
554.641093,0.995723470506887
554.760095,0.9914135757254096
554.879098,1.0
554.9981,0.996648827754277
555.117102,0.9962153797959697
555.236105,0.9897904746702487
555.355107,0.9905019937235244
555.474109,0.9950988500243161
555.593112,0.9910920133216861
555.712114,0.9832302050860016
555.831117,1.0
555.950119,0.9804525776423338
556.069121,1.0
556.188124,0.9842070375967265
556.307126,0.9998989751033586
556.426129,0.9996029788337697
556.545131,1.0
556.664133,0.9919545393653859
556.783136,0.9867791731416031
556.902138,0.9879116582092238
557.02114,0.9987162247453862
557.140143,0.999716180284438
557.259145,0.996631187226145
557.378148,0.9984610853454101
557.49715,0.9980800454752192
557.616152,0.9996824404327166
557.735155,0.9936499473443452
557.854157,0.9935640003411613
557.973159,0.9959747232326945
558.092162,0.9903362966009253
558.211164,0.9976273192672933
558.330167,0.9849385751582111
558.449169,1.0
558.568171,0.9798664422728462
558.687174,0.9987173233338377
558.806176,0.9913332744780202
558.925179,0.9915149033706031
559.044181,0.9976968563147842
559.163183,1.0
559.282186,0.9878928880660348
559.401188,0.9861468503727175
559.52019,1.0
559.639193,0.9987440893167656
559.758195,0.9895668072983382
559.877198,0.9956854345968043
559.9962,0.9908540806942424
560.115202,0.9992405685141712
560.234205,0.9972777121641141
560.353207,0.9963073347191794
560.472209,1.0
560.591212,0.9999246108419054
560.710214,0.9949797438206167
560.829217,1.0
560.948219,0.9996643363476534
561.067221,0.9999615967374241
561.186224,0.9784858041678428
561.305226,0.9960497229530579
561.424228,0.9998721781699064
561.543231,0.9975659670737577
561.662233,0.9910560373345706
561.781236,0.9996193924494375
561.900238,0.9915885756648154
562.01924,0.9965206669559438
562.138243,0.9968908434691747
562.257245,1.0
562.376248,0.9973823320833389
562.49525,1.0
562.614252,0.9970371977871401
562.733255,1.0
562.852257,0.998569324393512
562.971259,0.9904012647929157
563.090262,1.0
563.209264,0.9983590478366933
563.328267,0.9948057370807555
563.447269,0.999399020660469
563.566271,1.0
563.685274,0.9973943007431357
563.804276,0.9999610627580741
563.923278,0.9872776224719024
564.042281,0.9994454538176029
564.161283,0.9967811915073614
564.280286,0.9988705383225263
564.399288,1.0
564.51829,0.9967771047128542
564.637293,0.9932996481342915
564.756295,1.0
564.875298,1.0
564.9943,1.0
565.113302,0.9934818359958756
565.232305,0.9973798386306255
