nu,[0]Bromochloromethane-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
550,1.00070875104541
550.131003,1.001426115937552
550.262005,0.9987155256442736
550.393008,1.0022979362176292
550.52401,1.0008559461129738
550.655013,1.0014770898241274
550.786016,1.0022082345665466
550.917018,1.0002716368866194
551.048021,1.0016193096682524
551.179024,1.004049778279346
551.310026,1.0000103350534062
551.441029,1.0010124121435364
551.572031,0.9979766497384996
551.703034,1.0022833027745848
551.834037,1.001413998754858
551.965039,0.9995028536182351
552.096042,1.0030613764710874
552.227045,1.000576966381108
552.358047,1.0012739107358177
552.48905,1.0025260851902806
552.620052,1.0008194755867943
552.751055,1.0010886921955748
552.882058,1.0022306842824367
553.01306,0.9999697654570731
553.144063,1.000749130458164
553.275066,1.0015273652359389
553.406068,1.0009232359201525
553.537071,1.0000240842900219
553.668073,1.0020193361185687
553.799076,1.0015735367117207
553.930079,1.0017510312679792
554.061081,1.001443440759217
554.192084,1.0003008452448565
554.323086,1.0009339558654144
554.454089,1.0012089301676532
554.585092,1.0006837036188412
554.716094,1.0010062058858207
554.847097,1.000944455717683
554.9781,1.0003825231433254
555.109102,1.0013218729048268
555.240105,1.001551502336292
555.371107,1.0009803902686647
555.50211,1.000344949481394
555.633113,0.999842992326995
555.764115,0.9995757200322123
555.895118,1.001339095789157
556.026121,1.0026818898496277
556.157123,0.9998216159123338
556.288126,1.00135311463463
556.419128,0.9989780225749988
556.550131,1.000278288715122
556.681134,1.0012980417278439
556.812136,1.0004373155945956
556.943139,1.001091795575331
557.074141,1.0002081016501447
557.205144,1.0007597884931572
557.336147,0.9996506110505397
557.467149,1.0005934960491274
557.598152,0.9998469017207379
557.729155,1.0011460562211012
557.860157,0.9996145742955778
557.99116,0.9998988151195354
558.122162,0.9990431181037391
558.253165,1.0004913706830423
558.384168,1.0003362465181915
558.51517,0.9998690085801253
558.646173,1.001034935176193
558.777176,0.9994031581809792
558.908178,1.0003965686125493
559.039181,1.0003610351575103
559.170183,1.0007481297095338
559.301186,1.0000817123382713
559.432189,0.9991225751624899
559.563191,0.9993547882386853
559.694194,0.999134095112194
559.825197,0.9998607097017945
559.956199,0.9998183964919137
560.087202,1.0007249326367422
560.218204,1.0001043454436072
560.349207,0.9999198292138493
560.48021,1.0001834868316497
560.611212,1.0010250249793902
560.742215,0.99962695959688
560.873217,1.0002509214755282
561.00422,1.0014919117947392
561.135223,0.9988586518338449
561.266225,1.0009440953777438
561.397228,0.9995787787385955
561.528231,0.9999756692959963
561.659233,1.001270406283263
561.790236,1.0010912950295583
561.921238,1.0006661617872714
562.052241,0.9993133958205994
562.183244,0.9992777509475005
562.314246,0.9996724836451948
562.445249,1.0003408880891438
562.576252,0.9992373609570945
562.707254,0.9990089314331749
562.838257,0.9984682742911047
562.969259,0.9992381303701586
563.100262,0.9989107936163594
563.231265,1.0001328488236234
563.362267,0.9985590391824396
563.49327,0.9996763523851925
563.624272,1.0004283016949898
563.755275,0.9976180413763664
563.886278,0.9993377793649354
564.01728,0.9986829680488293
564.148283,0.9981548044703148
564.279286,0.9992470735914463
564.410288,1.0000288134150985
564.541291,0.9997337154600232
564.672293,0.999663766539144
564.803296,0.9988810265182416
564.934299,0.9981277548416377
565.065301,0.9993439652849351
565.196304,0.999036394566179
565.327307,0.9987173233338377
565.458309,0.9984715692418465
565.589312,0.9975393324180111
565.720314,0.9982526284344488
565.851317,0.9984236437567439
565.98232,0.9982071091524397
566.113322,0.9977850566152783
566.244325,0.9984770608505793
566.375328,0.9979471100668567
566.50633,0.9989446572662486
566.637333,0.9974567395806775
566.768335,0.9980949169786892
566.899338,0.998768858477317
567.030341,0.9995621258948603
567.161343,0.9969311186728044
567.292346,0.9971360090694589
567.423348,0.9980177672234832
567.554351,0.998325703201354
567.685354,0.9964190270316385
567.816356,0.9990052450970192
567.947359,0.9975773393906044
568.078362,0.9978277627296057
568.209364,0.9969324146841011
568.340367,0.9977965312094081
568.471369,0.997821276870227
568.602372,0.9976550536922757
568.733375,0.9968651240171955
568.864377,0.997404274736013
568.99538,0.9964578881314793
569.126383,0.9962726638272081
569.257385,0.99595739342328
569.388388,0.9965613258285909
569.51939,0.9970426815068081
569.650393,0.9967466038001164
569.781396,0.9978250685982835
569.912398,0.995011583681854
570.043401,0.997228148693482
570.174403,0.996447525023331
570.305406,0.9965147875013531
570.436409,0.9965972026821003
570.567411,0.995440526104873
570.698414,0.9971854682420861
570.829417,0.9953625861630675
570.960419,0.995511901749381
571.091422,0.9954556569158637
571.222424,0.9961909728181515
571.353427,0.9955608821398548
571.48443,0.9951359679036662
571.615432,0.9968063107098881
571.746435,0.9950925809213087
571.877438,0.995183636058172
572.00844,0.99526952411198
572.139443,0.9959547043419481
572.270445,0.9946188306431677
572.401448,0.9950467082107023
572.532451,0.9943714996968648
572.663453,0.9945588569359054
572.794456,0.9948242406395477
572.925459,0.995988866174179
573.056461,0.9949949671271552
573.187464,0.9949531782161091
573.318466,0.9950272054863487
573.449469,0.9942480064256932
573.580472,0.9956660189201331
573.711474,0.9942815131480949
573.842477,0.9950527780141353
573.973479,0.994164393684318
574.104482,0.9937776395666285
574.235485,0.9933134550953587
574.366487,0.993515217546372
574.49749,0.9934440844033926
574.628493,0.9935737373160758
574.759495,0.9932864373368233
574.890498,0.9925400644812601
575.0215,0.9925061201915054
575.152503,0.9930266275894126
575.283506,0.9917644990820841
575.414508,0.9931810552364412
