nu,[0]HCFC-124-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.9900349831130418
500.120002,0.9906748514028231
500.240005,0.9891582005900174
500.360007,0.985115880058702
500.48001,0.98279276498238
500.600012,0.9749276654680382
500.720014,0.9772703019044198
500.840017,0.9721384951008678
500.960019,0.9822356794333129
501.080022,0.9947145175771434
501.200024,0.9919190280285334
501.320026,0.9950370563044445
501.440029,0.9719781054816836
501.560031,0.9876587851938492
501.680034,0.9854203279004092
501.800036,0.9985087130750934
501.920038,0.9922311348465794
502.040041,0.9811253988618892
502.160043,0.991907422643797
502.280046,0.984397992284026
502.400048,0.9894352036648032
502.52005,0.9737886409166685
502.640053,1.0
502.760055,0.9866923403950635
502.880058,0.9941625047737644
503.00006,1.0
503.120062,0.9962055173125292
503.240065,0.9769908425626659
503.360067,0.9826021216789718
503.48007,0.9717331978587588
503.600072,0.9729204087380909
503.720074,0.9926714854856759
503.840077,0.98343473823937
503.960079,0.9638929868743887
504.080082,0.972440877190822
504.200084,0.9779761458413939
504.320086,0.998661796194329
504.440089,0.987332911566841
504.560091,0.9791504216409702
504.680094,0.9925339107519369
504.800096,0.9908045392287547
504.920098,0.9944055077836893
505.040101,0.9801545653588928
505.160103,0.9882228993994736
505.280106,0.9895757134396815
505.400108,0.9858825984281598
505.52011,0.9704105981381416
505.640113,0.9883237032761226
505.760115,0.9854390510645088
505.880118,0.9983090313013213
506.00012,0.9662970373063954
506.120122,0.9828143866610471
506.240125,0.9920695135591242
506.360127,0.9825903305242587
506.48013,0.9877763235826827
506.600132,0.9842336115454883
506.720134,0.9806712429474235
506.840137,0.9915703306028782
506.960139,0.993958424161126
507.080142,0.9800712557615453
507.200144,0.9943172084951446
507.320146,0.996050619398212
507.440149,0.9933345135638257
507.560151,0.9811087198718804
507.680154,0.970264077200432
507.800156,0.9931316953645989
507.920158,0.981983277298762
508.040161,0.9845407403418912
508.160163,0.9850764762115818
508.280166,0.9956694041903523
508.400168,0.9635325583016421
508.52017,0.9996109856856975
508.640173,0.9727988012876226
508.760175,0.987495834938058
508.880178,0.9843379458379319
509.00018,0.9934364349133933
