nu,[0]Benzaldehyde-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
600,1.0035661436131178
600.119202,0.861431274868071
600.238404,0.852842833442229
600.357606,0.8517348580987673
600.476808,0.7895042990653494
600.59601,0.9389509852669691
600.715212,1.1679265533231002
600.834414,0.9925216034077492
600.953616,0.9275115794465388
601.072818,1.0086278068191379
601.19202,0.941670361839556
601.311222,0.8965421238820825
601.430424,0.9913331753446977
601.549626,1.0446030951334293
601.668828,0.8912324490126131
601.78803,0.9270813139030013
601.907232,0.9136588743543592
602.026434,0.9814580567544304
602.145636,0.9602592297331739
602.264838,1.0369606681163754
602.38404,0.9761051136072632
602.503242,0.9710240914796405
602.622444,0.9263723679042845
602.741646,0.9133400630430193
602.860848,1.0014729837764766
602.98005,0.9521516125410026
603.099252,0.8903238553761499
603.218454,1.0006963523407948
603.337656,0.9718235732485501
603.456858,0.972083084785856
603.57606,0.9315643585712772
603.695262,0.8934097113680652
603.814464,0.9800222534238259
603.933666,1.0037271285331988
604.052868,0.9591968109231657
604.17207,0.8985706003971309
604.291272,0.9716544906574169
604.410474,0.9493288668428895
604.529676,0.9179338039027748
604.648878,0.823098007280225
604.76808,0.9360849950030753
604.887282,0.9552005123157346
605.006484,0.9871690279062411
605.125686,1.0109434462030695
605.244888,0.9983807124630917
605.36409,0.9538574902325012
605.483292,0.9497257692560552
605.602494,1.0138743679420341
605.721696,0.9020818682604823
605.840898,0.9459439132567347
605.9601,0.9878267014598104
606.079302,0.8643132655714107
606.198504,0.8120527320343723
606.317706,0.8824351299634815
606.436908,0.934650141434797
606.55611,0.9658275310455272
606.675312,0.9394647319528189
606.794514,0.8556789770425418
606.913716,0.916196882661827
607.032918,0.8998024857684772
607.15212,0.962539668156853
607.271322,0.9554603621930657
607.390524,1.0172470419433695
607.509726,1.0163492092568005
607.628928,0.9507301601212182
607.74813,0.9347090262485596
607.867332,0.9096476065678403
607.986534,1.039126025752887
608.105736,0.9690374691359449
608.224938,0.9991575650477414
608.34414,0.9055416554600275
608.463342,0.9783018661273768
608.582544,0.9158661952798497
608.701746,0.9277045219203854
608.820948,0.892695269413856
608.94015,0.9319193522138876
609.059352,0.9775664596715327
609.178554,0.9851779443141492
609.297756,0.974346781699977
609.416958,0.9289549819071428
609.53616,0.9718673062933324
609.655362,0.9151182381803856
609.774564,0.9795137538413548
609.893766,0.9054628767629256
610.012968,0.9020548062103673
610.13217,0.8799677675190158
610.251372,1.0023104650201369
610.370574,0.890306049077106
610.489776,0.9423438969083644
610.608978,0.9235955681176927
610.72818,0.9902004317815714
610.847382,0.8870623553402194
610.966584,0.9941625047737644
611.085786,0.9152637535484215
611.204988,0.9298360487897082
611.32419,0.9770299229779714
611.443392,0.9987185217953447
611.562594,0.965445139061843
611.681796,0.9622981010180899
611.800998,0.9376983220403854
611.9202,0.8298253682727459
612.039402,0.8548664680172459
612.158604,0.9858293622052356
612.277806,0.881526689706665
612.397008,0.9010901237648693
612.51621,0.9003245225862656
612.635412,0.9661559682372413
612.754614,0.9761324449330809
612.873816,0.9708852449623215
612.993018,0.9479903083868454
613.11222,0.9792062348056638
613.231422,0.9893105426829483
613.350624,0.9952892306436514
613.469826,1.0180876351172023
613.589028,0.9190718287466173
613.70823,0.9504402316387224
613.827432,0.8187635029630983
613.946634,1.0170466640139806
614.065836,0.8633285098660605
614.185038,0.9400323400513081
614.30424,0.9378943214709188
614.423442,0.8786751651962355
614.542644,0.8926060043502422
614.661846,0.9009369514638438
614.781048,0.9409756654870026
614.90025,0.9874385618405676
615.019452,0.9077157500474042
615.138654,0.9146415857570319
615.257856,0.9085621354807945
615.377058,1.065517929791868
615.49626,0.8635875472726885
615.615462,0.9376636278443164
615.734664,0.8841487157563921
615.853866,0.9087247826595337
615.973068,0.8949655974942253
616.09227,0.9113493277075552
616.211472,0.9241887068495847
616.330674,0.9217078234066898
616.449876,0.8893895059472984
616.569078,0.89847176306724
616.68828,0.9240842794259712
616.807482,0.9549751115931595
616.926684,0.9645216500237469
617.045886,0.9785777861565202
617.165088,0.9811626823354275
617.28429,0.9275598113026875
617.403492,0.9754796307181234
617.522694,1.0175247882964722
617.641896,0.9777336378294617
617.761098,0.9198929264552496
617.8803,0.9166972627510938
617.999502,0.9402307078021206
618.118704,0.8991458696479094
618.237906,0.892052760150969
618.357108,0.9281694183326946
618.47631,0.9386777902820546
618.595512,0.9322297330337131
618.714714,1.0015401848682595
618.833916,0.8759642494576029
618.953118,0.9134332284808062
619.07232,0.929636155528514
619.191522,0.9023796044007695
619.310724,0.9126626160801461
619.429926,0.8977981618769609
619.549128,0.9112755114016116
619.66833,0.8560298773527772
619.787532,0.9193641400631947
619.906734,0.9992604635919452
620.025936,0.9489624966142913
620.145138,0.958877451561413
620.26434,0.9577839963240234
620.383542,0.9347781972757984
620.502744,0.8808746012587647
620.621946,0.9444807248790046
620.741148,0.88068083016209
620.86035,0.9956918070039773
620.979552,0.8621465596283236
621.098754,0.8979508005383987
621.217956,0.9521630384289081
621.337158,0.952000232469643
621.45636,0.9229068227578376
621.575562,0.8754826015857076
621.694764,0.8860516804492754
621.813966,0.866676064539537
621.933168,1.0097317484678192
622.05237,0.9066189848337619
622.171572,0.9028760496931307
622.290774,0.9099896983771396
622.409976,0.8492259427370205
622.529178,0.8606219099308118
622.64838,0.9016309400677945
622.767582,0.9113092292193092
622.886784,0.9139467222334416
623.005986,0.9430499768810893
623.125188,0.8569206115267097
623.24439,0.88068083016209
623.363592,0.930155037257838
623.482794,0.8802317974517813
623.601996,0.9490203850921655
623.721198,0.93423431465018
623.8404,0.9166404292826589
623.959602,0.8788684949980771
624.078804,0.9031017969227819
624.198006,0.9181761704179774
624.317208,0.8934275797409756
624.43641,0.9681802503510215
624.555612,0.9411714087820209
624.674814,0.9069635655141816
624.794016,0.9195572268060064
624.913218,0.8785082327739305
625.03242,0.9366730410070562
625.151622,0.8997215071888488
625.270824,0.9776915961869368
625.390026,0.9580857458059139
625.509228,0.9185095288687375
625.62843,0.870793860552258
625.747632,0.947548647818042
625.866834,0.8829912392513908
625.986036,0.914633354019803
626.105238,0.905518111683056
626.22444,0.8571262971547643
626.343642,0.9055742555464221
626.462844,0.8693147685737156
626.582046,0.9520221287267959
626.701248,0.8301656664300929
626.82045,0.9336291269162893
626.939652,0.9671806365418311
627.058854,0.9562126054670136
627.178056,0.869132231639364
627.297258,0.9329478263585993
627.41646,0.8736809637505303
627.535662,0.9340923218260813
627.654864,0.8740742086576861
627.774066,0.8878699494831833
627.893268,0.9470806743849748
628.01247,0.9590423926676102
628.131672,0.95093649095205
628.250874,0.9329804801039591
628.370076,0.9596439008009067
628.489278,0.8152829891983737
628.60848,0.8907780363486953
628.727682,0.9208979982002355
628.846884,0.8641922701841055
628.966086,0.8961029258536849
629.085288,0.9568228637609972
629.20449,0.8826999002160226
629.323692,0.9378277333380011
629.442894,0.9065800010555713
629.562096,0.9162353637389957
629.681298,0.9150340511751347
629.8005,0.9212387935028127
629.919702,0.8877456563909751
630.038904,0.8570748711197315
630.158106,0.8927309779387983
630.277308,0.8826910732611553
630.39651,0.9115534928226009
630.515712,0.918640885123114
630.634914,0.9358023400176354
630.754116,0.884944807788251
630.873318,0.8977263408968883
630.99252,0.8968290632695782
631.111722,0.857709341249355
631.230924,0.9384985199449728
631.350126,0.9278399766685418
631.469328,0.9753801368700626
631.58853,0.8889627014257235
631.707732,0.9331614958750614
631.826934,0.9033366339174683
631.946136,0.8802053908939581
632.065338,0.8432852528371663
632.18454,0.9012343097192405
632.303742,0.9390073240162307
632.422944,0.8368503648855004
632.542146,0.8948582080660206
632.661348,0.9129437594597567
632.78055,0.9376964466456167
632.899752,0.9368257311566495
633.018954,0.8283495929469142
633.138156,0.9251531385345227
633.257358,0.9170741027614019
633.37656,0.9013244376565341
633.495762,0.8636480005168364
633.614964,0.9207902594372867
633.734166,0.9634863098488153
633.853368,0.9131071910193882
633.97257,0.8966586819342964
634.091772,0.8587993241053525
634.210974,0.8698800068558291
634.330176,0.8522886657245111
634.449378,0.8764373978908895
634.56858,0.9212452421969376
634.687782,0.9439887785844803
634.806984,0.8602003084957328
634.926186,0.9053261621907442
635.045388,0.8918119384181252
635.16459,0.8475207129221912
635.283792,0.8827440363144267
635.402994,0.880090971630555
635.522196,0.9182863581695605
635.641398,0.922005583119255
635.7606,0.8437238752005725
635.879802,0.8338597968899479
635.999004,0.8687412101215662
636.118206,0.8954669185856265
636.237408,0.8303898414222911
636.35661,0.8969097815175392
636.475812,0.8277451184041148
