nu,[0]Dimethyldisulfide-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
600,1.0015193530490658
600.119602,0.9990686539721849
600.239204,1.0026030821502687
600.358806,0.9952632539337292
600.478408,1.0001211573389577
600.59801,1.0000657341603953
600.717612,0.9975522007583999
600.837214,0.9977841586091314
600.956816,0.9985741175377726
601.076418,1.0010606621046165
601.19602,1.003880208592358
601.315622,1.0006712852111357
601.435224,0.9968113944350362
601.554826,0.9990745285131414
601.674428,0.9997019844154689
601.79403,0.9994165902496884
601.913632,0.9976120556860752
602.033234,0.998410364810587
602.152836,0.9983009450309173
602.272438,0.9998968953156534
602.39204,1.0018822692489755
602.511642,0.9985086132242271
602.631244,0.9958781183699525
602.750846,0.9991375521221437
602.870448,0.9977777728109509
602.99005,0.9987290083948781
603.109652,1.0019248501502562
603.229254,0.998141030029057
603.348856,1.0017961110786744
603.468458,1.0014249142269338
603.58806,0.9996958262702119
603.707662,1.0005426872014456
603.827264,1.0003487207889625
603.946866,0.9992293970670638
604.066468,0.9962688779982787
604.18607,0.9990407104127258
604.305672,0.9983136235334275
604.425274,0.999143516991135
604.544876,0.9988532580116884
604.664478,1.003105913384915
604.78408,0.9977117221086932
604.903682,0.9988602500089665
605.023284,1.0016501600180832
605.142886,0.9991205669281322
605.262488,0.9994224668365163
605.38209,0.9968823699330177
605.501692,0.9979014051358666
605.621294,0.9991254026833787
605.740896,1.0011748896427197
605.860498,0.9993880773011078
605.9801,1.0002642148986094
606.099702,1.0018850745232566
606.219304,0.9998827668723402
606.338906,0.9998634893184312
606.458508,1.000025728330968
606.57811,0.9974228266280553
606.697712,0.9954071794058088
606.817314,0.9990580039570982
606.936916,1.0008033925470492
607.056518,0.9985398670329405
607.17612,0.9972224645092344
607.295722,1.0034116063266778
607.415324,0.9997994901047965
607.534926,0.9985857010647203
607.654528,0.9956660189201331
607.77413,1.0008348482920015
607.893732,1.002788781436306
608.013334,0.9999818031655644
608.132936,0.999797030601076
608.252538,0.9980218591047172
608.37214,0.9960372724093371
608.491742,1.0008571471408296
608.611344,0.998825989689959
608.730946,0.9952187666605763
608.850548,0.9996336471236095
608.97015,0.9988472649101197
609.089752,0.9975611787686076
609.209354,0.9963758830218427
609.328956,1.0001981596310263
609.448558,0.9996635566097751
609.56816,0.9974291104116568
609.687762,1.002425737351646
609.807364,1.0001601828278994
609.926966,1.0009194524374714
610.046568,0.9991009344018822
610.16617,1.0011855021527962
610.285772,0.9970807692647131
610.405374,0.9992534088379755
610.524976,1.0012454749605428
610.644578,0.9996915375843165
610.76418,0.9969482660355125
610.883782,1.0011816976551164
611.003384,1.0014976203149057
611.122986,1.0003318550517086
611.242588,0.9958208570244257
611.36219,0.9957846098049334
611.481792,1.0002981544392018
611.601394,0.9988694395655384
611.720996,0.9986920561051891
611.840598,0.9963851493606432
611.9602,0.9982818776649611
612.079802,0.9973134153452927
612.199404,0.9962247442645528
612.319006,0.998401578838035
612.438608,1.0025095436463431
612.55821,0.9996372658039618
612.677812,0.9990241564453042
612.797414,1.0021880903834814
612.917016,1.0004802052616486
613.036618,0.9981795590164207
613.15622,1.000980910778603
613.275822,0.9987513801752292
613.395424,0.9979962102725272
613.515026,1.002378223497783
613.634628,0.9989908095755244
613.75423,1.0028413289451859
613.873832,0.9992358920792535
613.993434,0.9983599463602407
614.113036,1.002005107545019
614.232638,1.001570732309744
614.35224,1.0004377457827338
614.471842,1.0005212958274676
614.591444,1.005860707136668
614.711046,1.0022022213351789
614.830648,0.9970256322227261
614.95025,0.9986730811363859
615.069852,0.9970525522782152
615.189454,0.9966468344586148
615.309056,0.999345644184207
615.428658,0.9991148020190928
615.54826,1.0019630242142583
615.667862,0.9991041714941538
615.787464,0.9990174929764034
615.907066,0.9993984510031896
616.026668,0.9973449309471615
616.14627,0.9999496802660803
616.265872,0.9990973776088868
616.385474,1.001456459608569
616.505076,0.9976617380035279
616.624678,1.0012822213437658
616.74428,1.0022299827212033
616.863882,0.9990792941100083
616.983484,0.9994246755626086
617.103086,0.9994920290609455
617.222688,1.0013427006163906
617.34229,1.004588896886815
617.461892,1.0012320583610697
617.581494,0.9978367432198825
617.701096,0.9964658598264711
617.820698,0.9996042783184869
617.9403,0.9993794226378331
618.059902,1.000818054424148
618.179504,1.0003140493031604
618.299106,0.999950252237461
618.418708,0.9994776564689067
618.53831,1.001538281943716
618.657912,0.9984376217856024
618.777514,0.9991700745787654
618.897116,0.999703683910287
619.016718,0.9977438489433843
619.13632,1.0022366976845827
619.255922,0.9977516313757575
619.375524,0.9988512603071701
619.495126,1.0037554340373291
619.614728,1.0004042316796145
619.73433,0.9979349351863808
619.853932,1.002445485333189
619.973534,0.9995539595056514
620.093136,0.9982560224991553
620.212738,0.9989699308857873
620.33234,1.001111116833435
620.451942,1.0010948989647075
620.571544,1.000609635752385
620.691146,0.9994280236408798
620.810748,1.0026462952743453
620.93035,0.9997764549899101
621.049952,0.9988881185987067
621.169554,1.00104124171615
621.289156,0.9973787415134064
621.408758,0.9991588439702432
621.52836,1.0014149000278625
621.647962,1.001198417529078
621.767564,0.9987275103024891
621.887166,0.9976026781768261
622.006768,0.9999862910939679
622.12637,0.9999601257949973
622.245972,1.0020371722214925
622.365574,1.0001715347103963
622.485176,1.0007431860259839
622.604778,1.0005842806254657
622.72438,0.9986062721420437
622.843982,1.0051228772926488
622.963584,0.9965436868492292
623.083186,0.9994447242226878
623.202788,1.0015285670694984
623.32239,0.9993005647189729
623.441992,1.0004829465811667
623.561594,0.9990820415818449
623.681196,1.0037895623022637
623.800798,1.0022867105436075
623.9204,1.0000294894348047
624.040002,0.9999336851989237
624.159604,0.9999389458638797
624.279206,0.9978594941569876
624.398808,1.0030484370627903
624.51841,1.001241670234967
624.638012,1.0048905197449862
624.757614,1.0016008800425076
624.877216,0.9985388684935728
624.996818,0.9982733923050637
625.11642,1.0011465567942546
625.236022,1.00194719332354
625.355624,1.0023404345510831
625.475226,1.0013530144993235
625.594828,0.9996424839241086
625.71443,1.0000666982242277
625.834032,1.0022582460052265
625.953634,1.001759946891832
626.073236,0.9986569027635166
626.192838,0.9977790699228987
626.31244,0.9997948010561838
626.432042,1.000145360563823
626.551644,0.9968615353092087
626.671246,0.9996587682328071
626.790848,1.0017285922961963
626.91045,0.9992925103888802
627.030052,0.9997472319512275
627.149654,1.0006819624307117
627.269256,1.0019837650635266
627.388858,1.0018292710787462
627.50846,1.0010227226244803
627.628062,1.0009318438969956
627.747664,1.000328413916046
627.867266,1.0008518826460813
627.986868,0.9993919249526121
628.10647,0.9987183220516603
628.226072,1.0008015610785168
628.345674,1.0004898099177215
628.465276,0.9998477615894431
628.584878,0.9995744905548328
628.70448,1.0031539633089526
