nu,[0]Acetylene-PNNL(x-sec)-X=0.01-T=278.22K-P=1.0atm-L=15cm
600,1.0004159064651204
600.121002,1.0005039769537323
600.242005,1.0006902481116633
600.363007,0.9998883362348624
600.48401,1.0005737245169888
600.605012,1.0000676022849315
600.726015,1.000209802005363
600.847017,1.0009461272963198
600.968019,0.9994433849676546
601.089022,1.0001199171894914
601.210024,1.0000080013320105
601.331027,0.9994430851346842
601.452029,1.0004297122998898
601.573031,1.0010430435920068
601.694034,1.0000996309628347
601.815036,1.0007267739723122
601.936039,0.999766497266008
602.057041,1.0002168335049868
602.178044,1.0006104662587272
602.299046,1.000230736615599
602.420048,1.000524457479758
602.541051,1.000429462192493
602.662053,1.0009981578282785
602.783056,1.0004151261410177
602.904058,1.0008396423024064
603.025061,1.0007894614607855
603.146063,1.0001705745461837
603.267065,1.0005500912447256
603.388068,0.9999083771976254
603.50907,0.9994595760816388
603.630073,1.0000951925305215
603.751075,1.0011184249712626
603.872077,0.9999910073404342
603.99308,0.9998683086720643
604.114082,1.0004914307125263
604.235085,1.0012777155839077
604.356087,1.0013081548891365
604.47709,1.0006797609328162
604.598092,1.0002845604796542
604.719094,1.0004902501333346
604.840097,1.0012719081899988
604.961099,0.9997269972720285
605.082102,1.0007161463104057
605.203104,1.0009165397661028
605.324106,0.9998346336745184
605.445109,0.9997757751421519
605.566111,1.0005030765005583
605.687114,0.9998932556975785
605.808116,0.9997360348449336
605.929119,1.0002241351145222
606.050121,1.000406122445399
606.171123,1.0015524037330499
606.292126,0.999758559151534
606.413128,0.9998833668021804
606.534131,0.9994233363344407
606.655133,1.0014401360013152
606.776136,1.0012723086988422
606.897138,1.000556905014048
607.01814,1.0004275013526687
607.139143,1.000391286532612
607.260145,0.9996425638955105
607.381148,0.9994577270831334
607.50215,1.0001367393479725
607.623152,1.0005903942140975
607.744155,1.0006717054931638
607.865157,1.0003664571290143
607.98616,1.0004556237649902
608.107162,1.000648209997357
608.228165,1.0002480707644643
608.349167,0.9997923215681518
608.470169,1.000526458530674
608.591172,1.0007545745482416
608.712174,0.9996527203155543
608.833177,1.0007729085399861
608.954179,0.9990963984939366
609.075182,0.9997495113775149
609.196184,1.0013008453662857
609.317186,1.000299344794714
609.438189,1.0001364293056314
609.559191,1.0014984215133225
609.680194,1.0003780714510024
609.801196,0.9998459818620115
609.922198,0.9998718282147052
610.043201,0.9994913893862516
610.164203,1.000505987968747
610.285206,1.0002989646810352
610.406208,0.9997599388192976
610.527211,1.0000092457427416
610.648213,1.000356383489512
610.769215,1.000788170443213
610.890218,1.0006090553989644
611.01122,0.999332322995556
611.132223,1.0004605460187679
611.253225,1.0010098095146482
611.374227,0.9996355964111219
611.49523,1.0004178172613265
