nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
880,0.9994191287710517
880.0164,0.9997021343707778
880.032801,0.9994958271378722
880.049201,0.9993988007927087
880.065601,0.9997102119966571
880.082002,0.9996985154556016
880.098402,0.9997697865031947
880.114802,0.9996432236598205
880.131203,0.9998831468278638
880.147603,0.9997677469749106
880.164003,0.9997125013356638
880.180404,0.9994467730864726
880.196804,0.9999098570631187
880.213204,0.9995283612565354
880.229605,0.9996737832202682
880.246005,0.9994255350681992
880.262405,0.999588134839751
880.278806,0.999473598597859
880.295206,0.9995590872306163
880.311606,0.9997997100607086
880.328007,0.9999029427103635
880.344407,0.9990035667696172
880.360807,0.9999085581810581
880.377208,0.9998901960288974
880.393608,0.999520425032854
880.410008,0.9988744339252221
880.426409,0.9997048635613299
880.442809,0.999184113016933
880.459209,0.9987150262866356
880.47561,0.99989199583287
880.49201,0.998954846553718
880.50841,0.9993909655368247
880.52481,0.9998291945889055
880.541211,0.9997170800294052
880.557611,0.9992326745448612
880.574011,0.9995514006507904
880.590412,0.9993961024195893
880.606812,0.999322849370039
880.623212,0.9994437847450887
880.639613,0.9994426753631033
880.656013,0.9998721181775775
880.672413,0.9998585600035795
880.688814,0.9988993062082855
880.705214,0.9991778881192995
880.721614,0.999346283765624
880.738015,0.9999550020124398
880.754415,0.9996678751656677
880.770815,0.9986469162444217
880.787216,0.9985175998421858
880.803616,0.999167676573464
880.820016,0.9985154031058826
880.836417,0.9987690582311086
880.852817,0.9985985829033518
880.869217,0.9987336025588833
880.885618,0.9988769311144284
880.902018,0.9998136473658096
880.918418,0.999989364056562
880.934819,0.9997793443480402
880.951219,0.9997056733225974
880.967619,0.9999942999162456
880.98402,0.9997906719121821
881.00042,0.9992317252742713
881.01682,0.9999478023623442
881.033221,0.9996033186988402
881.049621,0.9994282635036342
881.066021,0.9999595298189399
881.082422,0.9999098190665449
881.098822,0.9992874240029472
881.115222,0.9998596098556187
881.131623,0.9999356700692588
881.148023,0.9993382990207158
881.164423,0.9993157841824695
881.180824,0.9994310619066898
881.197224,0.999760928582127
881.213624,0.9998869563899104
881.230025,0.999791391761725
881.246425,0.9989159879659915
881.262825,0.9989124917661519
881.279226,0.9986015787035941
881.295626,0.9986776750431251
881.312026,0.9990784448929693
881.328427,0.9987450880613543
881.344827,0.9998341837490344
881.361227,0.9994374083140828
881.377628,0.9992770114822385
881.394028,0.9999788212242734
881.410428,0.9994504410628605
