nu,[0]Myrcene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
520,0.8648579544877139
520.119602,0.9333518802387647
520.239205,0.903318567365456
520.358807,0.873750861023484
520.47841,0.9241961003888136
520.598012,0.8295764580006717
520.717614,0.9029753715211973
520.837217,0.9075941242860058
520.956819,0.8904663185897632
521.076422,0.8341516988987311
521.196024,0.9112454398059194
521.315626,0.8621810461804352
521.435229,0.9017391422726052
521.554831,0.9563579608297723
521.674433,0.8439517114033799
521.794036,0.941388844490307
521.913638,0.961664155477517
522.033241,0.9027586834356427
522.152843,0.8893272508608355
522.272445,0.8951893668636046
522.392048,0.8869115675571362
522.51165,0.8920973639040611
522.631253,0.8808834100488212
522.750855,0.9434055737481711
522.870457,0.908986533087192
522.99006,0.9103346498369971
523.109662,0.8982112440330362
523.229265,0.9719197885448803
523.348867,0.8220451158251922
523.468469,0.9916816902037295
523.588072,0.8975916920446702
523.707674,0.8288218868058564
523.827277,0.9259565200759191
523.946879,0.8874438741736863
524.066481,0.9306053412606489
524.186084,0.9312895876162073
524.305686,0.9344052951740018
524.425289,0.8875503738284386
524.544891,0.8029843938750592
524.664493,0.9131081041270358
524.784096,0.8947150422063043
524.903698,0.9269329927587848
525.0233,0.8609748372590418
525.142903,0.9668895589796028
525.262505,0.880892218926966
525.382108,0.955604647601031
525.50171,0.8657925056453473
525.621312,0.8605702741653044
525.740915,0.9226290696081336
525.860517,0.8657492171022876
525.98012,0.8911878885041844
526.099722,0.9106560546930091
526.219324,0.8768581888236218
526.338927,0.9089638087079208
526.458529,0.881526689706665
526.578132,0.8836979148753521
526.697734,0.8896118811195236
526.817336,0.8813680291823933
526.936939,0.8617414459544692
527.056541,0.8382742204401152
527.176144,0.8916068452589064
527.295746,0.9014957055696253
527.415348,0.8768143470102351
527.534951,0.9219613279133986
527.654553,0.9031650162612176
527.774155,0.8942767392286224
527.893758,0.8951714632553041
528.01336,0.8785345884162464
528.132963,0.8325516641617237
528.252565,0.8500840942327402
528.372167,0.9040505518187044
528.49177,0.8583185311184546
528.611372,0.941692020506952
528.730975,0.9016670060267117
528.850577,0.8841133505150714
528.970179,0.9114559618168707
529.089782,0.8989480793143213
529.209384,0.9102190446775508
529.328987,0.8947687267193559
529.448589,0.9378342981551113
529.568191,0.9190948058295483
529.687794,0.8617155940988703
529.807396,0.900891905742423
529.926999,0.9352363508309176
530.046601,0.9318876674945555
530.166203,0.8650914976623353
530.285806,0.9058495919691241
530.405408,0.8587306229075087
530.525011,0.8896385698762865
530.644613,0.8625259875825887
530.764215,0.9603754281298328
530.883818,0.8450242109699341
531.00342,0.9108199875363672
531.123022,0.9283225789221207
531.242625,0.8755876658016246
531.362227,0.8915444349641242
531.48183,0.9220203353266022
531.601432,0.9886321083802393
531.721034,0.9055552386867334
531.840637,0.8411964965384976
531.960239,0.9761109702555146
532.079842,0.8619913872135269
532.199444,0.8374531141119006
532.319046,0.909321101688215
532.438649,0.8823115976927473
532.558251,0.9268588410854706
532.677854,0.895959560855054
532.797456,0.8805223218788343
532.917058,0.8535083103545701
533.036661,0.9235623192757232
533.156263,0.9117832332488701
533.275866,0.9212738012421086
533.395468,0.882805830559742
533.51507,0.9237470502120562
533.634673,0.9770035435261752
533.754275,0.9237636778086079
533.873877,0.8704369082496539
533.99348,0.8651780111377032
534.113082,0.9462305776899199
534.232685,0.9307719345263871
534.352287,0.9067395731776919
534.471889,0.9761910146368504
534.591492,0.904475555446088
534.711094,0.8727466250796498
534.830697,0.9073400335055751
534.950299,0.9236149638282775
535.069901,0.8932221150269831
535.189504,0.9010450703850249
535.309106,0.9309581075299721
535.428709,0.907319164924794
535.548311,0.9123231687280863
535.667913,0.8801789851283197
535.787516,0.9066398373102157
535.907118,0.9329543570162411
536.026721,0.8877367789787983
536.146323,0.8839542244337557
536.265925,0.8729910283495331
536.385528,0.8921330485123047
536.50513,0.9005676430271464
536.624732,0.9108974105257382
536.744335,0.9255769557186984
536.863937,0.9048374180359595
536.98354,0.9015407814817923
537.103142,0.9283086541878727
537.222744,0.9275718696586135
537.342347,0.9181954523200154
537.461949,0.9071730982979201
537.581552,0.907113226849212
537.701154,0.9248932070246821
537.820756,0.9117440274127719
537.940359,0.9056811196134326
538.059961,0.9159944255230965
538.179564,0.9154459091592598
538.299166,0.9069300084830665
538.418768,0.9182927861965657
538.538371,0.940877809106412
538.657973,0.9076422280493315
538.777576,0.8885805296369337
538.897178,0.8942320265094882
539.01678,0.9619940628587274
539.136383,0.8964614387218198
539.255985,0.9276822572790361
539.375588,0.8899055014849887
539.49519,0.9175566106278984
539.614792,0.9076104611272742
539.734395,0.9026052275035824
539.853997,0.8805927664823312
539.973599,0.9098313739442471
540.093202,0.9349997659634051
540.212804,0.8925256734247965
540.332407,0.8841929242973843
540.452009,0.8974301400802152
540.571611,0.930866878105749
540.691214,0.9235817142880749
540.810816,0.9317683935068143
540.930419,0.9160365622358075
541.050021,0.9137803990658625
541.169623,0.9132039855116537
541.289226,0.9068728736922969
541.408828,0.9024157003068588
541.528431,0.9079399835293609
541.648033,0.9393501242467328
541.767635,0.8970532985636395
541.887238,0.8849536572805763
542.00684,0.9082832497163571
542.126443,0.8931774550377408
542.246045,0.9208731342899484
542.365647,0.922993580076707
542.48525,0.911825176242281
542.604852,0.9076295211470873
542.724454,0.9279708113288788
542.844057,0.8974570633882651
542.963659,0.9271035641215365
543.083262,0.9163911369911826
543.202864,0.8942856820407287
543.322466,0.8979867192887904
543.442069,0.889709743808796
543.561671,0.9250726537126108
543.681274,0.9214718964038424
543.800876,0.9245307199396389
543.920478,0.9127748804860434
544.040081,0.9378408630181754
544.159683,0.9047650339379192
544.279286,0.8995595718921687
544.398888,0.901748159709115
544.51849,0.9220959440940161
544.638093,0.9463460248625324
544.757695,0.9165111920935659
544.877298,0.9181504618451274
544.9969,0.9409276769517809
545.116502,0.9254584894503692
545.236105,0.9334004157984508
545.355707,0.8914641995756241
545.47531,0.908543964419796
545.594912,0.9425898807649543
545.714514,0.9149974505451052
545.834117,0.8963717970601054
545.953719,0.9131729371039723
546.073321,0.8959953999542654
546.192924,0.8939459180408017
546.312526,0.9207635569069514
546.432129,0.9242016455820514
546.551731,0.8919011240711754
546.671333,0.9473610517583968
546.790936,0.8798357822530305
546.910538,0.9373205057516987
547.030141,0.925207724179957
547.149743,0.875167484573602
547.269345,0.9203594304177241
547.388948,0.9153388082534134
547.50855,0.9331549637674527
547.628153,0.9109119850009021
547.747755,0.9194294172344514
547.867357,0.8773493669263956
547.98696,0.9189284647240172
548.106562,0.9339438129536791
548.226165,0.9214516242451162
548.345767,0.913613192552696
548.465369,0.9214009457994526
548.584972,0.9247239670537263
548.704574,0.9185839311538276
548.824176,0.938800765127258
548.943779,0.9237285754558001
549.063381,0.9235927973351445
549.182984,0.9000094641418044
549.302586,0.9085866669896263
549.422188,0.9102882239537256
549.541791,0.9084531145659225
549.661393,0.9348324159835677
549.780996,0.9199352425031282
549.900598,0.920299608998964
550.0202,0.9262806615793999
